Item,Amount,Value
سيليكات صوديوم أخر,565.3,ألف دولار
بيكربونات كالسيوم,438.2,ألف دولار
برتقال طازج أو مجفف,311.4,ألف دولار
ملح غير صالح للطعام و ملح طعام,280.0,ألف دولار
جهاز تكييف للمركبات ذات الموتور,185.9,ألف دولار
حقائب و شنط و جوالات واكياس من بوليمرات الإيثلين,148.8,ألف دولار
"الواح , افرخ , رقائق , شرائط ,شرائح,غير خلوية وغير مقواه بوليمييرات البروبيلين",131.3,ألف دولار
حقائب و شنط من أنواع البلاستيك الأخرى,123.7,ألف دولار
قوارير وزجاجات واوانى وجرار وامبولات وغيرها من الاوعية من الزجاج من النوع المستعمل فى نقل اوتعبئة السلع,116.4,ألف دولار
اغذيه متحصل عليها من نفش اوتحميص الغلال,111.8,ألف دولار
يوسفى طازج أو مجفف,108.2,ألف دولار
صلصه كتش اب و صلصه حريفه (هوت صوص),99.0,ألف دولار
نشا ذره,78.3,ألف دولار
اسلاك حديدية فى لفائف غير مغلفة او مطلية او مصقولة,69.3,ألف دولار
منظفات صناعية سائلة للمراحيض والاحواض والبالوعات(للاستخدام المنزلى),66.0,ألف دولار
,49.4,ألف دولار
إطارات السيارات النقل و الشاحنات,45.0,ألف دولار
حامض ايدروكلوريك ( هيدروجين كلوريد),44.2,ألف دولار
ورنيشات قاعدتها P.V.A,43.3,ألف دولار
بويات و ورنيش من قاعده  بوليمرات,43.0,ألف دولار
مخلفات أنوال و هبو مصانع نسيج الألياف الأخرى,37.0,ألف دولار
أدوات المائدة و المطبخ  من أنواع البلاستيك الأخرى,37.0,ألف دولار
محضرات ذات سطح غير محتمل للحراره للارضيات و الجدرات و الواجهات,29.7,ألف دولار
تنر (تنر عضوى عادى او مخصوص),29.4,ألف دولار
اصناف مقولبه او مضغوطه من عجينه الورق,28.8,ألف دولار
راتنجات الكيديه,23.6,ألف دولار
محضرات منظفة .. وان احتوت عل معامل نشط,23.1,ألف دولار
ديب فريزر رأسى او افقى اقل من 800 لتر,20.5,ألف دولار
جوز و لوز محلى,16.8,ألف دولار
ليتوبون والوان سطحية ومحضرات اخرى غير عضويه متنوعه,16.5,ألف دولار
اسمنت فوندو ..... الخ,15.2,ألف دولار
مجففات محضره,9.5,ألف دولار
مستلزمات أخرى من أنواع البلاستيك الأخرى,2.5,ألف دولار
خليط من مكسبات الطعم و الرائحه,2.3,ألف دولار
ماكينه تقطيع رخام يدوى و سيراميك و أحجار أخرى,1.0,ألف دولار
غيرها من مصنوعات اخرى من حديد او صلب,0.4,ألف دولار
