Year,Month,Export Amount
2012,يناير,"2,979,468"
2012,فبراير,"2,235,742"
2012,مارس,"2,099,005"
2012,إبريل,"2,353,165"
2012,مايو,"1,873,373"
2012,يونيو,"963,828"
2012,يوليو,"1,116,340"
2012,أغسطس,"1,273,499"
2012,سبتمبر,"2,354,287"
2012,أكتوبر,"1,843,623"
2012,نوفمبر,"2,134,621"
2012,ديسمبر,"2,822,245"
2013,يناير,"2,170,811"
2013,فبراير,"1,394,745"
2013,مارس,"1,505,642"
2013,إبريل,"1,942,107"
2013,مايو,"2,739,719"
2013,يونيو,"1,325,953"
2013,يوليو,"2,271,235"
2013,أغسطس,"2,784,358"
2013,سبتمبر,"3,530,653"
2013,أكتوبر,"3,373,404"
2013,نوفمبر,"2,461,163"
2013,ديسمبر,"3,191,628"
2014,يناير,"3,216,092"
2014,فبراير,"2,125,095"
2014,مارس,"2,557,295"
2014,إبريل,"2,563,896"
2014,مايو,"3,546,339"
2014,يونيو,"2,527,988"
2014,يوليو,"3,798,852"
2014,أغسطس,"3,976,553"
2014,سبتمبر,"3,623,095"
2014,أكتوبر,"2,559,573"
2014,نوفمبر,"4,733,241"
2014,ديسمبر,"4,316,050"
2015,يناير,"2,122,204"
2015,فبراير,"2,681,450"
2015,مارس,"4,038,267"
2015,إبريل,"3,133,815"
2015,مايو,"4,143,610"
2015,يونيو,"3,902,520"
2015,يوليو,"1,463,251"
2015,أغسطس,"2,093,694"
2015,سبتمبر,"2,439,783"
2015,أكتوبر,"1,952,805"
2015,نوفمبر,"2,251,041"
2015,ديسمبر,"3,344,395"
2016,يناير,"1,264,408"
2016,فبراير,"561,489"
2016,مارس,"886,403"
2016,إبريل,"1,315,833"
2016,مايو,"726,057"
2016,يونيو,"1,094,317"
2016,يوليو,"95,577"
2016,أغسطس,"307,908"
2016,سبتمبر,"330,950"
2016,أكتوبر,"811,478"
2016,نوفمبر,"878,783"
2016,ديسمبر,"4,383,472"
2017,يناير,"11,122,147"
2017,فبراير,"1,255,593"
2017,مارس,"1,061,863"
2017,إبريل,"937,384"
2017,مايو,"2,664,507"
2017,يونيو,"1,296,676"
2017,يوليو,"2,010,763"
2017,أغسطس,"1,950,400"
2017,سبتمبر,"1,236,923"
2017,أكتوبر,"3,898,245"
2017,نوفمبر,"2,125,735"
2017,ديسمبر,"1,200,193"
2018,يناير,"1,683,166"
2018,فبراير,"1,333,132"
2018,مارس,"1,068,000"
2018,إبريل,"1,562,651"
2018,مايو,"2,104,121"
2018,يونيو,"1,491,384"
2018,يوليو,"1,918,497"
2018,أغسطس,"1,282,975"
2018,سبتمبر,"1,502,876"
2018,أكتوبر,"1,408,321"
2018,نوفمبر,"615,027"
2018,ديسمبر,"1,103,307"
2019,يناير,"1,818,840"
2019,فبراير,"1,288,603"
2019,مارس,"1,651,172"
2019,إبريل,"1,363,103"
2019,مايو,"1,499,855"
2019,يونيو,"367,628"
2019,يوليو,"993,166"
2019,أغسطس,"658,219"
2019,سبتمبر,"1,215,365"
2019,أكتوبر,"1,546,391"
2019,نوفمبر,"1,986,334"
2019,ديسمبر,"1,372,026"
2020,يناير,"1,112,269"
2020,فبراير,"1,174,449"
2020,مارس,"885,567"
2020,إبريل,"1,235,275"
2020,مايو,"890,574"
2020,يونيو,"723,880"
2020,يوليو,"919,140"
2020,أغسطس,"1,087,557"
2020,سبتمبر,"922,565"
2020,أكتوبر,"1,049,942"
2020,نوفمبر,"716,657"
2020,ديسمبر,"1,018,144"
2021,يناير,"2,777,296"
2021,فبراير,"669,374"
2021,مارس,"2,005,647"
2021,إبريل,"929,399"
2021,مايو,"1,432,297"
2021,يونيو,"1,434,648"
2021,يوليو,"2,714,190"
2021,أغسطس,"1,343,845"
2021,سبتمبر,"1,902,850"
2021,أكتوبر,"1,432,572"
2021,نوفمبر,"588,287"
2021,ديسمبر,"1,134,251"
2022,يناير,"1,337,664"
2022,فبراير,"2,180,520"
2022,مارس,0
2022,إبريل,0
2022,مايو,0
2022,يونيو,0
2022,يوليو,0
2022,أغسطس,0
2022,سبتمبر,0
2022,أكتوبر,0
2022,نوفمبر,0
2022,ديسمبر,0
