Item,Amount,Value
ذرة أخرى,141.7,ألف دولار
فاصوليا حمراء مجففه ومفصصه ومعبأه,133.4,ألف دولار
سمن نباتى,94.7,ألف دولار
أحجار طبيعيه للمبانى مشقوقه,70.3,ألف دولار
اوانى وادوات للاستعمال المنزلى / التواليت من الصينى,57.8,ألف دولار
راتنجات الكيديه,31.3,ألف دولار
بذور سمسم,25.2,ألف دولار
اطقم حمامات / بياضات متنوعه,24.5,ألف دولار
أخطبوط مجمده أو مملحه أو مجففه,17.0,ألف دولار
سبيط مملحه أو مجففه,15.3,ألف دولار
أدوات المائدة و المطبخ  من أنواع البلاستيك الأخرى,12.0,ألف دولار
حقن طبيه من بلاستيك (سرنجه),10.3,ألف دولار
أحجار طبيعيه للمبانى مصقوله,0.4,ألف دولار
معاملات تجميع الدم,0.3,ألف دولار
