Year,Month,Export Amount
2012,يناير,"530,940"
2012,فبراير,"1,707,950"
2012,مارس,"1,344,280"
2012,إبريل,"404,818"
2012,مايو,"303,997"
2012,يونيو,"532,473"
2012,يوليو,"761,645"
2012,أغسطس,"463,435"
2012,سبتمبر,"2,931,607"
2012,أكتوبر,"2,124,644"
2012,نوفمبر,"1,540,346"
2012,ديسمبر,"1,206,045"
2013,يناير,"1,354,814"
2013,فبراير,"3,448,406"
2013,مارس,"1,163,259"
2013,إبريل,"1,730,991"
2013,مايو,"1,563,296"
2013,يونيو,"1,136,898"
2013,يوليو,"1,448,855"
2013,أغسطس,"1,981,593"
2013,سبتمبر,"1,976,479"
2013,أكتوبر,"924,574"
2013,نوفمبر,"631,500"
2013,ديسمبر,"1,840,963"
2014,يناير,"965,993"
2014,فبراير,"756,411"
2014,مارس,"915,760"
2014,إبريل,"1,716,368"
2014,مايو,"655,096"
2014,يونيو,"1,291,404"
2014,يوليو,"1,067,065"
2014,أغسطس,"1,341,185"
2014,سبتمبر,"2,008,561"
2014,أكتوبر,"858,174"
2014,نوفمبر,"1,010,931"
2014,ديسمبر,"1,045,480"
2015,يناير,"555,212"
2015,فبراير,"700,965"
2015,مارس,"1,313,397"
2015,إبريل,"578,334"
2015,مايو,"472,660"
2015,يونيو,"300,811"
2015,يوليو,"110,033"
2015,أغسطس,"872,117"
2015,سبتمبر,"1,003,078"
2015,أكتوبر,"358,279"
2015,نوفمبر,"707,497"
2015,ديسمبر,"308,260"
2016,يناير,"1,632,226"
2016,فبراير,"113,533"
2016,مارس,"657,487"
2016,إبريل,"624,665"
2016,مايو,"1,045,197"
2016,يونيو,"306,220"
2016,يوليو,"122,782"
2016,أغسطس,"245,557"
2016,سبتمبر,"260,467"
2016,أكتوبر,"108,798"
2016,نوفمبر,"939,304"
2016,ديسمبر,"266,421"
2017,يناير,"2,457,909"
2017,فبراير,"720,451"
2017,مارس,"1,136,556"
2017,إبريل,"840,724"
2017,مايو,"526,963"
2017,يونيو,"691,423"
2017,يوليو,"486,919"
2017,أغسطس,"1,106,396"
2017,سبتمبر,"586,510"
2017,أكتوبر,"789,661"
2017,نوفمبر,"606,236"
2017,ديسمبر,"315,160"
2018,يناير,"677,701"
2018,فبراير,"595,473"
2018,مارس,"1,332,228"
2018,إبريل,"1,174,376"
2018,مايو,"614,235"
2018,يونيو,"675,617"
2018,يوليو,"788,546"
2018,أغسطس,"449,658"
2018,سبتمبر,"1,434,725"
2018,أكتوبر,"351,195"
2018,نوفمبر,"480,323"
2018,ديسمبر,"670,210"
2019,يناير,"1,410,037"
2019,فبراير,"1,264,348"
2019,مارس,"1,157,686"
2019,إبريل,"674,532"
2019,مايو,"289,244"
2019,يونيو,"289,449"
2019,يوليو,"443,861"
2019,أغسطس,"212,669"
2019,سبتمبر,"1,364,661"
2019,أكتوبر,"1,429,189"
2019,نوفمبر,"1,321,545"
2019,ديسمبر,"1,140,320"
2020,يناير,"261,069"
2020,فبراير,"565,997"
2020,مارس,"1,318,888"
2020,إبريل,"113,762"
2020,مايو,"375,069"
2020,يونيو,"660,697"
2020,يوليو,"379,934"
2020,أغسطس,"2,084,700"
2020,سبتمبر,"3,027,451"
2020,أكتوبر,"736,077"
2020,نوفمبر,"1,716,362"
2020,ديسمبر,"344,590"
2021,يناير,"480,917"
2021,فبراير,"423,775"
2021,مارس,"1,129,610"
2021,إبريل,"2,295,636"
2021,مايو,"355,001"
2021,يونيو,"2,025,138"
2021,يوليو,"2,376,670"
2021,أغسطس,"3,482,224"
2021,سبتمبر,"1,095,065"
2021,أكتوبر,"1,035,784"
2021,نوفمبر,"865,337"
2021,ديسمبر,"520,062"
2022,يناير,"361,225"
2022,فبراير,"380,172"
2022,مارس,0
2022,إبريل,0
2022,مايو,0
2022,يونيو,0
2022,يوليو,0
2022,أغسطس,0
2022,سبتمبر,0
2022,أكتوبر,0
2022,نوفمبر,0
2022,ديسمبر,0
