Item,Amount,Value
عيدان قضبان ?  اشكال خاصة ?  اسلاك نصف مشغولة من ذهب,217.2,مليون دولار
تى شيرت وفانلات بنصف اكمام من القطن مصنره,15.7,مليون دولار
برتقال طازج أو مجفف,13.0,مليون دولار
بطاطس طازجه اومبرده أخرى,7.7,مليون دولار
مكسبات طعم ورائحه,4.9,مليون دولار
محضرات منظفة .. وان احتوت عل معامل نشط,3.8,مليون دولار
اثاث اخر من الخشب ? حجره سفره من خشب,3.7,مليون دولار
فراوله طازجه,3.3,مليون دولار
بطاطس محفوظه بكاملها فى مواد أخرى,3.1,مليون دولار
بنطلون حريمى من القطن غير مصنره,2.7,مليون دولار
منظف اسنان  .. بشكل بودرة او مسحوق بكافه انواعه,2.4,مليون دولار
فول بقلى (فول خيل),2.3,مليون دولار
كابلات كوكشال نحاسية ضغط عالى ومنخفض ومتوسط دون تحديد لخامه التغليف او الضغوط,2.0,مليون دولار
يوسفى طازج أو مجفف,1.9,مليون دولار
قوالب شيكولاته,1.7,مليون دولار
شيكولاتة ومنتجات الكاكاو,1.6,مليون دولار
خضروات اخرى مجمده,1.6,مليون دولار
موصلات كهربيه لا تزيد عن 80 فولت,1.4,مليون دولار
غساله لاتزيد عن 10 كجم منزليه (1/2 اتوماتيك),1.4,مليون دولار
محضرات غذائيه اخرى,1.3,مليون دولار
بطاطا طازجه أو مجففه,1.2,مليون دولار
سجاد وغيره من اغطية الارضيات النسجية من حرير أو قطن أو ألياف صناعيه عقدى,1.2,مليون دولار
ستائر مصنرة او كروشيه من الياف تركيبيه,1.1,مليون دولار
تى شيرت وفانلات بنصف اكمام من الياف أخرى مصنره,1.0,مليون دولار
طرشى),993.2,ألف دولار
أحجار طبيعيه للمبانى مصقوله,928.4,ألف دولار
شامبو لغسيل الشعر  (دون تحديد),926.2,ألف دولار
"اجزاء  من مضخات , مراوح , علب او صناديق التهوية",850.0,ألف دولار
أجزاء راديو و تليفزيون,819.1,ألف دولار
نجف و ثرايا كريستال و غيرها,812.3,ألف دولار
مواد مانعه للرغوه فى درجات الحراره العاليه,780.8,ألف دولار
صفائح علب واوعيه مماثله من حديد او صلب     لتعبئه اى مادة سعتها50 لتراواكثر,751.2,ألف دولار
اجهزه طبخ واجهزه تسخين تعمل بالغاز او تعمل بالغاز ونوع اخر من الوقود,710.9,ألف دولار
صلصه كتش اب و صلصه حريفه (هوت صوص),660.7,ألف دولار
لوحات توزيع كهرباء لفولت يزيد عن 1000 فولت  للمصانع,651.3,ألف دولار
الرمال الطبيعيه ?  كوارتزيت,650.6,ألف دولار
جبن طازج أبيض بدون أى عمليات لاحقه,648.9,ألف دولار
محضرات واصناف صيدليه اخر,626.3,ألف دولار
اغذيه متحصل عليها من نفش اوتحميص الغلال,572.8,ألف دولار
غيرها من المربى,571.6,ألف دولار
غيرها من مستحضرات للتجميل او للتطريه ومستحضرات للعنايه بالبشره,554.2,ألف دولار
زيت ذره مكرر,525.7,ألف دولار
اثاث خشبى من النوع المستخدم فى المكاتب,503.4,ألف دولار
مخاليط خضروات مجمده,502.9,ألف دولار
بويات وورنيشات  مذابه فى وسط لامائى,496.1,ألف دولار
مستحضرات لتعطير الغرف او لازاله الروائح الكريهه منها,477.9,ألف دولار
بذار (تقاوى)بطاطس طازجه اومبرده,477.4,ألف دولار
حساء ومرق ومحضرات (شوربه),460.5,ألف دولار
,459.4,ألف دولار
امواس و شفرات للحلاقه,453.7,ألف دولار
انواع جبنه اخرى,449.7,ألف دولار
جبن مطبوخ غير مبشور ولا مسحوق,444.7,ألف دولار
غيرها من مصنوعات اخرى من حديد او صلب,401.7,ألف دولار
احماض دهنية صناعية مونوكاربوكسيليك,396.8,ألف دولار
بصل وكرات بشوشه,396.8,ألف دولار
ليتوبون والوان سطحية ومحضرات اخرى غير عضويه متنوعه,394.5,ألف دولار
اجهزة كهربائيه للتسخين الفورى للمياه ومقاومات تسخين كهربائيه (سخانات مغموره بداخل الغسالات),390.3,ألف دولار
قنينة كانيولا وادوات مماثلة,380.3,ألف دولار
فراوله محفوظه مؤقتا,360.5,ألف دولار
زيت صويا منقى و غير معالج كيمائيا,351.5,ألف دولار
عمود كربونى أو جرافيتى للأغراض الكهربيه,350.5,ألف دولار
طوب للبناء بما فيها بلاط التبليط من السيراميك وما يماثلها,344.6,ألف دولار
سجاد نايلون آخر,340.0,ألف دولار
مغذيات الفالفا,335.2,ألف دولار
عجائن اخرى غير محتويه على بيض,286.7,ألف دولار
ابراج وصوارى شبكيه ? ابراج معدنيه من حديد اوصلب,276.0,ألف دولار
ديودرانت,273.3,ألف دولار
لعزل الحراره ?  الصوت,268.3,ألف دولار
أغطية الزجاجات و مغاليق من أنواع البلاستيك الأخرى,247.1,ألف دولار
البسه اطفال وملحقاتها مصنرة او كروشيه من قطن غير مصنره,235.7,ألف دولار
نباتات طبيه أخرى,226.0,ألف دولار
,223.7,ألف دولار
أغطية أرضيات نسجيه أخرى,223.5,ألف دولار
غيرها من منشات واجزاوءها من حديد او صلب,216.9,ألف دولار
اصناف مقولبه او مضغوطه من عجينه الورق,216.9,ألف دولار
طماطم محفوظه بكاملها فى مواد أخرى,214.4,ألف دولار
مانجوستين طازجةاو مجففه,212.6,ألف دولار
