Year,Month,Export Amount
2012,يناير,0
2012,فبراير,0
2012,مارس,0
2012,إبريل,0
2012,مايو,0
2012,يونيو,0
2012,يوليو,0
2012,أغسطس,0
2012,سبتمبر,0
2012,أكتوبر,0
2012,نوفمبر,0
2012,ديسمبر,0
2013,يناير,0
2013,فبراير,0
2013,مارس,0
2013,إبريل,0
2013,مايو,0
2013,يونيو,0
2013,يوليو,0
2013,أغسطس,0
2013,سبتمبر,0
2013,أكتوبر,0
2013,نوفمبر,0
2013,ديسمبر,0
2014,يناير,0
2014,فبراير,0
2014,مارس,0
2014,إبريل,0
2014,مايو,0
2014,يونيو,0
2014,يوليو,0
2014,أغسطس,0
2014,سبتمبر,0
2014,أكتوبر,0
2014,نوفمبر,0
2014,ديسمبر,0
2015,يناير,0
2015,فبراير,0
2015,مارس,0
2015,إبريل,0
2015,مايو,0
2015,يونيو,0
2015,يوليو,0
2015,أغسطس,0
2015,سبتمبر,0
2015,أكتوبر,0
2015,نوفمبر,0
2015,ديسمبر,0
2016,يناير,0
2016,فبراير,0
2016,مارس,0
2016,إبريل,0
2016,مايو,0
2016,يونيو,0
2016,يوليو,0
2016,أغسطس,0
2016,سبتمبر,0
2016,أكتوبر,0
2016,نوفمبر,0
2016,ديسمبر,0
2017,يناير,"796,711,117"
2017,فبراير,"238,918,841"
2017,مارس,"174,454,480"
2017,إبريل,"215,933,381"
2017,مايو,"202,186,943"
2017,يونيو,"143,822,301"
2017,يوليو,"132,734,908"
2017,أغسطس,"225,895,260"
2017,سبتمبر,"197,927,606"
2017,أكتوبر,"175,703,444"
2017,نوفمبر,"204,379,648"
2017,ديسمبر,"226,873,619"
2018,يناير,"273,274,762"
2018,فبراير,"198,582,070"
2018,مارس,"240,700,401"
2018,إبريل,"268,909,710"
2018,مايو,"214,610,024"
2018,يونيو,"109,075,156"
2018,يوليو,"103,315,927"
2018,أغسطس,"75,521,113"
2018,سبتمبر,"58,803,882"
2018,أكتوبر,"126,985,008"
2018,نوفمبر,"101,667,474"
2018,ديسمبر,"166,400,023"
2019,يناير,"203,404,105"
2019,فبراير,"171,104,271"
2019,مارس,"114,614,414"
2019,إبريل,"107,216,743"
2019,مايو,"131,600,966"
2019,يونيو,"117,000,396"
2019,يوليو,"221,854,609"
2019,أغسطس,"181,581,280"
2019,سبتمبر,"154,842,956"
2019,أكتوبر,"205,445,402"
2019,نوفمبر,"180,200,467"
2019,ديسمبر,"243,256,594"
2020,يناير,"257,928,507"
2020,فبراير,"253,513,479"
2020,مارس,"223,427,958"
2020,إبريل,"335,189,108"
2020,مايو,"209,650,457"
2020,يونيو,"275,897,060"
2020,يوليو,"306,882,960"
2020,أغسطس,"155,027,418"
2020,سبتمبر,"278,141,384"
2020,أكتوبر,"223,127,033"
2020,نوفمبر,"107,113,441"
2020,ديسمبر,"219,816,817"
2021,يناير,"164,218,112"
2021,فبراير,"89,233,137"
2021,مارس,"80,413,166"
2021,إبريل,"70,236,550"
2021,مايو,"74,201,248"
2021,يونيو,"252,586,914"
2021,يوليو,"62,088,768"
2021,أغسطس,"77,186,256"
2021,سبتمبر,"80,743,298"
2021,أكتوبر,"69,716,210"
2021,نوفمبر,"107,321,156"
2021,ديسمبر,"106,351,925"
2022,يناير,"183,583,831"
2022,فبراير,"188,910,050"
2022,مارس,0
2022,إبريل,0
2022,مايو,0
2022,يونيو,0
2022,يوليو,0
2022,أغسطس,0
2022,سبتمبر,0
2022,أكتوبر,0
2022,نوفمبر,0
2022,ديسمبر,0
