Item,Amount,Value
أجزاء راديو و تليفزيون,25.9,مليون دولار
بولى اثيلين ذات ثقل نوعى 94ر او يزيد,1.6,مليون دولار
نباتات طبيه أخرى,332.4,ألف دولار
بولى اثيلين ذات ثقل نوعى 94ر او يزيد,152.6,ألف دولار
غزل صناعى مفرد تحتوى على 85% من ألياف الإكليريك المستمر غير مهيئه للبيع بالتجزئه,147.5,ألف دولار
أحجار طبيعيه للمبانى مصقوله,130.7,ألف دولار
مسمار برمه,88.8,ألف دولار
برتقال طازج أو مجفف,80.6,ألف دولار
بصل مجفف,71.9,ألف دولار
عدادات كهرباء,71.0,ألف دولار
مسمار من حديد او صلب,64.6,ألف دولار
فراوله محفوظه مؤقتا,64.5,ألف دولار
خميره جافه نشطه,63.8,ألف دولار
غيرها من الياف زجاجيه (بما فيها الصوف الزجاجى) واصناف منها,62.4,ألف دولار
طفــله بدون تحديــد (طينات اخرى),62.1,ألف دولار
بيكربونات كالسيوم,56.1,ألف دولار
خضروات مجففه,54.6,ألف دولار
ضمادات لاصقة واصناف اخرى ذات طبقة لاصقة,47.9,ألف دولار
مواد مانعه للرغوه فى درجات الحراره العاليه,28.1,ألف دولار
أغطية أرضيات نسجيه أخرى,20.8,ألف دولار
تى شيرت وفانلات بنصف اكمام من القطن مصنره,7.7,ألف دولار
قمصان رجالى من الياف أخرى غير مصنره,4.0,ألف دولار
شعر كتان خام,1.0,ألف دولار
زيوت عطرية أخرى,0.5,ألف دولار
