Year,Month,Export Amount
2012,يناير,"608,618"
2012,فبراير,"243,299"
2012,مارس,"33,419"
2012,إبريل,"396,962"
2012,مايو,"477,060"
2012,يونيو,"443,678"
2012,يوليو,"400,147"
2012,أغسطس,"432,145"
2012,سبتمبر,"629,259"
2012,أكتوبر,"871,218"
2012,نوفمبر,"766,090"
2012,ديسمبر,"531,594"
2013,يناير,"600,645"
2013,فبراير,"444,272"
2013,مارس,"437,524"
2013,إبريل,"1,611,335"
2013,مايو,"442,352"
2013,يونيو,"773,926"
2013,يوليو,"343,804"
2013,أغسطس,"509,464"
2013,سبتمبر,"754,905"
2013,أكتوبر,"2,650,595"
2013,نوفمبر,"1,560,070"
2013,ديسمبر,"786,964"
2014,يناير,"523,503"
2014,فبراير,"573,208"
2014,مارس,"860,197"
2014,إبريل,"267,893"
2014,مايو,"177,735"
2014,يونيو,"402,553"
2014,يوليو,"584,335"
2014,أغسطس,"549,726"
2014,سبتمبر,"649,773"
2014,أكتوبر,"304,258"
2014,نوفمبر,"947,197"
2014,ديسمبر,"260,345"
2015,يناير,"218,653"
2015,فبراير,"656,491"
2015,مارس,"378,231"
2015,إبريل,"433,151"
2015,مايو,"448,031"
2015,يونيو,"290,886"
2015,يوليو,"307,584"
2015,أغسطس,"155,731"
2015,سبتمبر,"102,407"
2015,أكتوبر,"392,189"
2015,نوفمبر,"149,465"
2015,ديسمبر,"531,672"
2016,يناير,"556,772"
2016,فبراير,"519,101"
2016,مارس,"372,960"
2016,إبريل,"388,539"
2016,مايو,"1,214,954"
2016,يونيو,"374,804"
2016,يوليو,"752,605"
2016,أغسطس,"426,062"
2016,سبتمبر,"611,740"
2016,أكتوبر,"508,564"
2016,نوفمبر,"835,837"
2016,ديسمبر,"570,405"
2017,يناير,"1,593,956"
2017,فبراير,"395,351"
2017,مارس,"340,299"
2017,إبريل,"507,873"
2017,مايو,"8,950,705"
2017,يونيو,"757,959"
2017,يوليو,"347,486"
2017,أغسطس,"307,012"
2017,سبتمبر,"745,315"
2017,أكتوبر,"766,148"
2017,نوفمبر,"610,913"
2017,ديسمبر,"712,967"
2018,يناير,"575,541"
2018,فبراير,"411,578"
2018,مارس,"758,482"
2018,إبريل,"305,226"
2018,مايو,"579,934"
2018,يونيو,"11,139,798"
2018,يوليو,"1,994,571"
2018,أغسطس,"453,493"
2018,سبتمبر,"588,395"
2018,أكتوبر,"983,936"
2018,نوفمبر,"1,224,758"
2018,ديسمبر,"638,181"
2019,يناير,"489,299"
2019,فبراير,"815,770"
2019,مارس,"1,404,566"
2019,إبريل,"9,851,516"
2019,مايو,"38,817,668"
2019,يونيو,"18,733,865"
2019,يوليو,"25,951,935"
2019,أغسطس,"3,219,245"
2019,سبتمبر,"5,870,339"
2019,أكتوبر,"8,225,645"
2019,نوفمبر,"451,761"
2019,ديسمبر,"479,419"
2020,يناير,"675,727"
2020,فبراير,"706,708"
2020,مارس,"664,320"
2020,إبريل,"9,350,530"
2020,مايو,"2,872,171"
2020,يونيو,"853,497"
2020,يوليو,"67,314,628"
2020,أغسطس,"30,012,241"
2020,سبتمبر,"25,202,393"
2020,أكتوبر,"17,503,994"
2020,نوفمبر,"20,537,432"
2020,ديسمبر,"3,186,820"
2021,يناير,"13,845,698"
2021,فبراير,"17,154,490"
2021,مارس,"31,237,656"
2021,إبريل,"22,581,593"
2021,مايو,"19,554,276"
2021,يونيو,"56,318,496"
2021,يوليو,"52,236,445"
2021,أغسطس,"68,065,325"
2021,سبتمبر,"40,980,457"
2021,أكتوبر,"10,718,186"
2021,نوفمبر,"1,852,875"
2021,ديسمبر,"11,694,804"
2022,يناير,"18,098,976"
2022,فبراير,"11,087,024"
2022,مارس,0
2022,إبريل,0
2022,مايو,0
2022,يونيو,0
2022,يوليو,0
2022,أغسطس,0
2022,سبتمبر,0
2022,أكتوبر,0
2022,نوفمبر,0
2022,ديسمبر,0
