Year,Month,Export Amount
2012,يناير,"152,535"
2012,فبراير,"262,874"
2012,مارس,"57,177"
2012,إبريل,"131,923"
2012,مايو,"116,577"
2012,يونيو,"247,904"
2012,يوليو,"16,608"
2012,أغسطس,"65,629"
2012,سبتمبر,"520,200"
2012,أكتوبر,"65,766"
2012,نوفمبر,"143,149"
2012,ديسمبر,"37,673"
2013,يناير,"24,453"
2013,فبراير,"85,067"
2013,مارس,"98,176"
2013,إبريل,"81,522"
2013,مايو,"23,561"
2013,يونيو,"5,532"
2013,يوليو,"74,913"
2013,أغسطس,"37,638"
2013,سبتمبر,"119,040"
2013,أكتوبر,"97,336"
2013,نوفمبر,"18,470"
2013,ديسمبر,"54,921"
2014,يناير,"145,817"
2014,فبراير,"25,200"
2014,مارس,"200,216"
2014,إبريل,"40,800"
2014,مايو,"1,269,462"
2014,يونيو,"5,913"
2014,يوليو,0
2014,أغسطس,0
2014,سبتمبر,"796,976"
2014,أكتوبر,"499,630"
2014,نوفمبر,"263,600"
2014,ديسمبر,"160,857"
2015,يناير,"81,712"
2015,فبراير,"238,667"
2015,مارس,"326,830"
2015,إبريل,"72,382"
2015,مايو,"262,805"
2015,يونيو,"283,200"
2015,يوليو,"34,239"
2015,أغسطس,"49,001"
2015,سبتمبر,"4,047"
2015,أكتوبر,"103,945"
2015,نوفمبر,"264,551"
2015,ديسمبر,"56,416"
2016,يناير,"37,219"
2016,فبراير,"124,410"
2016,مارس,"342,813"
2016,إبريل,"178,804"
2016,مايو,"67,473"
2016,يونيو,"37,542"
2016,يوليو,"8,400"
2016,أغسطس,"74,518"
2016,سبتمبر,"87,236"
2016,أكتوبر,"200,748"
2016,نوفمبر,"150,011"
2016,ديسمبر,"37,885"
2017,يناير,"482,149"
2017,فبراير,"108,642"
2017,مارس,"203,210"
2017,إبريل,"56,484"
2017,مايو,"70,812"
2017,يونيو,"90,526"
2017,يوليو,"36,000"
2017,أغسطس,"188,384"
2017,سبتمبر,"85,949"
2017,أكتوبر,"188,161"
2017,نوفمبر,"71,089"
2017,ديسمبر,"229,067"
2018,يناير,"186,037"
2018,فبراير,"161,916"
2018,مارس,"194,817"
2018,إبريل,"132,546"
2018,مايو,"61,098"
2018,يونيو,"67,870"
2018,يوليو,"60,158"
2018,أغسطس,"22,219"
2018,سبتمبر,"205,100"
2018,أكتوبر,"83,160"
2018,نوفمبر,"161,788"
2018,ديسمبر,"49,398"
2019,يناير,"88,446"
2019,فبراير,"429,955"
2019,مارس,"265,001"
2019,إبريل,"124,178"
2019,مايو,"141,180"
2019,يونيو,"123,749"
2019,يوليو,"89,078"
2019,أغسطس,"41,416"
2019,سبتمبر,"282,552"
2019,أكتوبر,"272,936"
2019,نوفمبر,"153,630"
2019,ديسمبر,"47,235"
2020,يناير,"117,213"
2020,فبراير,"295,863"
2020,مارس,"509,557"
2020,إبريل,"91,770"
2020,مايو,"184,364"
2020,يونيو,"62,982"
2020,يوليو,"102,596"
2020,أغسطس,"269,894"
2020,سبتمبر,"152,739"
2020,أكتوبر,"27,165"
2020,نوفمبر,"148,579"
2020,ديسمبر,"253,641"
2021,يناير,"162,218"
2021,فبراير,"233,643"
2021,مارس,"158,659"
2021,إبريل,"222,844"
2021,مايو,"362,845"
2021,يونيو,"354,323"
2021,يوليو,"361,985"
2021,أغسطس,"164,626"
2021,سبتمبر,"96,800"
2021,أكتوبر,"407,809"
2021,نوفمبر,"334,046"
2021,ديسمبر,"126,213"
2022,يناير,"153,148"
2022,فبراير,"171,238"
2022,مارس,0
2022,إبريل,0
2022,مايو,0
2022,يونيو,0
2022,يوليو,0
2022,أغسطس,0
2022,سبتمبر,0
2022,أكتوبر,0
2022,نوفمبر,0
2022,ديسمبر,0
