Year,Month,Export Amount
2012,يناير,0
2012,فبراير,0
2012,مارس,0
2012,إبريل,0
2012,مايو,0
2012,يونيو,0
2012,يوليو,0
2012,أغسطس,0
2012,سبتمبر,0
2012,أكتوبر,0
2012,نوفمبر,500
2012,ديسمبر,0
2013,يناير,0
2013,فبراير,0
2013,مارس,0
2013,إبريل,0
2013,مايو,0
2013,يونيو,0
2013,يوليو,0
2013,أغسطس,0
2013,سبتمبر,0
2013,أكتوبر,0
2013,نوفمبر,"8,614"
2013,ديسمبر,0
2014,يناير,0
2014,فبراير,0
2014,مارس,0
2014,إبريل,0
2014,مايو,0
2014,يونيو,0
2014,يوليو,0
2014,أغسطس,0
2014,سبتمبر,0
2014,أكتوبر,0
2014,نوفمبر,0
2014,ديسمبر,0
2015,يناير,0
2015,فبراير,0
2015,مارس,0
2015,إبريل,0
2015,مايو,0
2015,يونيو,0
2015,يوليو,0
2015,أغسطس,0
2015,سبتمبر,"34,946"
2015,أكتوبر,"23,681"
2015,نوفمبر,0
2015,ديسمبر,"3,899"
2016,يناير,0
2016,فبراير,0
2016,مارس,0
2016,إبريل,"1,645"
2016,مايو,0
2016,يونيو,0
2016,يوليو,0
2016,أغسطس,0
2016,سبتمبر,0
2016,أكتوبر,0
2016,نوفمبر,0
2016,ديسمبر,0
2017,يناير,0
2017,فبراير,0
2017,مارس,0
2017,إبريل,0
2017,مايو,0
2017,يونيو,0
2017,يوليو,0
2017,أغسطس,0
2017,سبتمبر,0
2017,أكتوبر,0
2017,نوفمبر,0
2017,ديسمبر,0
2018,يناير,0
2018,فبراير,0
2018,مارس,0
2018,إبريل,0
2018,مايو,0
2018,يونيو,0
2018,يوليو,0
2018,أغسطس,0
2018,سبتمبر,0
2018,أكتوبر,0
2018,نوفمبر,0
2018,ديسمبر,0
2019,يناير,0
2019,فبراير,0
2019,مارس,0
2019,إبريل,0
2019,مايو,0
2019,يونيو,0
2019,يوليو,"8,996"
2019,أغسطس,0
2019,سبتمبر,0
2019,أكتوبر,0
2019,نوفمبر,0
2019,ديسمبر,0
2020,يناير,0
2020,فبراير,0
2020,مارس,"10,139"
2020,إبريل,0
2020,مايو,0
2020,يونيو,"10,295"
2020,يوليو,0
2020,أغسطس,"10,143"
2020,سبتمبر,0
2020,أكتوبر,"10,114"
2020,نوفمبر,"15,990"
2020,ديسمبر,"2,720"
2021,يناير,0
2021,فبراير,0
2021,مارس,0
2021,إبريل,"10,258"
2021,مايو,0
2021,يونيو,0
2021,يوليو,"13,388"
2021,أغسطس,"35,787"
2021,سبتمبر,0
2021,أكتوبر,0
2021,نوفمبر,0
2021,ديسمبر,0
2022,يناير,"11,220"
2022,فبراير,0
2022,مارس,0
2022,إبريل,0
2022,مايو,0
2022,يونيو,0
2022,يوليو,0
2022,أغسطس,0
2022,سبتمبر,0
2022,أكتوبر,0
2022,نوفمبر,0
2022,ديسمبر,0
