Item,Amount,Value
أحجار طبيعيه للمبانى مصقوله,688.6,ألف دولار
أغطية أرضيات نسجيه أخرى,527.9,ألف دولار
سجاد وغيره من اغطية الارضيات النسجية من حرير أو قطن أو ألياف صناعيه عقدى,423.5,ألف دولار
يوسفى طازج أو مجفف,354.6,ألف دولار
برتقال طازج أو مجفف,282.8,ألف دولار
نباتات طبيه أخرى,257.5,ألف دولار
ضمادات لاصقة واصناف اخرى ذات طبقة لاصقة,156.8,ألف دولار
أجزاء محركات نفاثه,150.0,ألف دولار
بنطلون رجالى من القطن غير مصنره,128.8,ألف دولار
طرشى),108.3,ألف دولار
مخاليط خضروات مجمده,89.8,ألف دولار
اغذيه متحصل عليها من نفش اوتحميص الغلال,82.5,ألف دولار
أحجار طبيعيه للمبانى من الألبستر و الرخام,79.8,ألف دولار
قمصان رجالى من الياف أخرى غير مصنره,71.0,ألف دولار
دقيق و مغذيات من حبوب زيتيه أخرى,70.7,ألف دولار
بما فى ذلك الفحم الحيوانى الخام,68.0,ألف دولار
خضروات اخرى مجمده,50.5,ألف دولار
سجاد نايلون آخر,48.4,ألف دولار
عجائن طباعه شفافه,46.3,ألف دولار
راتنجات ميلامين,45.0,ألف دولار
قمصان رجالى من الياف صناعيه غير مصنره,44.9,ألف دولار
الواح/افرخ/رقائق/شرائط/شرائح/اشكال مسطحه من بوليمرات الاكريليك المركبه,39.5,ألف دولار
حساء ومرق ومحضرات (شوربه),37.7,ألف دولار
ملابس أخرى من أقمشه نسجيه أخرى رجالى,37.1,ألف دولار
خضروات بقليه اخرى,34.4,ألف دولار
بلح طازج أو مجفف,26.7,ألف دولار
توســت أو خبز محمص,25.5,ألف دولار
برتقال),24.4,ألف دولار
زيتون مخلل,24.1,ألف دولار
حليات خشبيه بلاستيكيه,20.9,ألف دولار
خضروات مجففه,18.8,ألف دولار
محضرات غذائيه اخرى,17.2,ألف دولار
ملابس المطر الداخليه حريمى بصفة عامه,14.9,ألف دولار
تى شيرت وفانلات بنصف اكمام من الياف أخرى مصنره,11.5,ألف دولار
عصير خليط,11.4,ألف دولار
اثاث اخر من الخشب ? حجره سفره من خشب,11.1,ألف دولار
مصنوعات اخري من بورسلين او صيني للزينه,10.6,ألف دولار
سليب رجالى قطن مصنره,6.1,ألف دولار
بنطلون رجالى من الياف نسجيه أخرى غير مصنره,5.6,ألف دولار
جريب فروت طازج أو مجفف,5.6,ألف دولار
البسه اطفال وملحقاتها مصنرة او كروشيه من الياف اصطناعيه او تركيبيه مصنره,4.9,ألف دولار
رخام خام وترافرتين خام او غير مستوية القطع,4.6,ألف دولار
تى شيرت وفانلات بنصف اكمام من القطن مصنره,3.7,ألف دولار
بلوزه حريمى من الياف نسجيه أخرى غير مصنره,3.5,ألف دولار
فوليه),2.0,ألف دولار
شباك من خشب,2.0,ألف دولار
عجائن اخرى غير محتويه على بيض,1.2,ألف دولار
بسله مجمده,1.2,ألف دولار
اكسسوار حريمى بالطقم من معدن عادى وغير مطلى بمعدن ثمين,1.1,ألف دولار
صلصات ومحضرات مماثله اخرى,1.0,ألف دولار
خضروات أخرى محفوظه مؤقتا وغير صالحه للاستهلاك المباشر,1.0,ألف دولار
خضروات مجمدة او مبردة,1.0,ألف دولار
مولاس قصب السكر و عسل اسود,1.0,ألف دولار
زيوت عطرية أخرى,0.9,ألف دولار
عجائن غذائيه محشوه,0.3,ألف دولار
كتيبات فى صفحات متفرقة .. وان كانت مطوية .اجزاء دون تحديد..,0.2,ألف دولار
