Year,Month,Export Amount
2012,يناير,"865,604"
2012,فبراير,"1,868,280"
2012,مارس,"2,125,191"
2012,إبريل,"10,182,985"
2012,مايو,"12,554,519"
2012,يونيو,"1,519,303"
2012,يوليو,"1,450,989"
2012,أغسطس,"10,832,506"
2012,سبتمبر,"1,491,883"
2012,أكتوبر,"14,533,639"
2012,نوفمبر,"966,964"
2012,ديسمبر,"3,348,629"
2013,يناير,"2,819,178"
2013,فبراير,"1,482,566"
2013,مارس,"1,616,112"
2013,إبريل,"1,475,621"
2013,مايو,"1,297,916"
2013,يونيو,"1,363,213"
2013,يوليو,"1,322,230"
2013,أغسطس,"1,280,029"
2013,سبتمبر,"1,987,149"
2013,أكتوبر,"2,403,716"
2013,نوفمبر,"1,711,675"
2013,ديسمبر,"6,171,931"
2014,يناير,"1,504,084"
2014,فبراير,"1,309,282"
2014,مارس,"1,573,971"
2014,إبريل,"1,099,558"
2014,مايو,"1,726,048"
2014,يونيو,"1,906,326"
2014,يوليو,"1,317,820"
2014,أغسطس,"4,106,406"
2014,سبتمبر,"1,734,361"
2014,أكتوبر,"1,999,230"
2014,نوفمبر,"2,425,816"
2014,ديسمبر,"1,653,663"
2015,يناير,"1,788,910"
2015,فبراير,"1,347,537"
2015,مارس,"1,367,638"
2015,إبريل,"1,795,766"
2015,مايو,"2,050,748"
2015,يونيو,"2,096,761"
2015,يوليو,"1,630,817"
2015,أغسطس,"4,552,878"
2015,سبتمبر,"1,804,028"
2015,أكتوبر,"1,654,666"
2015,نوفمبر,"1,982,907"
2015,ديسمبر,"2,222,076"
2016,يناير,"1,778,088"
2016,فبراير,"2,157,700"
2016,مارس,"1,494,211"
2016,إبريل,"2,891,188"
2016,مايو,"1,504,097"
2016,يونيو,"1,517,745"
2016,يوليو,"1,314,403"
2016,أغسطس,"1,961,311"
2016,سبتمبر,"1,307,222"
2016,أكتوبر,"2,285,910"
2016,نوفمبر,"2,243,872"
2016,ديسمبر,"2,521,756"
2017,يناير,"7,996,914"
2017,فبراير,"2,897,684"
2017,مارس,"2,761,898"
2017,إبريل,"1,769,819"
2017,مايو,"3,246,838"
2017,يونيو,"2,928,181"
2017,يوليو,"1,723,633"
2017,أغسطس,"3,225,451"
2017,سبتمبر,"2,226,576"
2017,أكتوبر,"3,117,097"
2017,نوفمبر,"3,505,935"
2017,ديسمبر,"5,550,694"
2018,يناير,"8,082,281"
2018,فبراير,"2,420,219"
2018,مارس,"1,880,173"
2018,إبريل,"2,233,693"
2018,مايو,"2,493,019"
2018,يونيو,"2,736,801"
2018,يوليو,"2,971,034"
2018,أغسطس,"2,672,913"
2018,سبتمبر,"1,935,560"
2018,أكتوبر,"2,856,085"
2018,نوفمبر,"1,830,494"
2018,ديسمبر,"3,516,796"
2019,يناير,"2,638,183"
2019,فبراير,"1,662,798"
2019,مارس,"2,336,535"
2019,إبريل,"2,315,587"
2019,مايو,"2,331,521"
2019,يونيو,"1,677,928"
2019,يوليو,"2,488,144"
2019,أغسطس,"1,809,316"
2019,سبتمبر,"2,335,909"
2019,أكتوبر,"2,727,570"
2019,نوفمبر,"2,389,827"
2019,ديسمبر,"4,239,399"
2020,يناير,"2,416,287"
2020,فبراير,"2,439,194"
2020,مارس,"34,298,469"
2020,إبريل,"16,041,368"
2020,مايو,"3,880,650"
2020,يونيو,"2,404,188"
2020,يوليو,"24,791,133"
2020,أغسطس,"19,048,127"
2020,سبتمبر,"76,343,360"
2020,أكتوبر,"31,142,794"
2020,نوفمبر,"3,576,256"
2020,ديسمبر,"15,791,477"
2021,يناير,"48,327,978"
2021,فبراير,"29,688,973"
2021,مارس,"21,196,765"
2021,إبريل,"17,407,635"
2021,مايو,"2,935,346"
2021,يونيو,"2,136,803"
2021,يوليو,"2,444,455"
2021,أغسطس,"2,003,618"
2021,سبتمبر,"2,670,166"
2021,أكتوبر,"4,066,028"
2021,نوفمبر,"1,411,122"
2021,ديسمبر,"3,385,712"
2022,يناير,"3,146,262"
2022,فبراير,"1,832,509"
2022,مارس,0
2022,إبريل,0
2022,مايو,0
2022,يونيو,0
2022,يوليو,0
2022,أغسطس,0
2022,سبتمبر,0
2022,أكتوبر,0
2022,نوفمبر,0
2022,ديسمبر,0
