Item,Amount,Value
غزل قطن مفرد اكثر من 85% غير ممشط (83.33) (106.38) (94)  غير مهيىء للبيع بالتجزئة,1.3,مليون دولار
قطن غير ممشط أو مسرح,1.1,مليون دولار
خيوط مغزوله قطنيه أقل من 85% (بخلاف خيوط الحياكه) مهيأه للبيع بالتجزئة,348.5,ألف دولار
حمامات و بانيوهات و أحواض من البلاستيك,226.2,ألف دولار
غزل قطن متعدد اكثر من 85% قطن ممشط (83.33) (120) غير مهيىء للبيع بالتجزئة,205.8,ألف دولار
موصلات كهربيه لا تزيد عن 80 فولت,154.9,ألف دولار
أجزاء من مصابيح و إضائه زجاجيه,134.8,ألف دولار
أحجار طبيعيه للمبانى مصقوله,121.9,ألف دولار
نباتات طبيه أخرى,121.6,ألف دولار
اطقم حمامات / بياضات متنوعه,104.9,ألف دولار
اثاث معدنى اخر,102.1,ألف دولار
إطارات السيارات النقل و الشاحنات,77.6,ألف دولار
كلف دانتيل ? أقمشه دانتيل من القطن,76.0,ألف دولار
بصل وكرات بشوشه,68.2,ألف دولار
الات اخرى تؤدى وظائف مستقلة بذاتها غير مذكورة او داخلة فى اى مكان اخرمن هذا الفصل,66.0,ألف دولار
بصل مجفف,49.7,ألف دولار
سجاد وغيره من اغطية الارضيات النسجية من حرير أو قطن أو ألياف صناعيه عقدى,35.0,ألف دولار
غزل كتان متعدد مسرح,26.5,ألف دولار
محضرات غذائيه اخرى,15.6,ألف دولار
عصير خليط,13.7,ألف دولار
أغطية أرضيات نسجيه أخرى,11.1,ألف دولار
جوانات سيارات,10.3,ألف دولار
اجزاء اجهزه نفث و رش وطفايات الحريق,9.2,ألف دولار
مفاتيح كهربائيه اخرى للأكثر من 1000 فولت,6.3,ألف دولار
منصهرات كهربيه داتيه لا يزيد عن 1000 فولت,6.2,ألف دولار
إكسسوارات الأثاث من أنواع البلاستيك الأخرى,5.9,ألف دولار
سماعات للراس وسماعات للاذن مركبه على الميكروفانات واطقم مكبره للصوت,5.7,ألف دولار
مستلزمات أخرى من أنواع البلاستيك الأخرى,3.6,ألف دولار
قمصان رجالى من الياف صناعيه غير مصنره,2.1,ألف دولار
بلوزه حريمى من الياف صناعيه غير مصنره,2.1,ألف دولار
فاصولياخضراء و فول أخضر,0.9,ألف دولار
سحلب مطحون,0.6,ألف دولار
قماش بارلون / نايلون,0.3,ألف دولار
ملابس المطر الداخليه رجالى بصفة عامه,0.2,ألف دولار
دفاتر),0.1,ألف دولار
غيرها من الادوات والاجهزة المستخدمة فى الطب او الجراحة او لطب الاسنان  او للطب البيطرى,0.1,ألف دولار
ملابس أخرى من أقمشه صناعيه رجالى,0.1,ألف دولار
صناديق و حاويات من البلاستيك,0.0,ألف دولار
اكسوارات عوازل كهربائيه من بلاستيك,0.0,ألف دولار
