Year,Month,Export Amount
2012,يناير,"750,366"
2012,فبراير,"1,773,008"
2012,مارس,"1,602,155"
2012,إبريل,"867,163"
2012,مايو,"1,782,003"
2012,يونيو,"1,524,256"
2012,يوليو,"1,607,585"
2012,أغسطس,"1,571,617"
2012,سبتمبر,"1,093,069"
2012,أكتوبر,"1,295,131"
2012,نوفمبر,"717,617"
2012,ديسمبر,"1,015,239"
2013,يناير,"1,237,723"
2013,فبراير,"1,070,894"
2013,مارس,"877,443"
2013,إبريل,"526,015"
2013,مايو,"1,439,140"
2013,يونيو,"1,557,387"
2013,يوليو,"741,325"
2013,أغسطس,"690,595"
2013,سبتمبر,"1,796,405"
2013,أكتوبر,"1,089,621"
2013,نوفمبر,"726,501"
2013,ديسمبر,"1,307,044"
2014,يناير,"1,142,922"
2014,فبراير,"1,037,268"
2014,مارس,"1,605,227"
2014,إبريل,"896,144"
2014,مايو,"1,897,185"
2014,يونيو,"2,357,913"
2014,يوليو,"1,211,502"
2014,أغسطس,"1,864,616"
2014,سبتمبر,"1,805,217"
2014,أكتوبر,"1,620,340"
2014,نوفمبر,"1,344,723"
2014,ديسمبر,"1,440,883"
2015,يناير,"1,430,841"
2015,فبراير,"866,811"
2015,مارس,"1,804,354"
2015,إبريل,"1,406,036"
2015,مايو,"1,474,415"
2015,يونيو,"2,014,267"
2015,يوليو,"1,176,750"
2015,أغسطس,"1,263,224"
2015,سبتمبر,"987,236"
2015,أكتوبر,"1,127,652"
2015,نوفمبر,"900,601"
2015,ديسمبر,"498,483"
2016,يناير,"1,027,274"
2016,فبراير,"678,068"
2016,مارس,"985,725"
2016,إبريل,"945,177"
2016,مايو,"1,223,587"
2016,يونيو,"1,972,071"
2016,يوليو,"954,848"
2016,أغسطس,"604,038"
2016,سبتمبر,"1,033,630"
2016,أكتوبر,"966,523"
2016,نوفمبر,"995,569"
2016,ديسمبر,"775,519"
2017,يناير,"1,730,917"
2017,فبراير,"426,623"
2017,مارس,"701,541"
2017,إبريل,"734,186"
2017,مايو,"1,092,395"
2017,يونيو,"1,135,167"
2017,يوليو,"1,072,471"
2017,أغسطس,"762,853"
2017,سبتمبر,"423,653"
2017,أكتوبر,"1,050,242"
2017,نوفمبر,"837,336"
2017,ديسمبر,"1,096,347"
2018,يناير,"1,739,934"
2018,فبراير,"1,189,944"
2018,مارس,"1,660,827"
2018,إبريل,"1,627,301"
2018,مايو,"2,013,555"
2018,يونيو,"1,600,050"
2018,يوليو,"1,323,333"
2018,أغسطس,"1,299,266"
2018,سبتمبر,"1,661,412"
2018,أكتوبر,"1,524,372"
2018,نوفمبر,"1,431,305"
2018,ديسمبر,"1,412,539"
2019,يناير,"1,349,153"
2019,فبراير,"1,660,498"
2019,مارس,"1,725,181"
2019,إبريل,"1,925,804"
2019,مايو,"2,053,275"
2019,يونيو,"1,557,162"
2019,يوليو,"1,564,668"
2019,أغسطس,"1,253,007"
2019,سبتمبر,"796,513"
2019,أكتوبر,"762,217"
2019,نوفمبر,"658,742"
2019,ديسمبر,"380,390"
2020,يناير,"1,455,418"
2020,فبراير,"1,262,502"
2020,مارس,"1,405,149"
2020,إبريل,"349,695"
2020,مايو,"746,933"
2020,يونيو,"1,607,369"
2020,يوليو,"431,827"
2020,أغسطس,"863,164"
2020,سبتمبر,"1,118,907"
2020,أكتوبر,"846,036"
2020,نوفمبر,"1,300,962"
2020,ديسمبر,"1,279,971"
2021,يناير,"1,166,580"
2021,فبراير,"1,040,781"
2021,مارس,"1,900,923"
2021,إبريل,"590,599"
2021,مايو,"1,515,760"
2021,يونيو,"1,512,260"
2021,يوليو,"947,922"
2021,أغسطس,"2,364,156"
2021,سبتمبر,"1,563,012"
2021,أكتوبر,"706,753"
2021,نوفمبر,"810,304"
2021,ديسمبر,"1,278,184"
2022,يناير,"1,849,350"
2022,فبراير,"2,654,834"
2022,مارس,0
2022,إبريل,0
2022,مايو,0
2022,يونيو,0
2022,يوليو,0
2022,أغسطس,0
2022,سبتمبر,0
2022,أكتوبر,0
2022,نوفمبر,0
2022,ديسمبر,0
