Year,Month,Export Amount
2012,يناير,"1,848,667"
2012,فبراير,"661,649"
2012,مارس,"2,586,871"
2012,إبريل,"573,324"
2012,مايو,"33,337"
2012,يونيو,"108,121"
2012,يوليو,"7,360"
2012,أغسطس,"116,181"
2012,سبتمبر,"540,184"
2012,أكتوبر,"939,771"
2012,نوفمبر,"10,513"
2012,ديسمبر,"104,025"
2013,يناير,"57,694"
2013,فبراير,"321,037"
2013,مارس,"385,374"
2013,إبريل,"148,570"
2013,مايو,"1,032,666"
2013,يونيو,"182,204"
2013,يوليو,"108,105"
2013,أغسطس,"338,564"
2013,سبتمبر,"50,535"
2013,أكتوبر,"225,426"
2013,نوفمبر,"50,014"
2013,ديسمبر,"106,647"
2014,يناير,"192,201"
2014,فبراير,"537,190"
2014,مارس,"340,521"
2014,إبريل,"671,505"
2014,مايو,"149,763"
2014,يونيو,"288,122"
2014,يوليو,"180,778"
2014,أغسطس,"15,630"
2014,سبتمبر,"166,112"
2014,أكتوبر,"8,940"
2014,نوفمبر,"172,985"
2014,ديسمبر,"79,238"
2015,يناير,"341,196"
2015,فبراير,"154,530"
2015,مارس,"206,305"
2015,إبريل,"270,845"
2015,مايو,"232,695"
2015,يونيو,"107,374"
2015,يوليو,"252,040"
2015,أغسطس,"62,431"
2015,سبتمبر,370
2015,أكتوبر,"205,782"
2015,نوفمبر,"135,391"
2015,ديسمبر,"99,002"
2016,يناير,"208,352"
2016,فبراير,"262,648"
2016,مارس,"193,060"
2016,إبريل,"31,811"
2016,مايو,"100,612"
2016,يونيو,"115,622"
2016,يوليو,"49,534"
2016,أغسطس,"154,926"
2016,سبتمبر,"60,744"
2016,أكتوبر,"42,474"
2016,نوفمبر,"123,133"
2016,ديسمبر,"101,356"
2017,يناير,"84,059"
2017,فبراير,"263,417"
2017,مارس,"112,126"
2017,إبريل,"97,532"
2017,مايو,"25,601"
2017,يونيو,"215,708"
2017,يوليو,"147,041"
2017,أغسطس,"31,480"
2017,سبتمبر,"19,084"
2017,أكتوبر,"43,183"
2017,نوفمبر,"55,865"
2017,ديسمبر,"68,241"
2018,يناير,"99,635"
2018,فبراير,"297,421"
2018,مارس,"183,244"
2018,إبريل,"36,512"
2018,مايو,"143,465"
2018,يونيو,"66,706"
2018,يوليو,"248,472"
2018,أغسطس,"2,762"
2018,سبتمبر,"147,619"
2018,أكتوبر,"83,534"
2018,نوفمبر,"125,344"
2018,ديسمبر,"182,268"
2019,يناير,"139,840"
2019,فبراير,"1,114,339"
2019,مارس,"430,244"
2019,إبريل,"251,856"
2019,مايو,"233,177"
2019,يونيو,"215,577"
2019,يوليو,"28,244"
2019,أغسطس,0
2019,سبتمبر,"48,309"
2019,أكتوبر,"67,555"
2019,نوفمبر,"155,935"
2019,ديسمبر,"87,051"
2020,يناير,"170,750"
2020,فبراير,"390,856"
2020,مارس,"474,959"
2020,إبريل,"382,813"
2020,مايو,"420,965"
2020,يونيو,"361,669"
2020,يوليو,"20,352"
2020,أغسطس,"122,500"
2020,سبتمبر,"132,015"
2020,أكتوبر,"139,891"
2020,نوفمبر,"108,319"
2020,ديسمبر,"178,679"
2021,يناير,"344,294"
2021,فبراير,"588,708"
2021,مارس,"454,147"
2021,إبريل,"540,624"
2021,مايو,"425,342"
2021,يونيو,"133,867"
2021,يوليو,"62,989"
2021,أغسطس,"30,932"
2021,سبتمبر,"541,779"
2021,أكتوبر,"229,990"
2021,نوفمبر,"107,995"
2021,ديسمبر,"69,003"
2022,يناير,"117,821"
2022,فبراير,"303,861"
2022,مارس,0
2022,إبريل,0
2022,مايو,0
2022,يونيو,0
2022,يوليو,0
2022,أغسطس,0
2022,سبتمبر,0
2022,أكتوبر,0
2022,نوفمبر,0
2022,ديسمبر,0
