Item,Amount,Value
مكسبات طعم ورائحه,1.0,مليون دولار
زيت عباد الشمس بصـفة عـامة,317.2,ألف دولار
صلصه كتش اب و صلصه حريفه (هوت صوص),269.1,ألف دولار
قفازات طبيه من المطاط,166.0,ألف دولار
خميره جافه نشطه,137.8,ألف دولار
معجون بلاستيك لأعمال الطلاء الماستيكى,111.3,ألف دولار
طماطم محفوظه بكاملها فى مواد أخرى,66.2,ألف دولار
عجائن اخرى غير محتويه على بيض,66.0,ألف دولار
أغطية أرضيات نسجيه أخرى,58.6,ألف دولار
عصير خليط,48.1,ألف دولار
ورق ناسخ ذاتيا مطبوع .. على هيئة لفات او افرخ,44.0,ألف دولار
راتنجات الكيديه,26.2,ألف دولار
محضرات واصناف صيدليه اخر,24.6,ألف دولار
ورق الصحف,23.0,ألف دولار
اثاث اخر من الخشب ? حجره سفره من خشب,22.9,ألف دولار
اثاث من لدائن اصطناعيه,12.0,ألف دولار
غراء بوجه عام,5.6,ألف دولار
محضرات غذائيه اخرى,0.9,ألف دولار
غيرها من اصناف للمائدة واصناف مطبخية ومنزلية من صلب لايصدا,0.2,ألف دولار
مضادات حيويه للتجزئه,0.1,ألف دولار
كتالوجات تجاريه وماشابه (طباعه اعلانات دعايه وملصقات),0.0,ألف دولار
طلاء اظافر (مانيكير)/ اكلادور,0.0,ألف دولار
