Year,Month,Export Amount
2012,يناير,"228,390"
2012,فبراير,"359,007"
2012,مارس,"1,039,623"
2012,إبريل,"601,815"
2012,مايو,"246,994"
2012,يونيو,"1,940,570"
2012,يوليو,"1,768,552"
2012,أغسطس,"825,381"
2012,سبتمبر,"212,687"
2012,أكتوبر,"715,888"
2012,نوفمبر,"2,101,955"
2012,ديسمبر,"2,917,750"
2013,يناير,"196,034"
2013,فبراير,"1,052,620"
2013,مارس,"661,611"
2013,إبريل,"141,146"
2013,مايو,"1,335,306"
2013,يونيو,"625,728"
2013,يوليو,"1,343,083"
2013,أغسطس,"828,857"
2013,سبتمبر,"1,167,644"
2013,أكتوبر,"1,488,468"
2013,نوفمبر,"820,931"
2013,ديسمبر,"795,741"
2014,يناير,"100,194"
2014,فبراير,"171,036"
2014,مارس,"492,047"
2014,إبريل,"272,637"
2014,مايو,"2,195,763"
2014,يونيو,"867,869"
2014,يوليو,"621,962"
2014,أغسطس,"1,842,997"
2014,سبتمبر,"467,398"
2014,أكتوبر,"1,566,968"
2014,نوفمبر,"1,171,335"
2014,ديسمبر,"599,869"
2015,يناير,"58,864"
2015,فبراير,"289,630"
2015,مارس,"1,760,185"
2015,إبريل,"856,139"
2015,مايو,"529,545"
2015,يونيو,"29,666"
2015,يوليو,"113,546"
2015,أغسطس,"937,618"
2015,سبتمبر,"722,966"
2015,أكتوبر,"1,020,205"
2015,نوفمبر,"263,803"
2015,ديسمبر,"171,029"
2016,يناير,"678,540"
2016,فبراير,"114,925"
2016,مارس,"402,521"
2016,إبريل,"519,634"
2016,مايو,"654,916"
2016,يونيو,"744,619"
2016,يوليو,"99,744"
2016,أغسطس,"2,450,385"
2016,سبتمبر,"361,104"
2016,أكتوبر,"1,134,259"
2016,نوفمبر,"276,788"
2016,ديسمبر,"657,693"
2017,يناير,"2,199,316"
2017,فبراير,"1,718,378"
2017,مارس,"204,450"
2017,إبريل,"151,083"
2017,مايو,"853,047"
2017,يونيو,"214,934"
2017,يوليو,"334,986"
2017,أغسطس,"872,326"
2017,سبتمبر,"985,068"
2017,أكتوبر,"349,641"
2017,نوفمبر,"399,711"
2017,ديسمبر,"2,237,559"
2018,يناير,"349,736"
2018,فبراير,"195,034"
2018,مارس,"983,192"
2018,إبريل,"415,676"
2018,مايو,"1,632,475"
2018,يونيو,"1,962,382"
2018,يوليو,"457,749"
2018,أغسطس,"388,200"
2018,سبتمبر,"388,926"
2018,أكتوبر,"227,145"
2018,نوفمبر,"209,585"
2018,ديسمبر,"2,052,773"
2019,يناير,"131,948"
2019,فبراير,"1,249,079"
2019,مارس,"245,006"
2019,إبريل,"896,537"
2019,مايو,"229,726"
2019,يونيو,"1,579,807"
2019,يوليو,"693,272"
2019,أغسطس,"27,105"
2019,سبتمبر,"1,221,225"
2019,أكتوبر,"1,524,948"
2019,نوفمبر,"721,297"
2019,ديسمبر,"273,166"
2020,يناير,"150,741"
2020,فبراير,"1,415,446"
2020,مارس,"319,657"
2020,إبريل,"1,019,021"
2020,مايو,"308,758"
2020,يونيو,"1,791,837"
2020,يوليو,"231,144"
2020,أغسطس,"2,347,243"
2020,سبتمبر,"742,097"
2020,أكتوبر,"1,424,573"
2020,نوفمبر,"1,264,992"
2020,ديسمبر,"1,865,879"
2021,يناير,"364,257"
2021,فبراير,"442,109"
2021,مارس,"1,457,995"
2021,إبريل,"1,418,342"
2021,مايو,"448,683"
2021,يونيو,"1,650,177"
2021,يوليو,"1,089,189"
2021,أغسطس,"2,184,213"
2021,سبتمبر,"1,629,781"
2021,أكتوبر,"465,890"
2021,نوفمبر,"203,301"
2021,ديسمبر,"553,113"
2022,يناير,"1,327,452"
2022,فبراير,"1,104,717"
2022,مارس,0
2022,إبريل,0
2022,مايو,0
2022,يونيو,0
2022,يوليو,0
2022,أغسطس,0
2022,سبتمبر,0
2022,أكتوبر,0
2022,نوفمبر,0
2022,ديسمبر,0
