Item,Amount,Value
غاز طبيعى فى صوره سائله,98.8,مليون دولار
بولى اثيلين ذات ثقل نوعى 94ر او يزيد,13.0,مليون دولار
بوليمرات الإيثيلين,5.7,مليون دولار
حبات  (P.P) بولي بروبلين,4.7,مليون دولار
بولى اثيلين ذات ثقل نوعى 94ر او يزيد,3.6,مليون دولار
غيرها من الياف زجاجيه (بما فيها الصوف الزجاجى) واصناف منها,2.3,مليون دولار
قمصان رجالى من الياف صناعيه غير مصنره,2.2,مليون دولار
بطاطس طازجه اومبرده أخرى,1.7,مليون دولار
قمصان رجالى من الياف أخرى غير مصنره,1.6,مليون دولار
فراوله طازجه,1.6,مليون دولار
فراوله محفوظه مؤقتا,1.4,مليون دولار
بودره بولي ايثلين P.E.T,1.0,مليون دولار
سلك اسوار,872.5,ألف دولار
خضروات اخرى مجمده,677.9,ألف دولار
بازلياء خضراء,632.7,ألف دولار
بصل مجفف,604.6,ألف دولار
اسمنت فوندو ..... الخ,576.2,ألف دولار
بوليستر أولى,568.8,ألف دولار
مستلزمات أخرى من أنواع البلاستيك الأخرى,472.4,ألف دولار
حمامات و بانيوهات و أحواض من البلاستيك,400.6,ألف دولار
شرائح غير خلويه ولامتحده مع مواد اخرى من بوليميرات الايثيلين,373.9,ألف دولار
اطقم حمامات / بياضات متنوعه,370.2,ألف دولار
منتجات مماثله للشموع لها خاصيه شمعيه,352.8,ألف دولار
شعر كتان مسرح أو شعر كتان ممشط و ليس مغزول,328.1,ألف دولار
رقائق الومنيوم غير مشغوله,320.6,ألف دولار
برتقال طازج أو مجفف,319.4,ألف دولار
ادوات للمائدة والمطبخ بورسلين,317.2,ألف دولار
غزل قطن متعدد أكثر من 85% قطن ممشط (31و192) ( 125)غير مهييء للبيع بالتجزئه,314.8,ألف دولار
ادوات أخرى من الزجاج العادى,279.2,ألف دولار
بصل وكرات بشوشه,269.2,ألف دولار
ضمادات لاصقة واصناف اخرى ذات طبقة لاصقة,252.3,ألف دولار
ليتوبون والوان سطحية ومحضرات اخرى غير عضويه متنوعه,246.4,ألف دولار
ادوات منزليه من الالومنيوم خاصه بالمطبخ,243.4,ألف دولار
ثـــوم طازج أو مثلج,214.2,ألف دولار
مساحيق محضره للخبيز (بيكنج بودر),203.2,ألف دولار
سبائك نحاس و رصاص,195.6,ألف دولار
بياضات المائدة وبياضات المطابخ من المناشف او الاقمشة الوبرية المماثلة من قطن,195.4,ألف دولار
اثاث اخر من الخشب ? حجره سفره من خشب,185.2,ألف دولار
فاصولياخضراء و فول أخضر,181.8,ألف دولار
طرشى),162.4,ألف دولار
نباتات طبيه أخرى,151.3,ألف دولار
أحجار طبيعيه للمبانى مصقوله,138.2,ألف دولار
قضبان و عيدان من الصلب السيليكونى الكهربى,138.2,ألف دولار
الواح حديد كروم مسحوبة على البارد فى رولات بعرض اكبر من 600مم وبسمك اقل من 0.5مم,137.6,ألف دولار
اجهزة كهربائيه للتسخين الفورى للمياه ومقاومات تسخين كهربائيه (سخانات مغموره بداخل الغسالات),134.5,ألف دولار
بنطلون رجالى من الياف نسجيه أخرى غير مصنره,125.5,ألف دولار
سجاد وغيره من اغطية الارضيات النسجية من حرير أو قطن أو ألياف صناعيه عقدى,114.3,ألف دولار
مخلفات صناعة النشا,107.5,ألف دولار
ملابس المطر الداخليه رجالى بصفة عامه,101.4,ألف دولار
تى شيرت وفانلات بنصف اكمام من الياف أخرى مصنره,95.6,ألف دولار
فضلات الحديد الصلب,90.0,ألف دولار
بلوزه حريمى من الياف صناعيه غير مصنره,79.4,ألف دولار
غيرها من مصنوعات اخرى مصبوبه من حديد او صلب,74.2,ألف دولار
اعلاف حيوانيه غير تقليديه,73.2,ألف دولار
بما فى ذلك الفحم الحيوانى الخام,68.9,ألف دولار
دينبه الارز,63.9,ألف دولار
جريب فروت طازج أو مجفف,57.1,ألف دولار
فوليه),56.9,ألف دولار
أشجار و شجيرات ذات ثمار أو بدون ثمار,54.3,ألف دولار
سجاد نايلون آخر,53.1,ألف دولار
مخاليط خضروات مجمده,50.1,ألف دولار
بذور عباد الشمس وان كانت مفتته,45.0,ألف دولار
خيوط من البوليستر المستمر غير مسرح أو ممشط,44.3,ألف دولار
إطارات السيارات النقل و الشاحنات,43.3,ألف دولار
يوسفى طازج أو مجفف,40.4,ألف دولار
جلوكوز و عسل الجلوكوز,39.4,ألف دولار
سجادوغيره من اغطيه الارضيات النسجيه من مواد نسجيه تركيبيه اواصطناعيه,38.4,ألف دولار
"الواح , افرخ , رقائق , شرائط ,شرائح,غير خلوية وغير مقواه بوليمييرات البروبيلين",37.9,ألف دولار
دقيق و مغذيات من حبوب زيتيه أخرى,36.6,ألف دولار
مخارط أخرى لشغل المعادن,34.2,ألف دولار
