Year,Month,Export Amount
2012,يناير,"38,575,638"
2012,فبراير,"21,542,545"
2012,مارس,"18,775,392"
2012,إبريل,"35,078,737"
2012,مايو,"39,303,586"
2012,يونيو,"25,709,339"
2012,يوليو,"21,753,015"
2012,أغسطس,"24,900,818"
2012,سبتمبر,"29,288,247"
2012,أكتوبر,"22,881,769"
2012,نوفمبر,"28,962,598"
2012,ديسمبر,"35,362,772"
2013,يناير,"26,296,363"
2013,فبراير,"32,869,386"
2013,مارس,"32,518,533"
2013,إبريل,"35,131,841"
2013,مايو,"39,559,928"
2013,يونيو,"32,356,276"
2013,يوليو,"23,414,205"
2013,أغسطس,"39,563,413"
2013,سبتمبر,"25,352,653"
2013,أكتوبر,"12,063,228"
2013,نوفمبر,"50,669,941"
2013,ديسمبر,"31,767,828"
2014,يناير,"18,843,659"
2014,فبراير,"24,040,611"
2014,مارس,"31,087,412"
2014,إبريل,"27,536,782"
2014,مايو,"27,642,912"
2014,يونيو,"24,512,757"
2014,يوليو,"21,688,658"
2014,أغسطس,"20,496,238"
2014,سبتمبر,"15,634,306"
2014,أكتوبر,"29,983,197"
2014,نوفمبر,"25,286,757"
2014,ديسمبر,"27,181,299"
2015,يناير,"12,440,602"
2015,فبراير,"17,684,777"
2015,مارس,"19,375,546"
2015,إبريل,"17,668,222"
2015,مايو,"25,111,237"
2015,يونيو,"22,645,925"
2015,يوليو,"22,796,446"
2015,أغسطس,"19,004,457"
2015,سبتمبر,"18,564,412"
2015,أكتوبر,"18,616,231"
2015,نوفمبر,"18,587,048"
2015,ديسمبر,"24,953,893"
2016,يناير,"14,449,284"
2016,فبراير,"15,726,124"
2016,مارس,"21,848,119"
2016,إبريل,"21,347,840"
2016,مايو,"14,479,082"
2016,يونيو,"35,289,477"
2016,يوليو,"23,077,696"
2016,أغسطس,"13,178,924"
2016,سبتمبر,"13,104,691"
2016,أكتوبر,"17,124,783"
2016,نوفمبر,"21,022,180"
2016,ديسمبر,"38,615,355"
2017,يناير,"80,515,044"
2017,فبراير,"21,039,692"
2017,مارس,"25,853,934"
2017,إبريل,"35,566,275"
2017,مايو,"27,778,913"
2017,يونيو,"20,759,931"
2017,يوليو,"27,485,504"
2017,أغسطس,"25,886,841"
2017,سبتمبر,"20,031,395"
2017,أكتوبر,"28,876,094"
2017,نوفمبر,"23,978,441"
2017,ديسمبر,"42,001,583"
2018,يناير,"21,931,174"
2018,فبراير,"24,918,336"
2018,مارس,"20,007,589"
2018,إبريل,"25,756,722"
2018,مايو,"23,920,083"
2018,يونيو,"25,745,729"
2018,يوليو,"31,120,280"
2018,أغسطس,"19,740,106"
2018,سبتمبر,"25,978,062"
2018,أكتوبر,"30,684,253"
2018,نوفمبر,"32,059,284"
2018,ديسمبر,"43,738,563"
2019,يناير,"25,940,050"
2019,فبراير,"31,086,677"
2019,مارس,"40,945,956"
2019,إبريل,"30,249,992"
2019,مايو,"24,088,148"
2019,يونيو,"19,280,133"
2019,يوليو,"20,755,164"
2019,أغسطس,"23,371,610"
2019,سبتمبر,"18,310,381"
2019,أكتوبر,"25,435,256"
2019,نوفمبر,"40,437,117"
2019,ديسمبر,"45,551,548"
2020,يناير,"25,760,150"
2020,فبراير,"35,630,264"
2020,مارس,"26,721,315"
2020,إبريل,"13,703,747"
2020,مايو,"13,486,020"
2020,يونيو,"20,803,679"
2020,يوليو,"17,902,576"
2020,أغسطس,"14,046,112"
2020,سبتمبر,"19,124,107"
2020,أكتوبر,"18,975,013"
2020,نوفمبر,"16,160,971"
2020,ديسمبر,"30,710,680"
2021,يناير,"23,473,102"
2021,فبراير,"25,424,195"
2021,مارس,"62,172,623"
2021,إبريل,"31,287,190"
2021,مايو,"40,211,813"
2021,يونيو,"43,318,269"
2021,يوليو,"27,165,285"
2021,أغسطس,"58,894,206"
2021,سبتمبر,"31,634,506"
2021,أكتوبر,"22,319,594"
2021,نوفمبر,"20,002,289"
2021,ديسمبر,"32,757,174"
2022,يناير,"124,157,064"
2022,فبراير,"27,499,457"
2022,مارس,0
2022,إبريل,0
2022,مايو,0
2022,يونيو,0
2022,يوليو,0
2022,أغسطس,0
2022,سبتمبر,0
2022,أكتوبر,0
2022,نوفمبر,0
2022,ديسمبر,0
