Item,Amount,Value
,2.7,مليون دولار
اتوبيس سياحه (سيارات النقل العام من طراز الركاب),311.7,ألف دولار
الواح حديد مسحوبة على الساخن فى رولات بعرض اكبر من 600مم وبسمك اكبر من 4.75 مم,245.0,ألف دولار
ابراج وصوارى شبكيه ? ابراج معدنيه من حديد اوصلب,94.0,ألف دولار
تنر (تنر عضوى عادى او مخصوص),75.3,ألف دولار
بولى اثيلين ذات ثقل نوعى 94ر او يزيد,72.0,ألف دولار
لبن بودره غير محلى,62.6,ألف دولار
بويات و ورنيش من قاعده  بوليمرات,52.0,ألف دولار
قوارير وزجاجات واوانى وجرار وامبولات وغيرها من الاوعية من الزجاج من النوع المستعمل فى نقل اوتعبئة السلع,42.1,ألف دولار
راتنجات الكيديه,38.6,ألف دولار
بوليستر أولى,31.7,ألف دولار
اعلاف حيوانيه غير تقليديه,19.0,ألف دولار
لعزل الحراره ?  الصوت,11.4,ألف دولار
دقيق حنطة قمح ودقيق خليط حنطة,10.8,ألف دولار
بيكربونات كالسيوم,10.5,ألف دولار
انهدريت (كبريتات كالسيوم لامائى),7.4,ألف دولار
اثاث اخر من الخشب ? حجره سفره من خشب,3.0,ألف دولار
