Year,Month,Export Amount
2012,يناير,"726,480"
2012,فبراير,"402,792"
2012,مارس,"924,152"
2012,إبريل,"431,495"
2012,مايو,"385,186"
2012,يونيو,"692,074"
2012,يوليو,"805,686"
2012,أغسطس,"165,340"
2012,سبتمبر,"967,107"
2012,أكتوبر,"539,496"
2012,نوفمبر,"508,193"
2012,ديسمبر,"1,049,576"
2013,يناير,"315,937"
2013,فبراير,"738,104"
2013,مارس,"358,268"
2013,إبريل,"944,570"
2013,مايو,"658,330"
2013,يونيو,"506,575"
2013,يوليو,"608,480"
2013,أغسطس,"463,868"
2013,سبتمبر,"659,284"
2013,أكتوبر,"1,179,875"
2013,نوفمبر,"661,799"
2013,ديسمبر,"608,484"
2014,يناير,"616,149"
2014,فبراير,"719,808"
2014,مارس,"871,259"
2014,إبريل,"929,068"
2014,مايو,"242,986"
2014,يونيو,"405,012"
2014,يوليو,"1,191,648"
2014,أغسطس,"797,433"
2014,سبتمبر,"1,488,035"
2014,أكتوبر,"1,312,279"
2014,نوفمبر,"1,547,757"
2014,ديسمبر,"1,704,599"
2015,يناير,"971,723"
2015,فبراير,"1,213,067"
2015,مارس,"1,053,776"
2015,إبريل,"2,999,885"
2015,مايو,"995,042"
2015,يونيو,"1,048,487"
2015,يوليو,"1,863,130"
2015,أغسطس,"1,591,820"
2015,سبتمبر,"762,340"
2015,أكتوبر,"953,154"
2015,نوفمبر,"546,540"
2015,ديسمبر,"602,400"
2016,يناير,"633,185"
2016,فبراير,"866,782"
2016,مارس,"556,387"
2016,إبريل,"1,673,309"
2016,مايو,"196,628"
2016,يونيو,"1,012,816"
2016,يوليو,"574,048"
2016,أغسطس,"208,062"
2016,سبتمبر,"213,769"
2016,أكتوبر,"693,689"
2016,نوفمبر,"971,647"
2016,ديسمبر,"223,826"
2017,يناير,"3,662,552"
2017,فبراير,"650,874"
2017,مارس,"1,242,706"
2017,إبريل,"1,011,341"
2017,مايو,"2,880,983"
2017,يونيو,"422,083"
2017,يوليو,"697,490"
2017,أغسطس,"596,601"
2017,سبتمبر,"66,687"
2017,أكتوبر,"431,599"
2017,نوفمبر,"498,888"
2017,ديسمبر,"43,721"
2018,يناير,"253,940"
2018,فبراير,"708,660"
2018,مارس,"385,338"
2018,إبريل,"693,681"
2018,مايو,"469,969"
2018,يونيو,"255,945"
2018,يوليو,"795,236"
2018,أغسطس,"154,329"
2018,سبتمبر,"221,501"
2018,أكتوبر,"435,288"
2018,نوفمبر,"46,225"
2018,ديسمبر,"731,824"
2019,يناير,"230,127"
2019,فبراير,"174,705"
2019,مارس,"1,522,665"
2019,إبريل,"315,696"
2019,مايو,"1,124,460"
2019,يونيو,"74,373"
2019,يوليو,"351,353"
2019,أغسطس,"403,546"
2019,سبتمبر,"668,323"
2019,أكتوبر,"572,740"
2019,نوفمبر,"216,053"
2019,ديسمبر,"684,870"
2020,يناير,"342,799"
2020,فبراير,"152,674"
2020,مارس,"142,257"
2020,إبريل,"1,172,165"
2020,مايو,"177,510"
2020,يونيو,"991,881"
2020,يوليو,"987,265"
2020,أغسطس,"542,288"
2020,سبتمبر,"1,326,823"
2020,أكتوبر,"573,855"
2020,نوفمبر,"456,208"
2020,ديسمبر,"2,005,789"
2021,يناير,"857,195"
2021,فبراير,"232,578"
2021,مارس,"1,200,752"
2021,إبريل,"736,146"
2021,مايو,"221,649"
2021,يونيو,"4,740,541"
2021,يوليو,"3,539,093"
2021,أغسطس,"1,404,179"
2021,سبتمبر,"1,840,679"
2021,أكتوبر,"1,429,863"
2021,نوفمبر,"562,439"
2021,ديسمبر,"666,092"
2022,يناير,"3,567,518"
2022,فبراير,"234,378"
2022,مارس,0
2022,إبريل,0
2022,مايو,0
2022,يونيو,0
2022,يوليو,0
2022,أغسطس,0
2022,سبتمبر,0
2022,أكتوبر,0
2022,نوفمبر,0
2022,ديسمبر,0
