Item,Amount,Value
,5.3,مليون دولار
جلوكوز و عسل الجلوكوز,196.5,ألف دولار
إطارات السيارات النقل و الشاحنات,59.8,ألف دولار
غيرها من مصنوعات اخرى مصبوبه من حديد او صلب,28.6,ألف دولار
محضرات غذائيه للاطفال,23.9,ألف دولار
اثاث من لدائن اصطناعيه,3.2,ألف دولار
اقمشة قطن خام أكثر من 85% قطن من100 إلى 200 جرام مصبوغه,2.6,ألف دولار
اثاث اخر من الخشب ? حجره سفره من خشب,2.5,ألف دولار
معاملات تجميع الدم,2.0,ألف دولار
روب حريمى من الالياف النسجية الأخرى غير مصنره,1.0,ألف دولار
سليب أو كيلوت من الياف نسجيه أخرى غير مصنره,0.5,ألف دولار
قماش ركامه ? أقمشه منجده ? قماش جبير,0.2,ألف دولار
غيرها من مصنوعات اخرى مصبوبه من حديد او صلب,0.2,ألف دولار
ادوات أخرى من الزجاج العادى,0.2,ألف دولار
مستحضرات تجميل الشفاه,0.1,ألف دولار
برفان,0.1,ألف دولار
محضرات واصناف صيدليه اخر,0.0,ألف دولار
