Year,Month,Export Amount
2012,يناير,"941,579"
2012,فبراير,"331,058"
2012,مارس,"288,103"
2012,إبريل,"333,849"
2012,مايو,"393,030"
2012,يونيو,"97,084"
2012,يوليو,"1,534,070"
2012,أغسطس,"271,661"
2012,سبتمبر,"118,801"
2012,أكتوبر,"10,441"
2012,نوفمبر,"1,300,550"
2012,ديسمبر,"47,053"
2013,يناير,"790,793"
2013,فبراير,"618,641"
2013,مارس,"139,320"
2013,إبريل,"2,898,411"
2013,مايو,"235,386"
2013,يونيو,"311,000"
2013,يوليو,"1,311,068"
2013,أغسطس,"1,027,721"
2013,سبتمبر,"325,115"
2013,أكتوبر,"449,591"
2013,نوفمبر,"98,595"
2013,ديسمبر,"985,394"
2014,يناير,"1,367,809"
2014,فبراير,"204,721"
2014,مارس,"753,507"
2014,إبريل,"119,011"
2014,مايو,"446,420"
2014,يونيو,"390,434"
2014,يوليو,"187,064"
2014,أغسطس,"12,436"
2014,سبتمبر,"1,008,254"
2014,أكتوبر,"718,714"
2014,نوفمبر,"873,058"
2014,ديسمبر,"1,048,943"
2015,يناير,"519,568"
2015,فبراير,"422,964"
2015,مارس,"281,677"
2015,إبريل,"1,472,049"
2015,مايو,"673,251"
2015,يونيو,"244,074"
2015,يوليو,"1,219,141"
2015,أغسطس,"1,253,270"
2015,سبتمبر,"289,963"
2015,أكتوبر,"1,364,255"
2015,نوفمبر,"543,185"
2015,ديسمبر,"786,419"
2016,يناير,"688,768"
2016,فبراير,"758,255"
2016,مارس,"138,799"
2016,إبريل,"1,112,359"
2016,مايو,"1,822,491"
2016,يونيو,"405,010"
2016,يوليو,"984,433"
2016,أغسطس,"1,997,938"
2016,سبتمبر,"205,597"
2016,أكتوبر,"968,955"
2016,نوفمبر,"1,188,683"
2016,ديسمبر,"312,408"
2017,يناير,"4,681,187"
2017,فبراير,"2,725,241"
2017,مارس,"658,968"
2017,إبريل,"1,231,546"
2017,مايو,"2,452,968"
2017,يونيو,"207,471"
2017,يوليو,"333,364"
2017,أغسطس,"1,315,147"
2017,سبتمبر,"965,855"
2017,أكتوبر,"1,215,206"
2017,نوفمبر,"292,716"
2017,ديسمبر,"1,570,812"
2018,يناير,"3,781,886"
2018,فبراير,"366,054"
2018,مارس,"148,797"
2018,إبريل,"3,080,717"
2018,مايو,"1,196,108"
2018,يونيو,"950,404"
2018,يوليو,"519,671"
2018,أغسطس,"2,347,931"
2018,سبتمبر,"160,300"
2018,أكتوبر,"2,033,642"
2018,نوفمبر,"522,065"
2018,ديسمبر,"306,295"
2019,يناير,"1,671,476"
2019,فبراير,"490,079"
2019,مارس,"1,455,646"
2019,إبريل,"631,877"
2019,مايو,"1,410,872"
2019,يونيو,"152,144"
2019,يوليو,"1,030,169"
2019,أغسطس,"1,473,905"
2019,سبتمبر,"363,675"
2019,أكتوبر,"2,271,630"
2019,نوفمبر,"510,535"
2019,ديسمبر,"1,750,402"
2020,يناير,"1,014,395"
2020,فبراير,"426,009"
2020,مارس,"1,325,529"
2020,إبريل,"1,735,751"
2020,مايو,"1,486,455"
2020,يونيو,"2,488,094"
2020,يوليو,"2,453,349"
2020,أغسطس,"2,423,398"
2020,سبتمبر,"2,223,878"
2020,أكتوبر,"2,619,775"
2020,نوفمبر,"220,127"
2020,ديسمبر,"1,125,530"
2021,يناير,"1,805,030"
2021,فبراير,"1,206,616"
2021,مارس,"258,827"
2021,إبريل,"850,066"
2021,مايو,"567,511"
2021,يونيو,"916,738"
2021,يوليو,"1,777,613"
2021,أغسطس,"931,331"
2021,سبتمبر,"271,363"
2021,أكتوبر,"1,335,712"
2021,نوفمبر,"726,022"
2021,ديسمبر,"668,616"
2022,يناير,"1,101,662"
2022,فبراير,"4,548,471"
2022,مارس,0
2022,إبريل,0
2022,مايو,0
2022,يونيو,0
2022,يوليو,0
2022,أغسطس,0
2022,سبتمبر,0
2022,أكتوبر,0
2022,نوفمبر,0
2022,ديسمبر,0
