Item,Amount,Value
برتقال طازج أو مجفف,23.3,مليون دولار
كلس جيرى اومطفأ ?  كلس مائى,3.5,مليون دولار
يوسفى طازج أو مجفف,904.4,ألف دولار
قطن غير ممشط أو مسرح,665.4,ألف دولار
اعلاف حيوانيه غير تقليديه,648.0,ألف دولار
بيكربونات كالسيوم,641.0,ألف دولار
بلح طازج أو مجفف,344.8,ألف دولار
انهدريت (كبريتات كالسيوم لامائى),261.2,ألف دولار
رمال السيليس (السيليكا) ورمال الكوارتز,257.0,ألف دولار
قماش الدنيم أو الجينز,183.9,ألف دولار
اقمشة دنيم قطن خام أقل من 85% قطن من200 جرام من غزل مصبوغ,164.8,ألف دولار
مواد لاصقه قاعدتها مطاط اوبلاستيك(بما فى ذلك الراتنجات الاصطناعيه(غير  مهيأه للبيع بالتجزئه),83.2,ألف دولار
فراوله طازجه,79.4,ألف دولار
أغطية أرضيات نسجيه أخرى,59.5,ألف دولار
أحجار الألومينيوم أو خفاف,57.3,ألف دولار
ادوية غير مهياة بجرعات معايرة اوباشكال اوعبوات للبيع بالتجزئة,50.0,ألف دولار
كربونات ثنائيه الصوديوم,28.6,ألف دولار
بطاطس محفوظه بكاملها فى مواد أخرى,27.1,ألف دولار
عجائن اخرى غير محتويه على بيض,26.7,ألف دولار
ورنيشات قاعدتها بولى استر,21.6,ألف دولار
"غيرها من اقمشة نصف شفافه , نسيج ومماسح ارجل وحشايا والواح من الفيبر جلاس",21.2,ألف دولار
صناديق و حاويات من البلاستيك,18.8,ألف دولار
نباتات طبيه أخرى,13.5,ألف دولار
برتقال),13.0,ألف دولار
قنينة كانيولا وادوات مماثلة,9.9,ألف دولار
كتيبات فى صفحات متفرقة .. وان كانت مطوية .اجزاء دون تحديد..,9.9,ألف دولار
معاملات تجميع الدم,5.6,ألف دولار
اقمشة أخرىقطن خام أكثر من 85% قطن من200 جرام غير مبيضه,3.3,ألف دولار
مانجوستين طازجةاو مجففه,1.4,ألف دولار
خس ملفوف وكرنبى,1.1,ألف دولار
خس طازج,0.2,ألف دولار
