Year,Month,Export Amount
2012,يناير,"3,819,682"
2012,فبراير,"8,994,437"
2012,مارس,"11,048,671"
2012,إبريل,"5,986,243"
2012,مايو,"7,636,919"
2012,يونيو,"5,991,333"
2012,يوليو,"4,426,237"
2012,أغسطس,"2,596,419"
2012,سبتمبر,"4,015,414"
2012,أكتوبر,"2,194,969"
2012,نوفمبر,"1,711,475"
2012,ديسمبر,"3,909,855"
2013,يناير,"2,548,201"
2013,فبراير,"5,841,224"
2013,مارس,"7,284,386"
2013,إبريل,"6,953,644"
2013,مايو,"5,481,836"
2013,يونيو,"1,511,241"
2013,يوليو,"1,414,308"
2013,أغسطس,"1,724,100"
2013,سبتمبر,"4,004,583"
2013,أكتوبر,"2,649,278"
2013,نوفمبر,"2,142,054"
2013,ديسمبر,"3,881,843"
2014,يناير,"4,764,972"
2014,فبراير,"6,644,620"
2014,مارس,"5,761,736"
2014,إبريل,"6,432,809"
2014,مايو,"5,588,840"
2014,يونيو,"4,493,334"
2014,يوليو,"1,918,736"
2014,أغسطس,"3,047,654"
2014,سبتمبر,"3,617,113"
2014,أكتوبر,"2,697,542"
2014,نوفمبر,"2,941,776"
2014,ديسمبر,"4,441,192"
2015,يناير,"5,285,965"
2015,فبراير,"4,709,760"
2015,مارس,"6,407,834"
2015,إبريل,"6,967,518"
2015,مايو,"5,324,688"
2015,يونيو,"2,817,023"
2015,يوليو,"1,207,882"
2015,أغسطس,"2,258,901"
2015,سبتمبر,"4,828,516"
2015,أكتوبر,"3,545,734"
2015,نوفمبر,"3,291,872"
2015,ديسمبر,"6,505,283"
2016,يناير,"5,818,711"
2016,فبراير,"6,087,011"
2016,مارس,"9,102,422"
2016,إبريل,"10,363,614"
2016,مايو,"6,520,832"
2016,يونيو,"8,320,728"
2016,يوليو,"1,350,015"
2016,أغسطس,"2,680,341"
2016,سبتمبر,"3,070,581"
2016,أكتوبر,"2,209,176"
2016,نوفمبر,"2,900,999"
2016,ديسمبر,"6,987,198"
2017,يناير,"20,820,458"
2017,فبراير,"10,750,525"
2017,مارس,"9,757,587"
2017,إبريل,"6,756,271"
2017,مايو,"5,422,909"
2017,يونيو,"2,482,972"
2017,يوليو,"3,560,140"
2017,أغسطس,"3,660,083"
2017,سبتمبر,"2,243,302"
2017,أكتوبر,"3,683,174"
2017,نوفمبر,"2,900,795"
2017,ديسمبر,"9,903,045"
2018,يناير,"9,025,814"
2018,فبراير,"14,318,702"
2018,مارس,"15,192,667"
2018,إبريل,"12,312,467"
2018,مايو,"15,733,998"
2018,يونيو,"2,274,399"
2018,يوليو,"1,595,170"
2018,أغسطس,"1,709,808"
2018,سبتمبر,"20,725,539"
2018,أكتوبر,"2,048,816"
2018,نوفمبر,"1,386,753"
2018,ديسمبر,"3,774,315"
2019,يناير,"8,542,633"
2019,فبراير,"13,537,948"
2019,مارس,"10,325,775"
2019,إبريل,"13,331,380"
2019,مايو,"22,513,246"
2019,يونيو,"6,248,697"
2019,يوليو,"2,410,372"
2019,أغسطس,"3,714,906"
2019,سبتمبر,"3,447,220"
2019,أكتوبر,"5,842,449"
2019,نوفمبر,"5,262,233"
2019,ديسمبر,"8,235,869"
2020,يناير,"9,103,379"
2020,فبراير,"15,469,752"
2020,مارس,"15,176,437"
2020,إبريل,"4,514,483"
2020,مايو,"3,825,108"
2020,يونيو,"2,313,143"
2020,يوليو,"3,301,647"
2020,أغسطس,"2,832,679"
2020,سبتمبر,"7,773,145"
2020,أكتوبر,"26,272,950"
2020,نوفمبر,"5,090,166"
2020,ديسمبر,"11,896,822"
2021,يناير,"15,018,990"
2021,فبراير,"55,131,404"
2021,مارس,"34,324,874"
2021,إبريل,"55,170,711"
2021,مايو,"9,115,353"
2021,يونيو,"37,124,988"
2021,يوليو,"3,279,511"
2021,أغسطس,"1,835,679"
2021,سبتمبر,"3,707,391"
2021,أكتوبر,"21,498,625"
2021,نوفمبر,"6,497,538"
2021,ديسمبر,"10,152,626"
2022,يناير,"10,331,661"
2022,فبراير,"21,673,164"
2022,مارس,0
2022,إبريل,0
2022,مايو,0
2022,يونيو,0
2022,يوليو,0
2022,أغسطس,0
2022,سبتمبر,0
2022,أكتوبر,0
2022,نوفمبر,0
2022,ديسمبر,0
