Item,Amount,Value
سماد يوريا أو اسمده ازوتيه اخرى,16.1,مليون دولار
حبات  (P.P) بولي بروبلين,12.9,مليون دولار
المارجرين أو بديل الزبده ? زبده صناعيه,2.2,مليون دولار
سماد نترات النشادر الجيرى,977.0,ألف دولار
فاصوليا حمراء مجففه ومفصصه ومعبأه,948.8,ألف دولار
بودره بولي ايثلين P.E.T,795.8,ألف دولار
قدد من الالومنيوم مستطيلة الشكل,547.7,ألف دولار
سمن نباتى,503.9,ألف دولار
زجاج مسطح عادى سادة غير مسلح,261.5,ألف دولار
بولى اثيلين ذات ثقل نوعى 94ر او يزيد,250.1,ألف دولار
بذور برسيم,235.3,ألف دولار
حمامات و بانيوهات و أحواض من البلاستيك,216.8,ألف دولار
زيت النخيل بحاله اخرى,202.4,ألف دولار
"الواح , افرخ , رقائق , شرائط ,شرائح,غير خلوية وغير مقواه بوليمييرات البروبيلين",176.5,ألف دولار
لوبيا مجففه ومفصصه ومعبأه,166.1,ألف دولار
ملح غير صالح للطعام و ملح طعام,146.7,ألف دولار
سماد كبريتات البوتاسيوم فى عبوات أكثر من 10 كج,138.2,ألف دولار
أحجار طبيعيه للمبانى مصقوله,133.7,ألف دولار
الواح حديد كروم مسحوبة على البارد فى رولات بعرض اكبر من 600مم وبسمك اقل من 0.5مم,111.3,ألف دولار
أحجار طبيعيه للمبانى مشقوقه,102.8,ألف دولار
,100.3,ألف دولار
برتقال طازج أو مجفف,92.0,ألف دولار
بودره بولي فنيل كلوريد  P.V.S,85.0,ألف دولار
نشا ذره,68.0,ألف دولار
اجهزة كهربائيه للتسخين الفورى للمياه ومقاومات تسخين كهربائيه (سخانات مغموره بداخل الغسالات),66.1,ألف دولار
نباتات طبيه أخرى,41.2,ألف دولار
أغطية أرضيات نسجيه أخرى,35.9,ألف دولار
بوليمرات أكليريك ? سيورنقل الحركه ? علب البلاستيك لشرائط الكاسيت,32.5,ألف دولار
اثاث اخر من الخشب ? حجره سفره من خشب,30.0,ألف دولار
بذور سمسم,27.4,ألف دولار
فراوله محفوظه مؤقتا,25.6,ألف دولار
احذيه بنعال خارجيه من مطاط أو لدائن صناعيه أو جلد تركيبى,25.0,ألف دولار
مخلفات صناعة النشا,24.5,ألف دولار
قوالب حقن للسباكه الزجاجيه,23.5,ألف دولار
خس ملفوف وكرنبى,19.8,ألف دولار
ألواح حديد مغلفه مسحوبه على الساخن فى رولات بعرض أكبر من 600 مم أخرى,18.3,ألف دولار
زيوت عطريه (من موالح) متعدده,13.2,ألف دولار
خضروات اخرى مجمده,12.5,ألف دولار
ادوات أخرى من الزجاج العادى,10.9,ألف دولار
كاولين,10.7,ألف دولار
محضرات واصناف صيدليه اخر,7.4,ألف دولار
ضمادات لاصقة واصناف اخرى ذات طبقة لاصقة,7.1,ألف دولار
سلك المواعين,6.6,ألف دولار
بهارات اخرى,5.1,ألف دولار
قمصان رجالى من الياف صناعيه غير مصنره,4.5,ألف دولار
فجل أفرنجى,3.3,ألف دولار
بصل وكرات بشوشه,0.7,ألف دولار
زجاج لتقليد المجوهرات,0.4,ألف دولار
غيرها من الادوات والاجهزة المستخدمة فى الطب او الجراحة او لطب الاسنان  او للطب البيطرى,0.2,ألف دولار
سليب أو كيلوت من الياف صناعيه مصنره,0.0,ألف دولار
