Year,Month,Export Amount
2012,يناير,"15,430,334"
2012,فبراير,"4,151,365"
2012,مارس,"1,998,018"
2012,إبريل,"3,376,702"
2012,مايو,"3,452,482"
2012,يونيو,"3,350,465"
2012,يوليو,"5,714,288"
2012,أغسطس,"886,378"
2012,سبتمبر,"10,419,538"
2012,أكتوبر,"12,249,805"
2012,نوفمبر,"6,219,551"
2012,ديسمبر,"10,561,216"
2013,يناير,"2,596,996"
2013,فبراير,"3,592,526"
2013,مارس,"2,878,839"
2013,إبريل,"2,945,140"
2013,مايو,"1,605,209"
2013,يونيو,"2,270,620"
2013,يوليو,"3,736,307"
2013,أغسطس,"7,487,778"
2013,سبتمبر,"14,727,720"
2013,أكتوبر,"2,800,684"
2013,نوفمبر,"9,474,807"
2013,ديسمبر,"13,654,455"
2014,يناير,"1,087,927"
2014,فبراير,"3,725,053"
2014,مارس,"1,648,624"
2014,إبريل,"2,912,385"
2014,مايو,"4,902,888"
2014,يونيو,"4,867,590"
2014,يوليو,"2,503,822"
2014,أغسطس,"4,605,124"
2014,سبتمبر,"4,456,241"
2014,أكتوبر,"7,189,710"
2014,نوفمبر,"2,204,372"
2014,ديسمبر,"5,187,061"
2015,يناير,"2,472,175"
2015,فبراير,"2,587,126"
2015,مارس,"3,231,076"
2015,إبريل,"1,826,006"
2015,مايو,"3,127,047"
2015,يونيو,"865,892"
2015,يوليو,"1,425,320"
2015,أغسطس,"4,204,084"
2015,سبتمبر,"14,375,827"
2015,أكتوبر,"1,834,066"
2015,نوفمبر,"5,392,956"
2015,ديسمبر,"9,076,942"
2016,يناير,"5,416,729"
2016,فبراير,"6,674,776"
2016,مارس,"2,708,722"
2016,إبريل,"1,410,169"
2016,مايو,"1,989,023"
2016,يونيو,"2,636,776"
2016,يوليو,"2,797,926"
2016,أغسطس,"4,900,006"
2016,سبتمبر,"5,062,659"
2016,أكتوبر,"11,189,751"
2016,نوفمبر,"4,774,576"
2016,ديسمبر,"9,453,075"
2017,يناير,"18,903,706"
2017,فبراير,"3,829,094"
2017,مارس,"4,722,341"
2017,إبريل,"3,417,682"
2017,مايو,"1,128,760"
2017,يونيو,"4,473,336"
2017,يوليو,"2,026,995"
2017,أغسطس,"8,737,714"
2017,سبتمبر,"12,831,680"
2017,أكتوبر,"8,750,792"
2017,نوفمبر,"4,085,992"
2017,ديسمبر,"9,897,531"
2018,يناير,"7,970,304"
2018,فبراير,"5,381,557"
2018,مارس,"8,744,031"
2018,إبريل,"1,264,222"
2018,مايو,"6,222,038"
2018,يونيو,"6,823,803"
2018,يوليو,"4,205,826"
2018,أغسطس,"10,638,057"
2018,سبتمبر,"5,174,060"
2018,أكتوبر,"3,397,961"
2018,نوفمبر,"5,468,971"
2018,ديسمبر,"15,182,182"
2019,يناير,"15,057,229"
2019,فبراير,"5,187,006"
2019,مارس,"2,785,050"
2019,إبريل,"3,466,420"
2019,مايو,"7,452,941"
2019,يونيو,"3,612,879"
2019,يوليو,"4,334,425"
2019,أغسطس,"2,913,193"
2019,سبتمبر,"5,577,919"
2019,أكتوبر,"11,760,043"
2019,نوفمبر,"12,631,361"
2019,ديسمبر,"4,294,104"
2020,يناير,"6,079,484"
2020,فبراير,"4,827,331"
2020,مارس,"3,595,794"
2020,إبريل,"4,576,195"
2020,مايو,"2,936,644"
2020,يونيو,"6,249,143"
2020,يوليو,"8,086,670"
2020,أغسطس,"12,769,386"
2020,سبتمبر,"9,574,056"
2020,أكتوبر,"5,013,057"
2020,نوفمبر,"8,555,295"
2020,ديسمبر,"15,173,150"
2021,يناير,"7,651,959"
2021,فبراير,"10,518,625"
2021,مارس,"12,007,461"
2021,إبريل,"7,209,662"
2021,مايو,"7,195,992"
2021,يونيو,"5,690,286"
2021,يوليو,"6,555,754"
2021,أغسطس,"15,224,031"
2021,سبتمبر,"15,044,700"
2021,أكتوبر,"5,604,130"
2021,نوفمبر,"12,285,192"
2021,ديسمبر,"19,713,479"
2022,يناير,"19,412,987"
2022,فبراير,"18,601,335"
2022,مارس,0
2022,إبريل,0
2022,مايو,0
2022,يونيو,0
2022,يوليو,0
2022,أغسطس,0
2022,سبتمبر,0
2022,أكتوبر,0
2022,نوفمبر,0
2022,ديسمبر,0
