Item,Amount,Value
برتقال طازج أو مجفف,1.5,مليون دولار
مكسبات طعم ورائحه,984.3,ألف دولار
شيكولاتة ومنتجات الكاكاو,666.3,ألف دولار
بطاطس طازجه اومبرده أخرى,522.6,ألف دولار
خميره جافه نشطه,468.0,ألف دولار
بطاطس محفوظه بكاملها فى مواد أخرى,387.3,ألف دولار
فراوله طازجه,374.1,ألف دولار
مستحضرات لتعطير الغرف او لازاله الروائح الكريهه منها,331.4,ألف دولار
فحم حجرى,307.2,ألف دولار
يوسفى طازج أو مجفف,299.9,ألف دولار
خس ملفوف وكرنبى,270.2,ألف دولار
مصنوعات اخري من بورسلين او صيني للزينه,267.8,ألف دولار
غواسل عضوية بحالة ايونات سالبة,195.1,ألف دولار
مخاليط خضروات مجمده,164.1,ألف دولار
بطاطا طازجه أو مجففه,163.5,ألف دولار
محضرات غذائيه اخرى,160.3,ألف دولار
مانجوستين طازجةاو مجففه,145.9,ألف دولار
اثاث اخر من الخشب ? حجره سفره من خشب,134.7,ألف دولار
اجهزة كهربائيه للتسخين الفورى للمياه ومقاومات تسخين كهربائيه (سخانات مغموره بداخل الغسالات),133.6,ألف دولار
محضرات منظفة .. وان احتوت عل معامل نشط,132.2,ألف دولار
قطن غير ممشط أو مسرح,131.1,ألف دولار
بصل وكرات بشوشه,121.3,ألف دولار
بلاطات والاصناف المماثله وان كانت مستطيله بحيث تكون محصوره فى بلاط يقل طول ضلعه عن 7سم,120.1,ألف دولار
ورنيشات قاعدتها P.V.A,107.9,ألف دولار
تنكات وقود,103.9,ألف دولار
لحوم محفوظة من دواجن ولحوم مثل السجق والمحضرات الاخرى,69.6,ألف دولار
محضرات واصناف صيدليه اخر,67.0,ألف دولار
وصلات و كيعان و فلانشات لمواسير,65.4,ألف دولار
خضروات اخرى مجمده,60.7,ألف دولار
عجائن اخرى غير محتويه على بيض,60.3,ألف دولار
سقالات معدنيه,59.8,ألف دولار
منظفات صناعية سائلة للمراحيض والاحواض والبالوعات(للاستخدام المنزلى),56.0,ألف دولار
أدوات التواليت و المنزل من أنواع البلاستيك الأخرى,54.1,ألف دولار
أحجار طبيعيه للمبانى مصقوله,51.9,ألف دولار
فرش كنس,50.5,ألف دولار
أغطية الزجاجات و مغاليق من أنواع البلاستيك الأخرى,43.9,ألف دولار
طرشى),43.0,ألف دولار
قوالب شيكولاته,40.3,ألف دولار
جبن طازج أبيض بدون أى عمليات لاحقه,39.9,ألف دولار
منظف اسنان  .. بشكل بودرة او مسحوق بكافه انواعه,33.5,ألف دولار
ايس كريم بودرة,31.3,ألف دولار
خلايا اولية وبطاريات أخرى,30.4,ألف دولار
صلصه كتش اب و صلصه حريفه (هوت صوص),30.2,ألف دولار
خضروات مجففه,30.0,ألف دولار
كتيبات فى صفحات متفرقة .. وان كانت مطوية .اجزاء دون تحديد..,29.9,ألف دولار
زيتون مخلل,28.6,ألف دولار
بذار (تقاوى)بطاطس طازجه اومبرده,28.0,ألف دولار
جبن مطبوخ غير مبشور ولا مسحوق,27.5,ألف دولار
بطاريات ثانى اكسيد المنجنيز,27.2,ألف دولار
مطبوعات أخرى,26.5,ألف دولار
غيرها من المربى,25.8,ألف دولار
عصير خليط,25.7,ألف دولار
تنر (تنر عضوى عادى او مخصوص),25.5,ألف دولار
,25.2,ألف دولار
بذور عباد الشمس وان كانت مفتته,24.3,ألف دولار
أسماك موسى النهريه طازجه أو مثلجه,21.2,ألف دولار
اثاث خشبى من النوع المستخدم فى المكاتب,19.7,ألف دولار
بيض طيور بدون قشره أخرى,19.1,ألف دولار
أحجار طبيعيه للمبانى مشقوقه,18.5,ألف دولار
سجاد صوف آخر,17.1,ألف دولار
إطارات السيارات النقل و الشاحنات,16.7,ألف دولار
انواع جبنه اخرى,15.7,ألف دولار
روب حريمى من الالياف النسجية الأخرى غير مصنره,15.6,ألف دولار
زجاج بللور وزجاج ملون أو زجاج مسطح عادى سادة غير مسلح,15.5,ألف دولار
مجففات محضره,15.3,ألف دولار
حلى غواية تقليدية اخرى,14.4,ألف دولار
بذور خضروات اخرى,13.0,ألف دولار
دوريات .. وان كانت مشتملة على مواد دعاية تصدر اسبوعيا أو شهريا,12.6,ألف دولار
كرنب أفرنجى و بروكلى طازج,12.3,ألف دولار
أدوات المائدة و المطبخ  من أنواع البلاستيك الأخرى,11.8,ألف دولار
سحلب مطحون,11.3,ألف دولار
فلفل  رومى أخضر و ألوان أخرى,11.2,ألف دولار
مستلزمات أخرى من أنواع البلاستيك الأخرى,10.6,ألف دولار
جريب فروت طازج أو مجفف,10.4,ألف دولار
نباتات حيه ، جذور و عش غراب وسيقان وتيجان وزهور وبراعم واجزاء البناتات كافة,10.3,ألف دولار
مستحضرات اخرى للتعطير او التجميل او الزينة غير مذكورة ولا داخلة فى   مكان اخر,8.5,ألف دولار
اسمنت فوندو ..... الخ,8.0,ألف دولار
اغذيه متحصل عليها من نفش اوتحميص الغلال,7.7,ألف دولار
قطع طيور ودواجن مبردة او مجمدة مجهزة,7.5,ألف دولار
البسه اطفال وملحقاتها مصنرة او كروشيه من قطن غير مصنره,6.8,ألف دولار
ملابس المطر الداخليه حريمى بصفة عامه,6.6,ألف دولار
جوز أخرى طازج او مجفف بقشرةاو بدون قشر,6.5,ألف دولار
دوريات / وان كانت مصورة او مشتملة على مواد دعاية تصدر على الاقل اربعة مرات اسبوعيا,6.0,ألف دولار
