Year,Month,Export Amount
2012,يناير,"2,672,357"
2012,فبراير,"3,433,964"
2012,مارس,"2,996,505"
2012,إبريل,"3,952,050"
2012,مايو,"4,701,211"
2012,يونيو,"2,956,933"
2012,يوليو,"2,582,009"
2012,أغسطس,"3,047,868"
2012,سبتمبر,"3,120,071"
2012,أكتوبر,"3,267,641"
2012,نوفمبر,"3,612,237"
2012,ديسمبر,"4,840,434"
2013,يناير,"4,384,036"
2013,فبراير,"4,779,505"
2013,مارس,"5,917,642"
2013,إبريل,"4,176,228"
2013,مايو,"4,957,054"
2013,يونيو,"4,955,152"
2013,يوليو,"3,364,280"
2013,أغسطس,"2,345,543"
2013,سبتمبر,"3,493,188"
2013,أكتوبر,"2,950,179"
2013,نوفمبر,"3,155,366"
2013,ديسمبر,"4,044,063"
2014,يناير,"3,480,092"
2014,فبراير,"5,176,836"
2014,مارس,"3,041,466"
2014,إبريل,"3,244,721"
2014,مايو,"4,537,430"
2014,يونيو,"3,644,870"
2014,يوليو,"3,422,987"
2014,أغسطس,"3,090,049"
2014,سبتمبر,"2,522,487"
2014,أكتوبر,"3,252,425"
2014,نوفمبر,"3,102,772"
2014,ديسمبر,"4,475,858"
2015,يناير,"4,559,026"
2015,فبراير,"4,232,690"
2015,مارس,"4,722,986"
2015,إبريل,"4,727,606"
2015,مايو,"13,669,251"
2015,يونيو,"3,468,599"
2015,يوليو,"2,600,229"
2015,أغسطس,"3,520,514"
2015,سبتمبر,"4,717,356"
2015,أكتوبر,"4,161,266"
2015,نوفمبر,"3,934,707"
2015,ديسمبر,"4,503,597"
2016,يناير,"3,841,943"
2016,فبراير,"4,545,709"
2016,مارس,"4,520,467"
2016,إبريل,"5,172,514"
2016,مايو,"5,498,392"
2016,يونيو,"4,379,866"
2016,يوليو,"3,666,471"
2016,أغسطس,"4,430,795"
2016,سبتمبر,"3,946,699"
2016,أكتوبر,"5,783,992"
2016,نوفمبر,"5,032,326"
2016,ديسمبر,"7,362,680"
2017,يناير,"17,231,520"
2017,فبراير,"4,587,117"
2017,مارس,"5,513,165"
2017,إبريل,"4,104,647"
2017,مايو,"5,094,316"
2017,يونيو,"3,936,812"
2017,يوليو,"4,292,710"
2017,أغسطس,"4,994,055"
2017,سبتمبر,"2,983,801"
2017,أكتوبر,"3,702,069"
2017,نوفمبر,"4,508,839"
2017,ديسمبر,"3,372,482"
2018,يناير,"4,424,788"
2018,فبراير,"4,790,512"
2018,مارس,"4,464,082"
2018,إبريل,"4,156,654"
2018,مايو,"5,238,499"
2018,يونيو,"4,542,131"
2018,يوليو,"4,329,505"
2018,أغسطس,"4,189,002"
2018,سبتمبر,"3,253,247"
2018,أكتوبر,"4,466,648"
2018,نوفمبر,"4,351,368"
2018,ديسمبر,"5,409,180"
2019,يناير,"5,416,650"
2019,فبراير,"4,768,996"
2019,مارس,"4,675,552"
2019,إبريل,"6,240,882"
2019,مايو,"4,737,020"
2019,يونيو,"3,434,416"
2019,يوليو,"5,183,011"
2019,أغسطس,"4,095,175"
2019,سبتمبر,"5,263,200"
2019,أكتوبر,"4,988,463"
2019,نوفمبر,"5,117,136"
2019,ديسمبر,"5,710,146"
2020,يناير,"4,374,343"
2020,فبراير,"7,369,855"
2020,مارس,"12,594,180"
2020,إبريل,"3,017,258"
2020,مايو,"2,943,016"
2020,يونيو,"4,299,553"
2020,يوليو,"4,166,183"
2020,أغسطس,"11,614,974"
2020,سبتمبر,"20,756,667"
2020,أكتوبر,"23,908,469"
2020,نوفمبر,"32,732,342"
2020,ديسمبر,"8,344,195"
2021,يناير,"35,915,721"
2021,فبراير,"31,456,071"
2021,مارس,"39,830,585"
2021,إبريل,"28,194,736"
2021,مايو,"39,715,944"
2021,يونيو,"13,930,147"
2021,يوليو,"23,922,816"
2021,أغسطس,"73,534,378"
2021,سبتمبر,"37,479,404"
2021,أكتوبر,"13,150,852"
2021,نوفمبر,"3,159,833"
2021,ديسمبر,"10,859,082"
2022,يناير,"6,370,141"
2022,فبراير,"6,737,677"
2022,مارس,0
2022,إبريل,0
2022,مايو,0
2022,يونيو,0
2022,يوليو,0
2022,أغسطس,0
2022,سبتمبر,0
2022,أكتوبر,0
2022,نوفمبر,0
2022,ديسمبر,0
