Item,Amount,Value
سمن نباتى,123.0,ألف دولار
فاصوليا حمراء مجففه ومفصصه ومعبأه,83.9,ألف دولار
بطاطس طازجه اومبرده أخرى,63.4,ألف دولار
أحجار طبيعيه للمبانى مشقوقه,62.5,ألف دولار
فاصولياخضراء و فول أخضر,48.8,ألف دولار
يوسفى طازج أو مجفف,35.8,ألف دولار
برتقال طازج أو مجفف,30.6,ألف دولار
اجهزة كهربائيه للتسخين الفورى للمياه ومقاومات تسخين كهربائيه (سخانات مغموره بداخل الغسالات),24.7,ألف دولار
بصل وكرات بشوشه,23.2,ألف دولار
نباتات طبيه أخرى,19.5,ألف دولار
,16.7,ألف دولار
أحجار طبيعيه للمبانى مصقوله,15.9,ألف دولار
زيوت عطرية أخرى,10.4,ألف دولار
قنينة كانيولا وادوات مماثلة,9.2,ألف دولار
