Year,Month,Export Amount
2012,يناير,"21,428"
2012,فبراير,"91,179"
2012,مارس,"219,596"
2012,إبريل,"234,282"
2012,مايو,"137,896"
2012,يونيو,"88,393"
2012,يوليو,"29,748"
2012,أغسطس,"196,028"
2012,سبتمبر,"113,587"
2012,أكتوبر,"237,268"
2012,نوفمبر,"53,982"
2012,ديسمبر,"205,583"
2013,يناير,"46,317"
2013,فبراير,"96,089"
2013,مارس,"907,392"
2013,إبريل,"224,156"
2013,مايو,"99,349"
2013,يونيو,"777,622"
2013,يوليو,"89,300"
2013,أغسطس,"11,653"
2013,سبتمبر,"16,164"
2013,أكتوبر,"21,625"
2013,نوفمبر,"63,020"
2013,ديسمبر,"75,629"
2014,يناير,"25,135"
2014,فبراير,"148,792"
2014,مارس,"276,886"
2014,إبريل,"172,834"
2014,مايو,"93,311"
2014,يونيو,"164,393"
2014,يوليو,"251,313"
2014,أغسطس,"157,410"
2014,سبتمبر,"82,100"
2014,أكتوبر,"82,406"
2014,نوفمبر,"45,969"
2014,ديسمبر,"54,159"
2015,يناير,"80,568"
2015,فبراير,"50,156"
2015,مارس,"276,326"
2015,إبريل,"263,449"
2015,مايو,"87,231"
2015,يونيو,"36,565"
2015,يوليو,"29,749"
2015,أغسطس,"34,960"
2015,سبتمبر,"60,822"
2015,أكتوبر,"29,604"
2015,نوفمبر,"73,579"
2015,ديسمبر,"47,321"
2016,يناير,"4,609"
2016,فبراير,"15,750"
2016,مارس,"173,347"
2016,إبريل,"232,122"
2016,مايو,"122,353"
2016,يونيو,0
2016,يوليو,"8,938"
2016,أغسطس,"48,716"
2016,سبتمبر,"41,047"
2016,أكتوبر,350
2016,نوفمبر,"32,758"
2016,ديسمبر,"50,396"
2017,يناير,"129,666"
2017,فبراير,"127,961"
2017,مارس,"226,269"
2017,إبريل,"156,224"
2017,مايو,"205,264"
2017,يونيو,"41,660"
2017,يوليو,"59,313"
2017,أغسطس,"99,491"
2017,سبتمبر,"69,052"
2017,أكتوبر,"123,420"
2017,نوفمبر,"1,076"
2017,ديسمبر,"99,154"
2018,يناير,"20,817"
2018,فبراير,"227,368"
2018,مارس,"335,554"
2018,إبريل,"473,596"
2018,مايو,"128,287"
2018,يونيو,"45,340"
2018,يوليو,"35,891"
2018,أغسطس,"20,346"
2018,سبتمبر,"3,480"
2018,أكتوبر,0
2018,نوفمبر,"10,810"
2018,ديسمبر,"35,515"
2019,يناير,"80,995"
2019,فبراير,"159,274"
2019,مارس,"774,265"
2019,إبريل,"454,251"
2019,مايو,"76,613"
2019,يونيو,"18,267"
2019,يوليو,"79,759"
2019,أغسطس,"41,149"
2019,سبتمبر,"27,478"
2019,أكتوبر,"8,073"
2019,نوفمبر,"28,205"
2019,ديسمبر,"71,411"
2020,يناير,"489,569"
2020,فبراير,"284,770"
2020,مارس,"826,641"
2020,إبريل,"275,805"
2020,مايو,"105,972"
2020,يونيو,"85,254"
2020,يوليو,"7,909"
2020,أغسطس,"196,341"
2020,سبتمبر,"100,975"
2020,أكتوبر,"90,366"
2020,نوفمبر,"76,828"
2020,ديسمبر,"214,689"
2021,يناير,"133,468"
2021,فبراير,"236,340"
2021,مارس,"517,438"
2021,إبريل,"363,244"
2021,مايو,"264,350"
2021,يونيو,"264,415"
2021,يوليو,"86,751"
2021,أغسطس,"309,893"
2021,سبتمبر,"488,622"
2021,أكتوبر,"316,428"
2021,نوفمبر,"403,038"
2021,ديسمبر,"588,379"
2022,يناير,"346,515"
2022,فبراير,"310,800"
2022,مارس,0
2022,إبريل,0
2022,مايو,0
2022,يونيو,0
2022,يوليو,0
2022,أغسطس,0
2022,سبتمبر,0
2022,أكتوبر,0
2022,نوفمبر,0
2022,ديسمبر,0
