Year,Month,Export Amount
2012,يناير,0
2012,فبراير,0
2012,مارس,0
2012,إبريل,0
2012,مايو,"5,967"
2012,يونيو,"59,473"
2012,يوليو,0
2012,أغسطس,"10,080"
2012,سبتمبر,"16,140"
2012,أكتوبر,0
2012,نوفمبر,"110,880"
2012,ديسمبر,0
2013,يناير,0
2013,فبراير,638
2013,مارس,"4,996"
2013,إبريل,0
2013,مايو,638
2013,يونيو,0
2013,يوليو,0
2013,أغسطس,0
2013,سبتمبر,0
2013,أكتوبر,0
2013,نوفمبر,0
2013,ديسمبر,0
2014,يناير,"5,529"
2014,فبراير,0
2014,مارس,0
2014,إبريل,0
2014,مايو,"10,358"
2014,يونيو,"10,687"
2014,يوليو,0
2014,أغسطس,"13,745"
2014,سبتمبر,0
2014,أكتوبر,0
2014,نوفمبر,0
2014,ديسمبر,"59,121"
2015,يناير,0
2015,فبراير,0
2015,مارس,"3,330"
2015,إبريل,"9,078"
2015,مايو,0
2015,يونيو,"9,026"
2015,يوليو,"4,040"
2015,أغسطس,0
2015,سبتمبر,"11,024"
2015,أكتوبر,"7,990"
2015,نوفمبر,0
2015,ديسمبر,"9,478"
2016,يناير,373
2016,فبراير,"2,937"
2016,مارس,"4,453"
2016,إبريل,"4,712"
2016,مايو,"10,195"
2016,يونيو,"13,401"
2016,يوليو,"20,110"
2016,أغسطس,0
2016,سبتمبر,0
2016,أكتوبر,"3,729"
2016,نوفمبر,0
2016,ديسمبر,0
2017,يناير,"325,811"
2017,فبراير,"67,739"
2017,مارس,"252,550"
2017,إبريل,0
2017,مايو,"15,054"
2017,يونيو,0
2017,يوليو,"37,036"
2017,أغسطس,"106,450"
2017,سبتمبر,"76,602"
2017,أكتوبر,0
2017,نوفمبر,0
2017,ديسمبر,"5,184"
2018,يناير,"342,315"
2018,فبراير,"39,368"
2018,مارس,"107,678"
2018,إبريل,"495,744"
2018,مايو,"96,260"
2018,يونيو,"692,272"
2018,يوليو,0
2018,أغسطس,"47,880"
2018,سبتمبر,"47,880"
2018,أكتوبر,"101,329"
2018,نوفمبر,"273,508"
2018,ديسمبر,"67,004"
2019,يناير,"158,535"
2019,فبراير,"42,766"
2019,مارس,"24,046"
2019,إبريل,"22,244"
2019,مايو,"71,118"
2019,يونيو,"195,832"
2019,يوليو,"264,910"
2019,أغسطس,"39,672"
2019,سبتمبر,"64,287"
2019,أكتوبر,"30,907"
2019,نوفمبر,0
2019,ديسمبر,"3,391"
2020,يناير,"85,688"
2020,فبراير,"37,848"
2020,مارس,"9,727"
2020,إبريل,0
2020,مايو,"1,269"
2020,يونيو,"18,784"
2020,يوليو,"48,026"
2020,أغسطس,"16,900"
2020,سبتمبر,"74,581"
2020,أكتوبر,"100,271"
2020,نوفمبر,"88,059"
2020,ديسمبر,"134,723"
2021,يناير,"212,943"
2021,فبراير,"26,687"
2021,مارس,"209,978"
2021,إبريل,"111,838"
2021,مايو,"49,339"
2021,يونيو,"2,621"
2021,يوليو,0
2021,أغسطس,"109,719"
2021,سبتمبر,"321,630"
2021,أكتوبر,"69,384"
2021,نوفمبر,0
2021,ديسمبر,"61,248"
2022,يناير,0
2022,فبراير,"3,759"
2022,مارس,0
2022,إبريل,0
2022,مايو,0
2022,يونيو,0
2022,يوليو,0
2022,أغسطس,0
2022,سبتمبر,0
2022,أكتوبر,0
2022,نوفمبر,0
2022,ديسمبر,0
