Item,Amount,Value
اسمدة معدنية او كيمائية فوسفاتيةاخرى,4.6,مليون دولار
برتقال طازج أو مجفف,3.3,مليون دولار
سماد كبريتات البوتاسيوم فى عبوات أكثر من 10 كج,3.3,مليون دولار
,2.5,مليون دولار
بودره بولي فنيل كلوريد  P.V.S,1.9,مليون دولار
غيرها من الادوات والاجهزة المستخدمة فى الطب او الجراحة او لطب الاسنان  او للطب البيطرى,1.5,مليون دولار
سجاد وغيره من اغطية الارضيات النسجية من حرير أو قطن أو ألياف صناعيه عقدى,554.3,ألف دولار
غزل قطن متعدد أكثر من 85% قطن ممشط (31و192) ( 125)غير مهييء للبيع بالتجزئه,530.8,ألف دولار
نباتات طبيه أخرى,526.1,ألف دولار
"ادوات من خزف زجاجى من النوع المستعمل للمائدة ,للمطبخ التواليت والمكتب وللتزيين داخل المنازل",518.8,ألف دولار
زيتون مخلل,518.1,ألف دولار
اسمنت فوندو ..... الخ,471.6,ألف دولار
شفرات حلاقه فى أطقم,450.1,ألف دولار
حقن طبيه من بلاستيك (سرنجه),390.2,ألف دولار
بيكربونات كالسيوم,326.6,ألف دولار
خضروات أخرى محفوظه مؤقتا وغير صالحه للاستهلاك المباشر,320.8,ألف دولار
ضمادات لاصقة واصناف اخرى ذات طبقة لاصقة,292.8,ألف دولار
قوارير وزجاجات واوانى وجرار وامبولات وغيرها من الاوعية من الزجاج من النوع المستعمل فى نقل اوتعبئة السلع,287.0,ألف دولار
يوسفى طازج أو مجفف,282.9,ألف دولار
شمع برافين,280.7,ألف دولار
أغطية أرضيات نسجيه أخرى,232.0,ألف دولار
فوسفاتات كالسيوم طبيعيه ـفوسفانات طبيعيه مزدوجه من الومنيوم وكالسيوم وطباشير فوسفاتى غير مطحونه فوسفاتات كالسيوم طبيعيه ـفوسفانات طب,219.9,ألف دولار
خميره جافه نشطه,182.2,ألف دولار
سجاد نايلون آخر,165.7,ألف دولار
أحجار طبيعيه للمبانى مصقوله,118.9,ألف دولار
قطعه أدوات المائده غير مطليه بمعادن ثمينه,117.7,ألف دولار
غواسل عضوية بحالة ايونات سالبة,114.5,ألف دولار
تى شيرت وفانلات بنصف اكمام من القطن مصنره,98.7,ألف دولار
خضروات مجففه,83.0,ألف دولار
غزل قطن متعدد اكثر من 85% قطن ممشط (83.33) (120) غير مهيىء للبيع بالتجزئة,82.0,ألف دولار
بولى اثيلين ذات ثقل نوعى 94ر او يزيد,76.0,ألف دولار
طماطم محفوظه بكاملها فى مواد أخرى,73.0,ألف دولار
بصل مجفف,67.2,ألف دولار
سجاد من أنسجه أخرى طبيعيه ميكانيكى,62.7,ألف دولار
بنطلون رجالى من القطن غير مصنره,55.0,ألف دولار
اسلاك حديدية فى لفائف غير مغلفة او مطلية او مصقولة,54.8,ألف دولار
الواح/افرخ/رقائق/شرائط/شرائح/اشكال مسطحه من بوليمرات الكربونيات,54.2,ألف دولار
بوليمرات الإيثيلين,53.8,ألف دولار
مساحيق محضره للخبيز (بيكنج بودر),36.8,ألف دولار
غيرها من الياف زجاجيه (بما فيها الصوف الزجاجى) واصناف منها,35.1,ألف دولار
قمصان رجالى من الياف صناعيه غير مصنره,35.1,ألف دولار
فراوله محفوظه مؤقتا,31.4,ألف دولار
بنطلون رجالى من الياف نسجيه أخرى غير مصنره,30.5,ألف دولار
بودرة صلب,27.2,ألف دولار
زيوت عطرية أخرى,20.5,ألف دولار
معاملات تجميع الدم,18.4,ألف دولار
بطاريات ثانى اكسيد المنجنيز,18.4,ألف دولار
قمصان رجالى من الياف أخرى غير مصنره,15.6,ألف دولار
برتقال),14.2,ألف دولار
ادوات أخرى من الزجاج العادى,12.4,ألف دولار
اثاث اخر من الخشب ? حجره سفره من خشب,10.6,ألف دولار
اكسوارات عوازل كهربائيه من مواد أخرى,1.5,ألف دولار
زيوت عطريه (من موالح) متعدده,0.8,ألف دولار
اكسوارات عوازل كهربائيه من بلاستيك,0.1,ألف دولار
