Year,Month,Export Amount
2012,يناير,"5,852,511"
2012,فبراير,"23,372,111"
2012,مارس,"5,462,070"
2012,إبريل,"22,380,790"
2012,مايو,"20,461,173"
2012,يونيو,"30,310,833"
2012,يوليو,"27,347,930"
2012,أغسطس,"12,203,297"
2012,سبتمبر,"27,666,979"
2012,أكتوبر,"23,404,466"
2012,نوفمبر,"9,110,356"
2012,ديسمبر,"14,660,687"
2013,يناير,"9,361,203"
2013,فبراير,"17,465,514"
2013,مارس,"19,666,175"
2013,إبريل,"22,459,850"
2013,مايو,"19,700,989"
2013,يونيو,"14,459,139"
2013,يوليو,"18,704,874"
2013,أغسطس,"12,647,598"
2013,سبتمبر,"7,300,498"
2013,أكتوبر,"8,414,886"
2013,نوفمبر,"9,992,948"
2013,ديسمبر,"16,273,203"
2014,يناير,"10,840,455"
2014,فبراير,"14,351,157"
2014,مارس,"11,321,859"
2014,إبريل,"8,149,478"
2014,مايو,"16,194,862"
2014,يونيو,"9,215,401"
2014,يوليو,"14,859,731"
2014,أغسطس,"23,428,283"
2014,سبتمبر,"14,187,519"
2014,أكتوبر,"7,034,705"
2014,نوفمبر,"7,512,840"
2014,ديسمبر,"25,335,455"
2015,يناير,"12,577,145"
2015,فبراير,"6,262,335"
2015,مارس,"10,508,155"
2015,إبريل,"7,370,412"
2015,مايو,"9,929,139"
2015,يونيو,"11,596,602"
2015,يوليو,"16,576,365"
2015,أغسطس,"9,679,236"
2015,سبتمبر,"3,345,388"
2015,أكتوبر,"1,935,369"
2015,نوفمبر,"1,811,421"
2015,ديسمبر,"3,217,265"
2016,يناير,"1,216,261"
2016,فبراير,"3,311,265"
2016,مارس,"7,689,587"
2016,إبريل,"10,697,337"
2016,مايو,"2,786,522"
2016,يونيو,"7,608,577"
2016,يوليو,"3,968,907"
2016,أغسطس,"5,292,040"
2016,سبتمبر,"11,216,654"
2016,أكتوبر,"23,986,530"
2016,نوفمبر,"14,268,886"
2016,ديسمبر,"6,494,505"
2017,يناير,"36,243,022"
2017,فبراير,"10,408,296"
2017,مارس,"4,259,378"
2017,إبريل,"3,343,852"
2017,مايو,"15,723,702"
2017,يونيو,"7,708,737"
2017,يوليو,"6,803,229"
2017,أغسطس,"12,035,282"
2017,سبتمبر,"4,849,422"
2017,أكتوبر,"6,853,981"
2017,نوفمبر,"16,818,271"
2017,ديسمبر,"14,367,274"
2018,يناير,"6,726,025"
2018,فبراير,"8,822,232"
2018,مارس,"12,076,067"
2018,إبريل,"20,752,472"
2018,مايو,"29,297,791"
2018,يونيو,"40,220,694"
2018,يوليو,"17,022,037"
2018,أغسطس,"21,356,474"
2018,سبتمبر,"23,769,019"
2018,أكتوبر,"23,507,919"
2018,نوفمبر,"30,067,320"
2018,ديسمبر,"28,567,212"
2019,يناير,"7,512,429"
2019,فبراير,"11,059,041"
2019,مارس,"14,295,873"
2019,إبريل,"23,711,447"
2019,مايو,"21,824,287"
2019,يونيو,"19,261,917"
2019,يوليو,"31,716,058"
2019,أغسطس,"25,668,175"
2019,سبتمبر,"9,841,597"
2019,أكتوبر,"5,053,822"
2019,نوفمبر,"6,460,066"
2019,ديسمبر,"8,943,959"
2020,يناير,"13,438,661"
2020,فبراير,"17,376,128"
2020,مارس,"15,156,101"
2020,إبريل,"6,539,302"
2020,مايو,"18,682,211"
2020,يونيو,"12,909,582"
2020,يوليو,"19,715,020"
2020,أغسطس,"24,251,978"
2020,سبتمبر,"16,582,997"
2020,أكتوبر,"16,852,529"
2020,نوفمبر,"20,371,411"
2020,ديسمبر,"25,864,740"
2021,يناير,"42,952,100"
2021,فبراير,"38,336,348"
2021,مارس,"30,370,710"
2021,إبريل,"64,562,044"
2021,مايو,"36,546,344"
2021,يونيو,"32,831,197"
2021,يوليو,"37,353,859"
2021,أغسطس,"41,682,900"
2021,سبتمبر,"32,973,226"
2021,أكتوبر,"21,842,996"
2021,نوفمبر,"2,959,957"
2021,ديسمبر,"25,247,058"
2022,يناير,"11,989,651"
2022,فبراير,"14,736,931"
2022,مارس,0
2022,إبريل,0
2022,مايو,0
2022,يونيو,0
2022,يوليو,0
2022,أغسطس,0
2022,سبتمبر,0
2022,أكتوبر,0
2022,نوفمبر,0
2022,ديسمبر,0
