Year,Month,Export Amount
2012,يناير,0
2012,فبراير,"68,596"
2012,مارس,"52,594"
2012,إبريل,"65,010"
2012,مايو,"76,166"
2012,يونيو,"58,886"
2012,يوليو,"65,279"
2012,أغسطس,"41,608"
2012,سبتمبر,"44,630"
2012,أكتوبر,"13,780"
2012,نوفمبر,"160,575"
2012,ديسمبر,"73,436"
2013,يناير,"127,260"
2013,فبراير,"71,912"
2013,مارس,"158,037"
2013,إبريل,"117,472"
2013,مايو,"132,339"
2013,يونيو,"42,132"
2013,يوليو,"90,906"
2013,أغسطس,"14,364"
2013,سبتمبر,0
2013,أكتوبر,"8,804"
2013,نوفمبر,"230,134"
2013,ديسمبر,0
2014,يناير,"61,196"
2014,فبراير,"178,578"
2014,مارس,"37,952"
2014,إبريل,"153,566"
2014,مايو,"100,743"
2014,يونيو,"118,910"
2014,يوليو,0
2014,أغسطس,"37,885"
2014,سبتمبر,"27,909"
2014,أكتوبر,"4,000"
2014,نوفمبر,"74,703"
2014,ديسمبر,"72,700"
2015,يناير,"31,644"
2015,فبراير,"7,409"
2015,مارس,0
2015,إبريل,"216,699"
2015,مايو,"24,051"
2015,يونيو,"125,297"
2015,يوليو,"366,677"
2015,أغسطس,0
2015,سبتمبر,"28,771"
2015,أكتوبر,"18,059"
2015,نوفمبر,0
2015,ديسمبر,800
2016,يناير,"28,098"
2016,فبراير,"86,818"
2016,مارس,0
2016,إبريل,"37,444"
2016,مايو,0
2016,يونيو,0
2016,يوليو,"50,909"
2016,أغسطس,"57,544"
2016,سبتمبر,0
2016,أكتوبر,0
2016,نوفمبر,0
2016,ديسمبر,0
2017,يناير,"252,805"
2017,فبراير,"50,669"
2017,مارس,0
2017,إبريل,"3,391"
2017,مايو,"16,768"
2017,يونيو,"16,150"
2017,يوليو,"62,620"
2017,أغسطس,"22,420"
2017,سبتمبر,0
2017,أكتوبر,"7,850"
2017,نوفمبر,0
2017,ديسمبر,"29,955"
2018,يناير,0
2018,فبراير,0
2018,مارس,"46,910"
2018,إبريل,"174,175"
2018,مايو,"3,922"
2018,يونيو,"44,709"
2018,يوليو,"33,682"
2018,أغسطس,"7,036"
2018,سبتمبر,"79,631"
2018,أكتوبر,"113,640"
2018,نوفمبر,"11,265"
2018,ديسمبر,"12,558"
2019,يناير,"26,400"
2019,فبراير,"23,785"
2019,مارس,"54,960"
2019,إبريل,"1,368,171"
2019,مايو,"215,776"
2019,يونيو,"1,463,996"
2019,يوليو,"842,255"
2019,أغسطس,"983,820"
2019,سبتمبر,"892,060"
2019,أكتوبر,"69,288"
2019,نوفمبر,"420,746"
2019,ديسمبر,"471,986"
2020,يناير,"372,878"
2020,فبراير,"164,948"
2020,مارس,"135,497"
2020,إبريل,"39,936"
2020,مايو,"175,362"
2020,يونيو,"608,744"
2020,يوليو,"453,989"
2020,أغسطس,"858,487"
2020,سبتمبر,"819,667"
2020,أكتوبر,"681,555"
2020,نوفمبر,"103,168"
2020,ديسمبر,"301,604"
2021,يناير,"296,985"
2021,فبراير,"91,208"
2021,مارس,"70,498"
2021,إبريل,"94,706"
2021,مايو,"75,614"
2021,يونيو,"1,797"
2021,يوليو,"73,380"
2021,أغسطس,"167,027"
2021,سبتمبر,"64,520"
2021,أكتوبر,"137,050"
2021,نوفمبر,"55,000"
2021,ديسمبر,"40,596"
2022,يناير,"181,591"
2022,فبراير,"269,553"
2022,مارس,0
2022,إبريل,0
2022,مايو,0
2022,يونيو,0
2022,يوليو,0
2022,أغسطس,0
2022,سبتمبر,0
2022,أكتوبر,0
2022,نوفمبر,0
2022,ديسمبر,0
