Year,Month,Export Amount
2012,يناير,0
2012,فبراير,"48,340"
2012,مارس,"108,225"
2012,إبريل,0
2012,مايو,"16,452"
2012,يونيو,0
2012,يوليو,0
2012,أغسطس,0
2012,سبتمبر,0
2012,أكتوبر,0
2012,نوفمبر,0
2012,ديسمبر,0
2013,يناير,0
2013,فبراير,0
2013,مارس,0
2013,إبريل,0
2013,مايو,0
2013,يونيو,0
2013,يوليو,"2,580"
2013,أغسطس,0
2013,سبتمبر,0
2013,أكتوبر,0
2013,نوفمبر,0
2013,ديسمبر,0
2014,يناير,0
2014,فبراير,0
2014,مارس,0
2014,إبريل,0
2014,مايو,"15,825"
2014,يونيو,0
2014,يوليو,"12,880"
2014,أغسطس,"13,500"
2014,سبتمبر,0
2014,أكتوبر,"12,420"
2014,نوفمبر,0
2014,ديسمبر,0
2015,يناير,0
2015,فبراير,0
2015,مارس,"11,086"
2015,إبريل,0
2015,مايو,0
2015,يونيو,0
2015,يوليو,0
2015,أغسطس,0
2015,سبتمبر,0
2015,أكتوبر,"10,120"
2015,نوفمبر,0
2015,ديسمبر,0
2016,يناير,0
2016,فبراير,0
2016,مارس,0
2016,إبريل,"8,280"
2016,مايو,0
2016,يونيو,0
2016,يوليو,0
2016,أغسطس,0
2016,سبتمبر,"8,974"
2016,أكتوبر,0
2016,نوفمبر,"7,339"
2016,ديسمبر,0
2017,يناير,"24,445"
2017,فبراير,0
2017,مارس,0
2017,إبريل,0
2017,مايو,0
2017,يونيو,0
2017,يوليو,0
2017,أغسطس,0
2017,سبتمبر,0
2017,أكتوبر,0
2017,نوفمبر,0
2017,ديسمبر,0
2018,يناير,320
2018,فبراير,0
2018,مارس,"17,040"
2018,إبريل,0
2018,مايو,0
2018,يونيو,"25,540"
2018,يوليو,0
2018,أغسطس,"33,118"
2018,سبتمبر,"6,661"
2018,أكتوبر,0
2018,نوفمبر,"8,900"
2018,ديسمبر,"92,267"
2019,يناير,"14,550"
2019,فبراير,"24,268"
2019,مارس,"97,312"
2019,إبريل,"17,091"
2019,مايو,"59,570"
2019,يونيو,"35,752"
2019,يوليو,"44,652"
2019,أغسطس,0
2019,سبتمبر,"31,270"
2019,أكتوبر,0
2019,نوفمبر,"60,650"
2019,ديسمبر,"42,950"
2020,يناير,"10,525"
2020,فبراير,0
2020,مارس,0
2020,إبريل,"8,188"
2020,مايو,0
2020,يونيو,0
2020,يوليو,"8,250"
2020,أغسطس,"8,582"
2020,سبتمبر,0
2020,أكتوبر,"8,363"
2020,نوفمبر,"56,350"
2020,ديسمبر,"104,626"
2021,يناير,"8,250"
2021,فبراير,0
2021,مارس,0
2021,إبريل,0
2021,مايو,0
2021,يونيو,"34,166"
2021,يوليو,0
2021,أغسطس,"46,094"
2021,سبتمبر,"9,890"
2021,أكتوبر,0
2021,نوفمبر,0
2021,ديسمبر,"54,160"
2022,يناير,"14,802"
2022,فبراير,"22,123"
2022,مارس,0
2022,إبريل,0
2022,مايو,0
2022,يونيو,0
2022,يوليو,0
2022,أغسطس,0
2022,سبتمبر,0
2022,أكتوبر,0
2022,نوفمبر,0
2022,ديسمبر,0
