Year,Month,Export Amount
2012,يناير,"18,233"
2012,فبراير,0
2012,مارس,"97,436"
2012,إبريل,"62,682"
2012,مايو,"258,666"
2012,يونيو,"100,299"
2012,يوليو,"20,728"
2012,أغسطس,"228,233"
2012,سبتمبر,"158,630"
2012,أكتوبر,"51,089"
2012,نوفمبر,"78,095"
2012,ديسمبر,"2,320"
2013,يناير,"67,204"
2013,فبراير,0
2013,مارس,"48,600"
2013,إبريل,0
2013,مايو,"30,934"
2013,يونيو,0
2013,يوليو,0
2013,أغسطس,0
2013,سبتمبر,"122,340"
2013,أكتوبر,"131,260"
2013,نوفمبر,0
2013,ديسمبر,"520,370"
2014,يناير,"11,825"
2014,فبراير,0
2014,مارس,0
2014,إبريل,0
2014,مايو,0
2014,يونيو,0
2014,يوليو,0
2014,أغسطس,0
2014,سبتمبر,"52,325"
2014,أكتوبر,0
2014,نوفمبر,0
2014,ديسمبر,"13,656"
2015,يناير,0
2015,فبراير,0
2015,مارس,"39,211"
2015,إبريل,"11,504"
2015,مايو,"7,419"
2015,يونيو,"67,200"
2015,يوليو,20
2015,أغسطس,"11,504"
2015,سبتمبر,0
2015,أكتوبر,0
2015,نوفمبر,0
2015,ديسمبر,"48,064"
2016,يناير,11
2016,فبراير,0
2016,مارس,0
2016,إبريل,0
2016,مايو,"79,800"
2016,يونيو,"99,000"
2016,يوليو,0
2016,أغسطس,0
2016,سبتمبر,0
2016,أكتوبر,0
2016,نوفمبر,"32,400"
2016,ديسمبر,"102,246"
2017,يناير,"90,829"
2017,فبراير,"20,669"
2017,مارس,"45,001"
2017,إبريل,"94,320"
2017,مايو,0
2017,يونيو,"113,087"
2017,يوليو,0
2017,أغسطس,0
2017,سبتمبر,"77,000"
2017,أكتوبر,0
2017,نوفمبر,600
2017,ديسمبر,0
2018,يناير,80
2018,فبراير,"58,058"
2018,مارس,500
2018,إبريل,0
2018,مايو,0
2018,يونيو,0
2018,يوليو,0
2018,أغسطس,0
2018,سبتمبر,0
2018,أكتوبر,"10,230"
2018,نوفمبر,0
2018,ديسمبر,0
2019,يناير,0
2019,فبراير,0
2019,مارس,0
2019,إبريل,0
2019,مايو,"10,230"
2019,يونيو,"10,230"
2019,يوليو,"12,630"
2019,أغسطس,"10,230"
2019,سبتمبر,0
2019,أكتوبر,"10,230"
2019,نوفمبر,0
2019,ديسمبر,"10,844"
2020,يناير,0
2020,فبراير,"11,288"
2020,مارس,"5,328"
2020,إبريل,"15,000"
2020,مايو,0
2020,يونيو,"10,844"
2020,يوليو,"10,844"
2020,أغسطس,0
2020,سبتمبر,"14,044"
2020,أكتوبر,"11,578"
2020,نوفمبر,"10,844"
2020,ديسمبر,"3,260"
2021,يناير,"15,408"
2021,فبراير,40
2021,مارس,0
2021,إبريل,"17,449"
2021,مايو,"20,970"
2021,يونيو,"92,999"
2021,يوليو,"18,807"
2021,أغسطس,"49,860"
2021,سبتمبر,"368,064"
2021,أكتوبر,0
2021,نوفمبر,"14,779"
2021,ديسمبر,"50,910"
2022,يناير,"78,105"
2022,فبراير,"41,904"
2022,مارس,0
2022,إبريل,0
2022,مايو,0
2022,يونيو,0
2022,يوليو,0
2022,أغسطس,0
2022,سبتمبر,0
2022,أكتوبر,0
2022,نوفمبر,0
2022,ديسمبر,0
