Item,Amount,Value
عيدان قضبان ?  اشكال خاصة ?  اسلاك نصف مشغولة من ذهب,89.0,مليون دولار
خام أو بودرة الذهب,15.5,مليون دولار
ألواح حديد زنك مسحوبه على الساخن فى رولات بعرض أكبر من 600 مم أخرى,10.5,مليون دولار
قوارير وزجاجات واوانى وجرار وامبولات وغيرها من الاوعية من الزجاج من النوع المستعمل فى نقل اوتعبئة السلع,1.7,مليون دولار
ملح غير صالح للطعام و ملح طعام,1.1,مليون دولار
سجاد وغيره من اغطية الارضيات النسجية من حرير أو قطن أو ألياف صناعيه عقدى,812.6,ألف دولار
بنطلون رجالى من القطن غير مصنره,675.6,ألف دولار
بنطلون رجالى من الياف صناعيه غير مصنره,546.9,ألف دولار
قمصان رجالى من الياف أخرى غير مصنره,367.4,ألف دولار
نباتات طبيه أخرى,299.2,ألف دولار
الواح/افرخ/رقائق/شرائط/شرائح/اشكال مسطحه من البوليستر,298.3,ألف دولار
ملابس المطر الداخليه رجالى بصفة عامه,280.0,ألف دولار
طرشى),271.4,ألف دولار
تى شيرت وفانلات بنصف اكمام من الياف أخرى مصنره,270.2,ألف دولار
بياضات المائدة وبياضات المطابخ من المناشف او الاقمشة الوبرية المماثلة من قطن,266.0,ألف دولار
بنطلون حريمى من الياف صناعيه غير مصنره,262.4,ألف دولار
قوالب شيكولاته,249.4,ألف دولار
فراوله محفوظه مؤقتا,221.2,ألف دولار
خميره جافه نشطه,221.0,ألف دولار
زيتون مخلل,214.2,ألف دولار
أغطية أرضيات نسجيه أخرى,206.3,ألف دولار
بويات و ورنيش من قاعده  بوليمرات,204.7,ألف دولار
ملايات سرير من ألياف نسجيه مخلوطه,200.3,ألف دولار
وبريات / فوط وبشاكير من القطن غير مبيضه,199.5,ألف دولار
مخاليط خضروات مجمده,197.8,ألف دولار
قمصان رجالى من الياف صناعيه غير مصنره,197.5,ألف دولار
غيرها من منشات واجزاوءها من حديد او صلب,188.6,ألف دولار
برتقال طازج أو مجفف,182.0,ألف دولار
خضروات اخرى مجمده,181.8,ألف دولار
بنطلون رجالى من الياف نسجيه أخرى غير مصنره,179.5,ألف دولار
قطع من ملابس جاهزه,154.9,ألف دولار
بنطلون رجالى من الياف نسجيه أخرى مصنره,149.5,ألف دولار
زجاج مسطح عادى سادة غير مسلح,140.8,ألف دولار
بصل مجفف,134.6,ألف دولار
