Year,Month,Export Amount
2012,يناير,"28,211,505"
2012,فبراير,"84,100,292"
2012,مارس,"14,155,082"
2012,إبريل,"16,256,998"
2012,مايو,"38,759,413"
2012,يونيو,"33,061,347"
2012,يوليو,"55,465,157"
2012,أغسطس,"28,082,266"
2012,سبتمبر,"24,710,666"
2012,أكتوبر,"59,406,122"
2012,نوفمبر,"4,147,412"
2012,ديسمبر,"90,210,891"
2013,يناير,"96,900,528"
2013,فبراير,"51,701,406"
2013,مارس,"35,279,004"
2013,إبريل,"50,922,230"
2013,مايو,"13,015,112"
2013,يونيو,"44,133,981"
2013,يوليو,"36,797,498"
2013,أغسطس,"43,545,658"
2013,سبتمبر,"42,808,784"
2013,أكتوبر,"36,090,712"
2013,نوفمبر,"53,633,321"
2013,ديسمبر,"45,415,236"
2014,يناير,"38,262,706"
2014,فبراير,"28,753,045"
2014,مارس,"41,596,774"
2014,إبريل,"53,276,430"
2014,مايو,"31,665,043"
2014,يونيو,"33,889,655"
2014,يوليو,"39,725,168"
2014,أغسطس,"46,622,826"
2014,سبتمبر,"56,334,920"
2014,أكتوبر,"50,099,847"
2014,نوفمبر,"53,951,847"
2014,ديسمبر,"50,344,749"
2015,يناير,"47,883,902"
2015,فبراير,"44,640,346"
2015,مارس,"45,973,866"
2015,إبريل,"45,783,185"
2015,مايو,"43,767,190"
2015,يونيو,"37,760,320"
2015,يوليو,"49,468,459"
2015,أغسطس,"38,077,587"
2015,سبتمبر,"53,897,028"
2015,أكتوبر,"48,063,268"
2015,نوفمبر,"33,703,461"
2015,ديسمبر,"6,370,175"
2016,يناير,"4,286,351"
2016,فبراير,"4,844,489"
2016,مارس,"4,892,398"
2016,إبريل,"4,154,569"
2016,مايو,"4,902,125"
2016,يونيو,"4,327,368"
2016,يوليو,"3,475,505"
2016,أغسطس,"4,466,537"
2016,سبتمبر,"4,138,557"
2016,أكتوبر,"5,216,757"
2016,نوفمبر,"5,180,784"
2016,ديسمبر,"4,904,669"
2017,يناير,"21,954,300"
2017,فبراير,"5,882,145"
2017,مارس,"6,826,003"
2017,إبريل,"6,258,351"
2017,مايو,"6,293,834"
2017,يونيو,"6,621,925"
2017,يوليو,"6,566,079"
2017,أغسطس,"7,104,104"
2017,سبتمبر,"6,026,207"
2017,أكتوبر,"6,520,543"
2017,نوفمبر,"6,828,198"
2017,ديسمبر,"8,236,153"
2018,يناير,"4,623,597"
2018,فبراير,"4,709,504"
2018,مارس,"7,964,634"
2018,إبريل,"4,906,993"
2018,مايو,"4,334,068"
2018,يونيو,"3,553,515"
2018,يوليو,"5,266,602"
2018,أغسطس,"13,203,543"
2018,سبتمبر,"6,312,354"
2018,أكتوبر,"7,026,387"
2018,نوفمبر,"4,714,556"
2018,ديسمبر,"6,697,144"
2019,يناير,"5,513,000"
2019,فبراير,"14,875,776"
2019,مارس,"5,457,986"
2019,إبريل,"67,936,927"
2019,مايو,"67,801,110"
2019,يونيو,"42,845,957"
2019,يوليو,"69,714,286"
2019,أغسطس,"50,881,833"
2019,سبتمبر,"67,231,652"
2019,أكتوبر,"70,252,309"
2019,نوفمبر,"70,651,680"
2019,ديسمبر,"72,019,802"
2020,يناير,"79,897,385"
2020,فبراير,"65,868,466"
2020,مارس,"62,701,334"
2020,إبريل,"51,529,272"
2020,مايو,"52,956,378"
2020,يونيو,"121,498,061"
2020,يوليو,"61,026,373"
2020,أغسطس,"66,791,505"
2020,سبتمبر,"7,273,298"
2020,أكتوبر,"49,767,579"
2020,نوفمبر,"46,390,512"
2020,ديسمبر,"31,526,160"
2021,يناير,"17,678,334"
2021,فبراير,"37,583,284"
2021,مارس,"60,962,636"
2021,إبريل,"55,746,943"
2021,مايو,"66,283,713"
2021,يونيو,"89,764,006"
2021,يوليو,"73,020,566"
2021,أغسطس,"78,882,240"
2021,سبتمبر,"95,233,746"
2021,أكتوبر,"65,199,853"
2021,نوفمبر,"70,309,440"
2021,ديسمبر,"74,050,949"
2022,يناير,"68,746,970"
2022,فبراير,"59,530,781"
2022,مارس,0
2022,إبريل,0
2022,مايو,0
2022,يونيو,0
2022,يوليو,0
2022,أغسطس,0
2022,سبتمبر,0
2022,أكتوبر,0
2022,نوفمبر,0
2022,ديسمبر,0
