Item,Amount,Value
اقمشة أخرىقطن خام أكثر من 85% قطن من200 جرام مطبوع,782.6,ألف دولار
بطاطس طازجه اومبرده أخرى,305.8,ألف دولار
زيوت عطرية أخرى,204.7,ألف دولار
قضبان ?  زوايا و اشكال خاصه اخرى من المونيوم,194.6,ألف دولار
محضرات واصناف صيدليه اخر,190.3,ألف دولار
غزل قطن متعدد أكثر من 85% قطن ممشط (31و192) ( 125)غير مهييء للبيع بالتجزئه,173.9,ألف دولار
فواكه ?  اثمار محفوظه مؤقتا,153.9,ألف دولار
جوز و لوز محلى,143.2,ألف دولار
اقمشة قطن خام أكثر أخرى من 85% قطن أقل من200 جرام من غزول مختلفه,118.7,ألف دولار
بطاطا طازجه أو مجففه,117.4,ألف دولار
بذور سمسم,77.0,ألف دولار
اقمشة أخرىقطن خام أكثر من 85% قطن من200 جرام من غزل مصبوغ,63.3,ألف دولار
غيرها من مصنوعات اخرى من حديد او صلب,42.5,ألف دولار
أغطية أرضيات نسجيه أخرى,37.0,ألف دولار
ملايات سرير من ألياف نسجيه مخلوطه,35.6,ألف دولار
عصير خليط,26.5,ألف دولار
نباتات طبيه أخرى,16.5,ألف دولار
فواكه وثمار اخرى ذات قشره صلبه فى محلول سكرى,14.4,ألف دولار
ساعات يد ببطاريه,12.5,ألف دولار
برتقال طازج أو مجفف,12.3,ألف دولار
اقمشه مبطنه تستخدم فى الصناعة,10.3,ألف دولار
منصهرات كهربيه داتيه لا يزيد عن 1000 فولت,10.3,ألف دولار
اطقم حمامات / بياضات متنوعه,8.9,ألف دولار
بطاطين من الصوف أو شعر الحيوانات,6.8,ألف دولار
زيوت عطريه (من موالح) متعدده,3.3,ألف دولار
قمصان رجالى من الياف صناعيه غير مصنره,2.6,ألف دولار
راتنجات عطرية,2.3,ألف دولار
كتل وماشابه ذلك من منتجات الخزف المقاوم  للحراره,2.0,ألف دولار
مضخات الخلخله الهوائيه,1.8,ألف دولار
حساء ومرق ومحضرات (شوربه),1.4,ألف دولار
بنطلون حريمى من الياف صناعيه غير مصنره,1.4,ألف دولار
هياكل لوحات توزيع كهربائيه,1.1,ألف دولار
ثـــوم طازج أو مثلج,1.0,ألف دولار
فوط سفرة / بياضات من الياف نسجيه أخرى,1.0,ألف دولار
مانجوستين طازجةاو مجففه,0.5,ألف دولار
اكسوارات عوازل كهربائيه من بلاستيك,0.5,ألف دولار
لوح توزيع فرعيه تقل عن 1000 فولت,0.3,ألف دولار
مستلزمات أخرى من أنواع البلاستيك الأخرى,0.2,ألف دولار
إكسسوارات آلات النسيج,0.1,ألف دولار
االات نفث وقذف و رش أخرى,0.1,ألف دولار
بقوة أكبر من 750 وات و أقل من 75 كيلو وات,0.1,ألف دولار
يوسفى طازج أو مجفف,0.0,ألف دولار
سليب رجالى من ألياف صناعيه غير مصنره,0.0,ألف دولار
غيرها من الياف زجاجيه (بما فيها الصوف الزجاجى) واصناف منها,0.0,ألف دولار
