Year,Month,Export Amount
2012,يناير,"10,852,159"
2012,فبراير,"49,957,312"
2012,مارس,"25,382,129"
2012,إبريل,"16,817,131"
2012,مايو,"12,952,988"
2012,يونيو,"9,741,081"
2012,يوليو,"15,592,295"
2012,أغسطس,"11,971,366"
2012,سبتمبر,"133,451,831"
2012,أكتوبر,"50,719,964"
2012,نوفمبر,"5,368,684"
2012,ديسمبر,"2,012,894"
2013,يناير,"5,825,457"
2013,فبراير,"2,994,785"
2013,مارس,"55,571,262"
2013,إبريل,"21,671,029"
2013,مايو,"2,034,512"
2013,يونيو,"2,173,541"
2013,يوليو,"1,505,364"
2013,أغسطس,"2,194,218"
2013,سبتمبر,"1,999,741"
2013,أكتوبر,"4,009,697"
2013,نوفمبر,"2,851,858"
2013,ديسمبر,"2,733,061"
2014,يناير,"3,938,783"
2014,فبراير,"2,328,243"
2014,مارس,"2,438,123"
2014,إبريل,"2,249,106"
2014,مايو,"1,886,619"
2014,يونيو,"1,901,164"
2014,يوليو,"5,138,204"
2014,أغسطس,"4,590,068"
2014,سبتمبر,"3,485,263"
2014,أكتوبر,"2,416,430"
2014,نوفمبر,"2,070,431"
2014,ديسمبر,"3,356,570"
2015,يناير,"2,157,123"
2015,فبراير,"2,307,651"
2015,مارس,"2,567,087"
2015,إبريل,"2,277,437"
2015,مايو,"2,085,006"
2015,يونيو,"1,746,307"
2015,يوليو,"1,992,707"
2015,أغسطس,"1,945,104"
2015,سبتمبر,"7,069,505"
2015,أكتوبر,"3,253,298"
2015,نوفمبر,"1,880,851"
2015,ديسمبر,"1,860,988"
2016,يناير,"1,936,723"
2016,فبراير,"24,958,683"
2016,مارس,"62,661,950"
2016,إبريل,"60,445,045"
2016,مايو,"49,446,848"
2016,يونيو,"49,752,190"
2016,يوليو,"31,577,056"
2016,أغسطس,"47,278,564"
2016,سبتمبر,"31,514,805"
2016,أكتوبر,"12,078,098"
2016,نوفمبر,"32,993,921"
2016,ديسمبر,"28,156,176"
2017,يناير,"187,165,200"
2017,فبراير,"54,098,143"
2017,مارس,"24,373,208"
2017,إبريل,"32,198,666"
2017,مايو,"21,618,866"
2017,يونيو,"11,095,537"
2017,يوليو,"7,689,179"
2017,أغسطس,"28,804,820"
2017,سبتمبر,"16,587,120"
2017,أكتوبر,"12,846,220"
2017,نوفمبر,"17,755,568"
2017,ديسمبر,"14,571,046"
2018,يناير,"55,379,456"
2018,فبراير,"16,946,188"
2018,مارس,"7,346,073"
2018,إبريل,"8,454,706"
2018,مايو,"3,165,258"
2018,يونيو,"2,554,454"
2018,يوليو,"2,940,040"
2018,أغسطس,"2,462,919"
2018,سبتمبر,"2,144,042"
2018,أكتوبر,"2,635,967"
2018,نوفمبر,"2,464,139"
2018,ديسمبر,"2,367,553"
2019,يناير,"2,844,722"
2019,فبراير,"2,317,314"
2019,مارس,"2,789,813"
2019,إبريل,"1,493,717"
2019,مايو,"1,944,870"
2019,يونيو,"1,614,895"
2019,يوليو,"1,525,404"
2019,أغسطس,"1,092,761"
2019,سبتمبر,"2,019,538"
2019,أكتوبر,"3,192,113"
2019,نوفمبر,"1,777,353"
2019,ديسمبر,"1,468,967"
2020,يناير,"868,640"
2020,فبراير,"27,202,869"
2020,مارس,"1,640,623"
2020,إبريل,"27,898,252"
2020,مايو,"31,934,857"
2020,يونيو,"27,403,865"
2020,يوليو,"796,921"
2020,أغسطس,"3,637,462"
2020,سبتمبر,"5,045,611"
2020,أكتوبر,"1,872,562"
2020,نوفمبر,"3,414,305"
2020,ديسمبر,"1,515,796"
2021,يناير,"1,827,203"
2021,فبراير,"2,168,285"
2021,مارس,"4,159,028"
2021,إبريل,"4,025,001"
2021,مايو,"2,540,802"
2021,يونيو,"2,074,982"
2021,يوليو,"2,447,244"
2021,أغسطس,"2,052,978"
2021,سبتمبر,"1,773,394"
2021,أكتوبر,"2,053,167"
2021,نوفمبر,"855,754"
2021,ديسمبر,"2,896,623"
2022,يناير,"1,482,897"
2022,فبراير,"1,549,369"
2022,مارس,0
2022,إبريل,0
2022,مايو,0
2022,يونيو,0
2022,يوليو,0
2022,أغسطس,0
2022,سبتمبر,0
2022,أكتوبر,0
2022,نوفمبر,0
2022,ديسمبر,0
