Item,Amount,Value
موصلات كهربيه لا تزيد عن 80 فولت,341.1,ألف دولار
سجاد وغيره من اغطية الارضيات النسجية من حرير أو قطن أو ألياف صناعيه عقدى,295.4,ألف دولار
كابلات كوكشال نحاسية ضغط عالى ومنخفض ومتوسط دون تحديد لخامه التغليف او الضغوط,170.5,ألف دولار
نباتات طبيه أخرى,145.5,ألف دولار
بيكربونات كالسيوم,104.8,ألف دولار
اجهزة كهربائيه للتسخين الفورى للمياه ومقاومات تسخين كهربائيه (سخانات مغموره بداخل الغسالات),59.1,ألف دولار
غزل قطن متعدد أكثر من 85% قطن ممشط (31و192) ( 125)غير مهييء للبيع بالتجزئه,52.9,ألف دولار
أغطية أرضيات نسجيه أخرى,51.9,ألف دولار
أحجار طبيعيه للمبانى مصقوله,49.1,ألف دولار
زيتون مخلل,48.7,ألف دولار
خضروات مجففه,48.4,ألف دولار
بطاطس محفوظه بكاملها فى مواد أخرى,45.1,ألف دولار
سجاد نايلون آخر,42.2,ألف دولار
طرشى),28.2,ألف دولار
فاكهه مسكره,24.8,ألف دولار
ملابس المطر الداخليه رجالى بصفة عامه,19.3,ألف دولار
اسمنت فوندو ..... الخ,18.9,ألف دولار
مواد مانعه للرغوه فى درجات الحراره العاليه,17.6,ألف دولار
بنطلون رجالى من القطن غير مصنره,16.4,ألف دولار
قمصان رجالى من الياف صناعيه غير مصنره,11.6,ألف دولار
زجاج مسطح عادى سادة غير مسلح,9.3,ألف دولار
تى شيرت وفانلات بنصف اكمام من القطن مصنره,6.6,ألف دولار
بنطلون رجالى من الياف صناعيه غير مصنره,6.1,ألف دولار
قصاع واوعيه مماثله لاستعمالات ريفيه واخرى للتعبئه,5.4,ألف دولار
بنطلون حريمى من القطن غير مصنره,0.8,ألف دولار
