Year,Month,Export Amount
2012,يناير,"374,736"
2012,فبراير,"766,022"
2012,مارس,"821,740"
2012,إبريل,"468,499"
2012,مايو,"324,343"
2012,يونيو,"527,126"
2012,يوليو,"1,256,680"
2012,أغسطس,"666,481"
2012,سبتمبر,"501,380"
2012,أكتوبر,"610,234"
2012,نوفمبر,"663,895"
2012,ديسمبر,"713,328"
2013,يناير,"612,848"
2013,فبراير,"744,174"
2013,مارس,"838,085"
2013,إبريل,"755,240"
2013,مايو,"759,705"
2013,يونيو,"741,856"
2013,يوليو,"919,411"
2013,أغسطس,"608,670"
2013,سبتمبر,"1,250,160"
2013,أكتوبر,"624,411"
2013,نوفمبر,"775,213"
2013,ديسمبر,"985,946"
2014,يناير,"484,207"
2014,فبراير,"606,964"
2014,مارس,"1,426,435"
2014,إبريل,"891,717"
2014,مايو,"1,046,406"
2014,يونيو,"877,570"
2014,يوليو,"538,789"
2014,أغسطس,"744,720"
2014,سبتمبر,"695,550"
2014,أكتوبر,"158,705"
2014,نوفمبر,"530,645"
2014,ديسمبر,"368,934"
2015,يناير,"243,187"
2015,فبراير,"1,685,770"
2015,مارس,"801,215"
2015,إبريل,"935,672"
2015,مايو,"458,944"
2015,يونيو,"1,525,624"
2015,يوليو,"505,731"
2015,أغسطس,"763,255"
2015,سبتمبر,"501,857"
2015,أكتوبر,"499,489"
2015,نوفمبر,"433,053"
2015,ديسمبر,"205,848"
2016,يناير,"526,340"
2016,فبراير,"918,426"
2016,مارس,"817,046"
2016,إبريل,"451,631"
2016,مايو,"395,605"
2016,يونيو,"605,152"
2016,يوليو,"668,661"
2016,أغسطس,"392,603"
2016,سبتمبر,"142,315"
2016,أكتوبر,"522,116"
2016,نوفمبر,"444,023"
2016,ديسمبر,"437,373"
2017,يناير,"3,018,442"
2017,فبراير,"670,470"
2017,مارس,"1,984,046"
2017,إبريل,"1,273,322"
2017,مايو,"743,177"
2017,يونيو,"462,247"
2017,يوليو,"2,692,378"
2017,أغسطس,"790,064"
2017,سبتمبر,"467,867"
2017,أكتوبر,"658,889"
2017,نوفمبر,"776,888"
2017,ديسمبر,"571,450"
2018,يناير,"830,219"
2018,فبراير,"937,072"
2018,مارس,"1,337,527"
2018,إبريل,"677,590"
2018,مايو,"599,037"
2018,يونيو,"621,296"
2018,يوليو,"1,007,528"
2018,أغسطس,"767,642"
2018,سبتمبر,"746,006"
2018,أكتوبر,"1,562,277"
2018,نوفمبر,"738,573"
2018,ديسمبر,"795,564"
2019,يناير,"672,988"
2019,فبراير,"611,691"
2019,مارس,"238,395"
2019,إبريل,"987,805"
2019,مايو,"211,417"
2019,يونيو,"817,125"
2019,يوليو,"443,792"
2019,أغسطس,"680,083"
2019,سبتمبر,"746,380"
2019,أكتوبر,"1,028,619"
2019,نوفمبر,"610,365"
2019,ديسمبر,"484,657"
2020,يناير,"697,452"
2020,فبراير,"302,125"
2020,مارس,"564,329"
2020,إبريل,"358,452"
2020,مايو,"1,520,272"
2020,يونيو,"259,770"
2020,يوليو,"137,584"
2020,أغسطس,"916,492"
2020,سبتمبر,"903,777"
2020,أكتوبر,"831,184"
2020,نوفمبر,"1,796,536"
2020,ديسمبر,"1,570,077"
2021,يناير,"2,072,691"
2021,فبراير,"725,280"
2021,مارس,"901,714"
2021,إبريل,"990,383"
2021,مايو,"860,130"
2021,يونيو,"786,337"
2021,يوليو,"919,216"
2021,أغسطس,"1,628,191"
2021,سبتمبر,"1,663,722"
2021,أكتوبر,"1,169,596"
2021,نوفمبر,"342,730"
2021,ديسمبر,"861,900"
2022,يناير,"648,438"
2022,فبراير,"971,298"
2022,مارس,0
2022,إبريل,0
2022,مايو,0
2022,يونيو,0
2022,يوليو,0
2022,أغسطس,0
2022,سبتمبر,0
2022,أكتوبر,0
2022,نوفمبر,0
2022,ديسمبر,0
