Item,Amount,Value
غاز طبيعى فى صوره سائله,186.3,مليون دولار
زيوت نفط خفيفه وزيوت خفيفه اخرى متحصل عليها من المواد المعدنيه,167.7,مليون دولار
قطن غير ممشط أو مسرح,21.3,مليون دولار
برتقال طازج أو مجفف,6.5,مليون دولار
فراوله محفوظه مؤقتا,6.4,مليون دولار
سلك نحاس اصفر,4.0,مليون دولار
أحجار طبيعيه للمبانى مصقوله,2.4,مليون دولار
جريب فروت طازج أو مجفف,2.0,مليون دولار
أجزاء راديو و تليفزيون,1.8,مليون دولار
سجاد وغيره من اغطية الارضيات النسجية من حرير أو قطن أو ألياف صناعيه عقدى,1.6,مليون دولار
الومنيوم غير مشغول أو غير هيئة سبائك,1.2,مليون دولار
رمال السيليس (السيليكا) ورمال الكوارتز,841.4,ألف دولار
غيرها من منشات واجزاوءها من حديد او صلب,515.6,ألف دولار
قمصان رجالى من الياف صناعيه غير مصنره,493.3,ألف دولار
احماض دهنية صناعية مونوكاربوكسيليك,454.2,ألف دولار
كاثود نحاس أحمر,378.0,ألف دولار
غيرها من الياف زجاجيه (بما فيها الصوف الزجاجى) واصناف منها,372.5,ألف دولار
أجزاء من مصابيح و إضائه زجاجيه,341.0,ألف دولار
راتنجات ميلامين,340.6,ألف دولار
اثاث معدنى اخر,332.8,ألف دولار
ألواح و صفائح من نحاس منقى فى غير رولات بسمك يزيد عن 15و مم,313.7,ألف دولار
الومنيوم غير مشغول و على هيئة سبائك,294.3,ألف دولار
شعر كتان خام,288.5,ألف دولار
غيرها من اسلاك,272.9,ألف دولار
قمصان رجالى من الياف أخرى غير مصنره,266.5,ألف دولار
حمامات و بانيوهات و أحواض من البلاستيك,260.7,ألف دولار
مخلفات صناعة النشا,231.0,ألف دولار
أغطية أرضيات نسجيه أخرى,221.1,ألف دولار
بنطلون رجالى من القطن غير مصنره,199.3,ألف دولار
خامات ومركزات تيتانيوم,188.7,ألف دولار
سوائل اوعجن من الارالديت المستخدم كعازل كهربائى,169.0,ألف دولار
مخلفات صناعات البنجر,152.6,ألف دولار
شعر كتان مسرح أو شعر كتان ممشط و ليس مغزول,128.6,ألف دولار
أسلاك نحاس غير مشغوله,100.2,ألف دولار
بوليمرات الإيثيلين,91.0,ألف دولار
سيليكون بشكل أولى,91.0,ألف دولار
غيرها من الادوات والاجهزة المستخدمة فى الطب او الجراحة او لطب الاسنان  او للطب البيطرى,87.7,ألف دولار
مواد مانعه للرغوه فى درجات الحراره العاليه,82.5,ألف دولار
فراوله طازجه,79.5,ألف دولار
قضبان ?  زوايا و اشكال خاصه اخرى من المونيوم,74.1,ألف دولار
نباتات طبيه أخرى,70.8,ألف دولار
كابلات كوكشال نحاسية ضغط عالى ومنخفض ومتوسط دون تحديد لخامه التغليف او الضغوط,68.6,ألف دولار
صفائح علب واوعيه مماثله من حديد او صلب     لتعبئه اى مادة سعتها50 لتراواكثر,66.0,ألف دولار
غراء قاعدته نشاء او دكسترين او انواع اخرى من نشويات معدلة,59.3,ألف دولار
ملابس المطر الداخليه رجالى بصفة عامه,58.4,ألف دولار
مصنوعات اخري من بورسلين او صيني للزينه,55.4,ألف دولار
مفاتيح الكوالين من صلب,54.6,ألف دولار
عصير خليط,52.8,ألف دولار
ضمادات لاصقة واصناف اخرى ذات طبقة لاصقة,46.9,ألف دولار
بنطلون رجالى من الياف نسجيه أخرى غير مصنره,41.4,ألف دولار
انهدريت (كبريتات كالسيوم لامائى),39.1,ألف دولار
خامات ومركزات الزيركونيم,34.8,ألف دولار
تى شيرت وفانلات بنصف اكمام من الياف أخرى مصنره,34.3,ألف دولار
منصهرات كهربيه داتيه لا يزيد عن 1000 فولت,34.0,ألف دولار
قطع غيار متنوعه من الكاوتشوك,30.7,ألف دولار
بلوزه حريمى من الياف صناعيه غير مصنره,30.4,ألف دولار
شحوم من أبقار أو جاموس مجمده,29.9,ألف دولار
رخام خام وترافرتين خام او غير مستوية القطع,26.4,ألف دولار
ملابس المطر الداخليه حريمى بصفة عامه,26.2,ألف دولار
زيوت عطرية أخرى,23.2,ألف دولار
بذور سمسم,20.5,ألف دولار
قوالب حقن للسباكه المعدنيه,20.0,ألف دولار
هلام,19.6,ألف دولار
أجزاء المثاقب الأخرى,19.4,ألف دولار
ادوات اخرى من كريستال,18.8,ألف دولار
مستلزمات أخرى من أنواع البلاستيك الأخرى,18.3,ألف دولار
راتنجات صمغيه,18.2,ألف دولار
غيرها من مصنوعات اخرى من حديد او صلب,17.8,ألف دولار
فوسفات الجير الحيوانى,16.9,ألف دولار
زيوت النعناع الأخرى,16.6,ألف دولار
كرنب أفرنجى و بروكلى طازج,16.1,ألف دولار
بودره بولي ايثلين P.E.T,13.3,ألف دولار
حبات  (P.P) بولي بروبلين,13.0,ألف دولار
جهاز تكييف وتبريد للحوائط أو النوافذ,11.4,ألف دولار
سماعات للراس وسماعات للاذن مركبه على الميكروفانات واطقم مكبره للصوت,11.3,ألف دولار
مصارين ومثانات ومعد حيوانات (غير الاسماك) بكاملهااواجزاء منها,10.0,ألف دولار
راتنجات عطرية,9.9,ألف دولار
زيوت عطريه (من موالح) متعدده,9.0,ألف دولار
يوسفى طازج أو مجفف,9.0,ألف دولار
حقائب و شنط و جوالات واكياس من بوليمرات الإيثلين,7.6,ألف دولار
مسحوق عظم حيوانى,6.2,ألف دولار
ألواح صلب لا يصدأ مسحوبه على الساخن فى رولات بعرض أكبر من 600 مم أخرى,5.8,ألف دولار
قماش الدنيم أو الجينز,4.8,ألف دولار
بهارات اخرى,4.6,ألف دولار
بنطلون حريمى من القطن غير مصنره,4.2,ألف دولار
مكبرات صوت فرديه لا تباع منفصله عن الأجهزه,3.9,ألف دولار
ألواح حديد مسحوبه على الساخن فى رولات بعرض أكبر من 600 مم و بسمك أكبر من 4.75واقل من 10 مم,3.0,ألف دولار
غيرها من البويات والورنيشات المائيه,2.7,ألف دولار
بلح طازج أو مجفف,2.3,ألف دولار
اكسوارات عوازل كهربائيه من بلاستيك,2.1,ألف دولار
مثاقب الحجاره,2.0,ألف دولار
بنطلون حريمى من الياف نسجيه أخرى غير مصنره,2.0,ألف دولار
الواح/افرخ/رقائق/شرائط/شرائح/اشكال مسطحه من بوليمرات الاكريليك المركبه,1.9,ألف دولار
حلى غواية تقليدية اخرى,1.4,ألف دولار
الات للتنظيف الجاف,1.4,ألف دولار
عدادات الأيونات,1.2,ألف دولار
قطع من ملابس جاهزه,0.9,ألف دولار
منتجات للتعبئة و التغليف أخرى من أنواع البلاستيك الأخرى,0.6,ألف دولار
اشكال مسطحةاخرى ومن اصناف ذاتية اللصق من لدائن اصطناعية,0.6,ألف دولار
مجموعات اسلاك الاشعال ومجموعات اسلاك اخرى من النوع المستعمل فى السيارات الطائرات او السفن,0.5,ألف دولار
صناديق و حاويات من البلاستيك,0.5,ألف دولار
معدات يدويه تعمل بالضغط لشغل المعادن,0.5,ألف دولار
مفاتيح كهربائيه أخرى يزيد عن 1000 فولت,0.5,ألف دولار
محولات ساكنة مثل مقومات التيار,0.4,ألف دولار
باب حديد اوشباك حديد بدون تحديد,0.3,ألف دولار
اوعيه من المونيوم لتعبئة الغازات المضغوطه او المسيله,0.2,ألف دولار
سليب رجالى قطن مصنره,0.2,ألف دولار
واقيات الصدمات واجزاؤها,0.2,ألف دولار
حقن طبيه من بلاستيك (سرنجه),0.2,ألف دولار
تابلوهات فنيه,0.1,ألف دولار
طحينة منشأةمن زيت بذر السمسم,0.1,ألف دولار
قوالب حقن للسباكه الزجاجيه,0.1,ألف دولار
موصلات كهربيه تزيد عن 1000 فولت,0.0,ألف دولار
سليب أو كيلوت من الياف صناعيه مصنره,0.0,ألف دولار
أجزاء غيرها من ادوات واجهزة اخرى للتنظيم او التحكم,0.0,ألف دولار
