Year,Month,Export Amount
2012,يناير,"31,263,008"
2012,فبراير,"31,377,330"
2012,مارس,"46,243,680"
2012,إبريل,"34,958,296"
2012,مايو,"52,060,012"
2012,يونيو,"26,498,046"
2012,يوليو,"32,033,569"
2012,أغسطس,"19,064,678"
2012,سبتمبر,"25,949,742"
2012,أكتوبر,"26,192,983"
2012,نوفمبر,"28,225,444"
2012,ديسمبر,"38,918,488"
2013,يناير,"31,819,535"
2013,فبراير,"23,048,170"
2013,مارس,"32,926,961"
2013,إبريل,"39,573,057"
2013,مايو,"31,194,810"
2013,يونيو,"41,276,622"
2013,يوليو,"14,929,547"
2013,أغسطس,"10,565,013"
2013,سبتمبر,"15,536,205"
2013,أكتوبر,"11,885,807"
2013,نوفمبر,"15,663,993"
2013,ديسمبر,"22,758,837"
2014,يناير,"19,171,876"
2014,فبراير,"14,830,595"
2014,مارس,"23,988,340"
2014,إبريل,"20,716,275"
2014,مايو,"18,817,552"
2014,يونيو,"17,065,352"
2014,يوليو,"12,462,150"
2014,أغسطس,"14,716,925"
2014,سبتمبر,"19,004,268"
2014,أكتوبر,"13,962,107"
2014,نوفمبر,"21,507,450"
2014,ديسمبر,"24,528,186"
2015,يناير,"14,677,924"
2015,فبراير,"18,151,391"
2015,مارس,"24,773,608"
2015,إبريل,"19,112,424"
2015,مايو,"15,522,143"
2015,يونيو,"19,571,586"
2015,يوليو,"5,207,374"
2015,أغسطس,"12,654,145"
2015,سبتمبر,"7,368,194"
2015,أكتوبر,"9,935,651"
2015,نوفمبر,"12,503,438"
2015,ديسمبر,"15,133,164"
2016,يناير,"12,339,907"
2016,فبراير,"11,522,293"
2016,مارس,"33,627,076"
2016,إبريل,"15,771,871"
2016,مايو,"12,299,647"
2016,يونيو,"21,310,181"
2016,يوليو,"7,930,937"
2016,أغسطس,"10,087,350"
2016,سبتمبر,"8,443,850"
2016,أكتوبر,"9,474,563"
2016,نوفمبر,"12,559,001"
2016,ديسمبر,"19,076,118"
2017,يناير,"58,075,170"
2017,فبراير,"16,189,320"
2017,مارس,"33,966,679"
2017,إبريل,"30,336,484"
2017,مايو,"38,532,758"
2017,يونيو,"7,127,082"
2017,يوليو,"17,649,504"
2017,أغسطس,"19,442,961"
2017,سبتمبر,"21,045,650"
2017,أكتوبر,"21,022,402"
2017,نوفمبر,"10,227,553"
2017,ديسمبر,"22,731,261"
2018,يناير,"28,658,125"
2018,فبراير,"33,924,966"
2018,مارس,"37,563,863"
2018,إبريل,"27,514,428"
2018,مايو,"25,686,874"
2018,يونيو,"25,549,881"
2018,يوليو,"20,172,560"
2018,أغسطس,"14,806,917"
2018,سبتمبر,"28,364,397"
2018,أكتوبر,"26,755,654"
2018,نوفمبر,"19,586,184"
2018,ديسمبر,"15,064,409"
2019,يناير,"26,635,617"
2019,فبراير,"40,757,116"
2019,مارس,"51,960,572"
2019,إبريل,"81,561,361"
2019,مايو,"40,481,894"
2019,يونيو,"48,094,990"
2019,يوليو,"33,121,441"
2019,أغسطس,"13,910,109"
2019,سبتمبر,"49,015,953"
2019,أكتوبر,"13,728,082"
2019,نوفمبر,"30,709,483"
2019,ديسمبر,"31,153,807"
2020,يناير,"118,879,977"
2020,فبراير,"32,368,940"
2020,مارس,"71,607,150"
2020,إبريل,"23,068,834"
2020,مايو,"18,900,844"
2020,يونيو,"35,751,438"
2020,يوليو,"15,889,186"
2020,أغسطس,"11,949,169"
2020,سبتمبر,"75,772,327"
2020,أكتوبر,"61,479,296"
2020,نوفمبر,"63,814,627"
2020,ديسمبر,"65,787,060"
2021,يناير,"141,753,067"
2021,فبراير,"108,413,984"
2021,مارس,"147,210,892"
2021,إبريل,"74,472,907"
2021,مايو,"86,249,134"
2021,يونيو,"169,271,267"
2021,يوليو,"84,529,340"
2021,أغسطس,"179,618,057"
2021,سبتمبر,"133,063,845"
2021,أكتوبر,"141,424,411"
2021,نوفمبر,"69,376,678"
2021,ديسمبر,"67,323,802"
2022,يناير,"123,915,330"
2022,فبراير,"426,964,701"
2022,مارس,0
2022,إبريل,0
2022,مايو,0
2022,يونيو,0
2022,يوليو,0
2022,أغسطس,0
2022,سبتمبر,0
2022,أكتوبر,0
2022,نوفمبر,0
2022,ديسمبر,0
