Item,Amount,Value
,10.8,مليون دولار
طماطم محفوظه بكاملها فى مواد أخرى,1.4,مليون دولار
اتوبيس سياحه (سيارات النقل العام من طراز الركاب),1.3,مليون دولار
غيرها من منشات واجزاوءها من حديد او صلب,1.2,مليون دولار
بيكربونات كالسيوم,715.5,ألف دولار
بولى اثيلين ذات ثقل نوعى 94ر او يزيد,615.3,ألف دولار
بصل مجفف,523.8,ألف دولار
محول كهربائى 650 وات إلى 10000 وات,516.9,ألف دولار
لوحات توزيع كهرباء لفولت يزيد عن 1000 فولت  للمصانع,453.3,ألف دولار
قوارير وزجاجات واوانى وجرار وامبولات وغيرها من الاوعية من الزجاج من النوع المستعمل فى نقل اوتعبئة السلع,419.9,ألف دولار
مكسبات طعم ورائحه,339.9,ألف دولار
إطارات السيارات النقل و الشاحنات,269.2,ألف دولار
راتنجات يوريا,263.9,ألف دولار
سيليكات صوديوم أخر,182.2,ألف دولار
"الواح , افرخ , رقائق , شرائط ,شرائح,غير خلوية وغير مقواه بوليمييرات البروبيلين",163.7,ألف دولار
منظف اسنان  .. بشكل بودرة او مسحوق بكافه انواعه,155.1,ألف دولار
لعزل الحراره ?  الصوت,153.2,ألف دولار
موصلات كهربيه تزيد عن 1000 فولت,136.8,ألف دولار
ادوات منزليه من الالومنيوم خاصه بالمطبخ,131.0,ألف دولار
ورنيشات قاعدتها P.V.A,129.6,ألف دولار
عجائن اخرى غير محتويه على بيض,120.2,ألف دولار
جلوكوز و عسل الجلوكوز,112.8,ألف دولار
اقمشة قطن خام أخرى أكثر من 85% قطن أكثر من200 جرام مطبوعه,99.9,ألف دولار
مستلزمات أخرى من أنواع البلاستيك الأخرى,92.1,ألف دولار
حامض ايدروكلوريك ( هيدروجين كلوريد),85.5,ألف دولار
مطاط مبركن غير رغوى,80.1,ألف دولار
محضرات واصناف صيدليه اخر,77.8,ألف دولار
محضرات غذائيه للاطفال,77.8,ألف دولار
ليتوبون والوان سطحية ومحضرات اخرى غير عضويه متنوعه,68.9,ألف دولار
بويات و ورنيش من قاعده  بوليمرات,54.7,ألف دولار
علب كرتون من كرافت/علب كرتون من كرافت وفلوتنج معا,51.8,ألف دولار
محضرات غذائيه اخرى,49.0,ألف دولار
استياتيت طبيعى مجروش او مطحون,43.9,ألف دولار
محضرات نسيج و جلود تحتوى على 70% عامل نشط,39.9,ألف دولار
اعلاف حيوانيه غير تقليديه,37.1,ألف دولار
بوليمرات الإيثيلين,32.3,ألف دولار
فواكه وثمار اخرى ذات قشره صلبه فى محلول سكرى,31.6,ألف دولار
اجهزة كهربائيه للتسخين الفورى للمياه ومقاومات تسخين كهربائيه (سخانات مغموره بداخل الغسالات),29.5,ألف دولار
تول وغيره من الاقمشةالشبكية ? ركامه كلف (مطرزات),28.9,ألف دولار
,27.8,ألف دولار
زيت عباد الشمس بصـفة عـامة,26.5,ألف دولار
اصناف مماثله غير مزخرفه اساسها الجبس,24.0,ألف دولار
مجففات محضره,23.4,ألف دولار
الواح حديد مسحوبة على الساخن فى رولات بعرض اكبر من 600مم على شكل لفائف,22.6,ألف دولار
أدوات المائدة و المطبخ  من أنواع البلاستيك الأخرى,15.8,ألف دولار
شرائح غير خلويه ولامتحده مع مواد اخرى من بوليميرات الايثيلين,14.6,ألف دولار
,13.5,ألف دولار
معجون بلاستيك لأعمال الطلاء الماستيكى,12.9,ألف دولار
"غيرها من الواح , افرخ , رقائق,شرائط,شرائح من بوليمرات الإستيرين",12.7,ألف دولار
أغطية الزجاجات و مغاليق من أنواع البلاستيك الأخرى,12.7,ألف دولار
اثاث اخر من الخشب ? حجره سفره من خشب,11.2,ألف دولار
كبريتات ماغنيسيوم,6.5,ألف دولار
كتب و كتيبات مطبوعه وان كانت مصوره,5.3,ألف دولار
منصهرات كهربيه داتيه لا يزيد عن 1000 فولت,4.8,ألف دولار
اجزاء ولوازم سيارات اخرى,3.1,ألف دولار
أجزاء آلات قولبة أو تشكيل المطاط أو البلاستيك للإنتاج السلع,3.0,ألف دولار
ملايات و مفارش سرير قطن,0.8,ألف دولار
توابل بشكل مخاليط (بهارات),0.1,ألف دولار
بذور خضروات اخرى للزراعه,0.1,ألف دولار
