Year,Month,Export Amount
2012,يناير,"2,303,014"
2012,فبراير,"2,061,952"
2012,مارس,"3,396,483"
2012,إبريل,"1,954,647"
2012,مايو,"2,989,747"
2012,يونيو,"2,981,021"
2012,يوليو,"1,570,419"
2012,أغسطس,"3,044,981"
2012,سبتمبر,"2,672,317"
2012,أكتوبر,"2,965,659"
2012,نوفمبر,"1,031,740"
2012,ديسمبر,"2,983,578"
2013,يناير,"3,174,597"
2013,فبراير,"3,572,852"
2013,مارس,"3,346,011"
2013,إبريل,"2,701,185"
2013,مايو,"2,499,241"
2013,يونيو,"3,632,366"
2013,يوليو,"3,864,518"
2013,أغسطس,"1,573,142"
2013,سبتمبر,"2,637,439"
2013,أكتوبر,"3,782,932"
2013,نوفمبر,"3,006,326"
2013,ديسمبر,"3,963,456"
2014,يناير,"2,827,234"
2014,فبراير,"3,110,958"
2014,مارس,"3,698,819"
2014,إبريل,"2,849,216"
2014,مايو,"4,540,845"
2014,يونيو,"3,346,398"
2014,يوليو,"1,831,287"
2014,أغسطس,"3,246,741"
2014,سبتمبر,"3,347,532"
2014,أكتوبر,"2,076,763"
2014,نوفمبر,"2,450,414"
2014,ديسمبر,"4,169,667"
2015,يناير,"1,472,817"
2015,فبراير,"3,274,838"
2015,مارس,"2,478,976"
2015,إبريل,"2,955,268"
2015,مايو,"5,871,868"
2015,يونيو,"2,631,771"
2015,يوليو,"3,238,767"
2015,أغسطس,"3,514,275"
2015,سبتمبر,"3,199,428"
2015,أكتوبر,"4,368,644"
2015,نوفمبر,"6,095,506"
2015,ديسمبر,"2,709,366"
2016,يناير,"2,238,954"
2016,فبراير,"5,509,733"
2016,مارس,"2,670,761"
2016,إبريل,"3,050,895"
2016,مايو,"4,830,170"
2016,يونيو,"2,039,672"
2016,يوليو,"2,642,097"
2016,أغسطس,"4,677,027"
2016,سبتمبر,"1,553,737"
2016,أكتوبر,"3,652,783"
2016,نوفمبر,"1,632,423"
2016,ديسمبر,"1,783,108"
2017,يناير,"14,790,809"
2017,فبراير,"3,573,457"
2017,مارس,"4,083,005"
2017,إبريل,"3,181,219"
2017,مايو,"3,226,986"
2017,يونيو,"6,251,956"
2017,يوليو,"2,094,878"
2017,أغسطس,"3,908,757"
2017,سبتمبر,"4,443,878"
2017,أكتوبر,"3,722,844"
2017,نوفمبر,"3,271,411"
2017,ديسمبر,"4,344,990"
2018,يناير,"4,528,494"
2018,فبراير,"4,008,078"
2018,مارس,"3,092,410"
2018,إبريل,"5,456,116"
2018,مايو,"3,698,896"
2018,يونيو,"4,163,211"
2018,يوليو,"4,793,966"
2018,أغسطس,"3,520,050"
2018,سبتمبر,"4,746,398"
2018,أكتوبر,"5,266,950"
2018,نوفمبر,"4,173,436"
2018,ديسمبر,"4,814,888"
2019,يناير,"4,014,676"
2019,فبراير,"3,703,201"
2019,مارس,"2,183,300"
2019,إبريل,"5,260,903"
2019,مايو,"4,591,027"
2019,يونيو,"2,405,283"
2019,يوليو,"4,015,274"
2019,أغسطس,"3,714,196"
2019,سبتمبر,"5,246,276"
2019,أكتوبر,"5,173,518"
2019,نوفمبر,"1,958,342"
2019,ديسمبر,"2,681,685"
2020,يناير,"2,608,413"
2020,فبراير,"3,199,310"
2020,مارس,"3,208,867"
2020,إبريل,"3,440,652"
2020,مايو,"3,157,013"
2020,يونيو,"5,922,693"
2020,يوليو,"3,861,387"
2020,أغسطس,"6,159,907"
2020,سبتمبر,"3,338,493"
2020,أكتوبر,"5,055,917"
2020,نوفمبر,"4,239,841"
2020,ديسمبر,"5,158,385"
2021,يناير,"6,199,097"
2021,فبراير,"5,299,885"
2021,مارس,"9,892,426"
2021,إبريل,"8,943,380"
2021,مايو,"13,630,060"
2021,يونيو,"14,025,862"
2021,يوليو,"17,171,386"
2021,أغسطس,"16,902,739"
2021,سبتمبر,"18,158,440"
2021,أكتوبر,"14,289,877"
2021,نوفمبر,"9,569,993"
2021,ديسمبر,"5,099,030"
2022,يناير,"13,703,304"
2022,فبراير,"9,677,020"
2022,مارس,0
2022,إبريل,0
2022,مايو,0
2022,يونيو,0
2022,يوليو,0
2022,أغسطس,0
2022,سبتمبر,0
2022,أكتوبر,0
2022,نوفمبر,0
2022,ديسمبر,0
