Item,Amount,Value
,12.2,مليون دولار
عربات أطفال و زجاجات برطمانات من أنواع البلاستيك الأخرى,690.2,ألف دولار
اتوبيس سياحه (سيارات النقل العام من طراز الركاب),453.2,ألف دولار
,318.0,ألف دولار
جلوكوز و عسل الجلوكوز,310.8,ألف دولار
قوارير وزجاجات واوانى وجرار وامبولات وغيرها من الاوعية من الزجاج من النوع المستعمل فى نقل اوتعبئة السلع,165.0,ألف دولار
أغطية الزجاجات و مغاليق من أنواع البلاستيك الأخرى,162.1,ألف دولار
محضرات غذائيه للاطفال,132.0,ألف دولار
غيرها من منشات واجزاوءها من حديد او صلب,126.3,ألف دولار
ورنيشات قاعدتها P.V.A,110.6,ألف دولار
إطارات السيارات النقل و الشاحنات,108.7,ألف دولار
راتنجات يوريا,108.1,ألف دولار
لعزل الحراره ?  الصوت,93.7,ألف دولار
نشا ذره,79.6,ألف دولار
سيليكات صوديوم أخر,71.3,ألف دولار
"الواح , افرخ , رقائق , شرائط ,شرائح,غير خلوية وغير مقواه بوليمييرات البروبيلين",69.4,ألف دولار
راتنجات الكيديه,67.0,ألف دولار
عصير خليط,55.3,ألف دولار
معجون بلاستيك لأعمال الطلاء الماستيكى,55.3,ألف دولار
بيكربونات كالسيوم,49.9,ألف دولار
سدادات صب,49.0,ألف دولار
اجهزة كهربائيه للتسخين الفورى للمياه ومقاومات تسخين كهربائيه (سخانات مغموره بداخل الغسالات),48.4,ألف دولار
زجاج مسطح عادى سادة غير مسلح,43.5,ألف دولار
انهدريت (كبريتات كالسيوم لامائى),36.9,ألف دولار
زيت زيتون نقى,35.2,ألف دولار
بوليمرات أكليريك ? سيورنقل الحركه ? علب البلاستيك لشرائط الكاسيت,34.3,ألف دولار
صناديق و حاويات من البلاستيك,31.2,ألف دولار
ومحافظ من ورق وورق مقوى غير مضلع قابله للطى,27.4,ألف دولار
اجزاء ولوازم سيارات اخرى,26.0,ألف دولار
مناديل ورقية (دون تحديد علب او جيب ),24.8,ألف دولار
يوسفى طازج أو مجفف,24.1,ألف دولار
محضرات واصناف صيدليه اخر,20.7,ألف دولار
مجففات محضره,17.7,ألف دولار
زيت ذره مكرر,15.1,ألف دولار
عجائن اخرى غير محتويه على بيض,15.1,ألف دولار
الاجهزةالكهربائية للانارة والاشارة أخرى,15.0,ألف دولار
اصناف مماثله غير مزخرفه اساسها الجبس,14.7,ألف دولار
بلح طازج أو مجفف,14.6,ألف دولار
فوسفاتات كالسيوم طبيعيه وفوسفانات طبيعيه مزدوجه من الومنيوم وكالسيوم وطباشير فوسفاتى مطحونه,13.2,ألف دولار
أحماض دهنيه للصناعه ?  زيوت حمضيه ناتجه عن التكرير,10.7,ألف دولار
اعلاف حيوانيه غير تقليديه,9.5,ألف دولار
برتقال طازج أو مجفف,8.4,ألف دولار
كتب و كتيبات مطبوعه وان كانت مصوره,2.5,ألف دولار
زيتون مخلل,2.4,ألف دولار
مساحيق محضره للخبيز (بيكنج بودر),2.2,ألف دولار
بويات و ورنيش من قاعده  بوليمرات,0.6,ألف دولار
سجاد وغيره من اغطية الارضيات النسجية من صوف او شعر الحيوانات عقدى,0.6,ألف دولار
روب حريمى من الالياف النسجية الأخرى غير مصنره,0.4,ألف دولار
احذيه بنعال خارجيه من مطاط أو لدائن صناعيه أو جلد تركيبى,0.3,ألف دولار
قضبان ?  زوايا و اشكال خاصه اخرى من المونيوم,0.2,ألف دولار
كتالوجات تجاريه وماشابه (طباعه اعلانات دعايه وملصقات),0.2,ألف دولار
غيرها من الاحذيه الوجه جلد صناعى والنعل جلد,0.2,ألف دولار
,0.1,ألف دولار
غيرها من مصنوعات اخرى من حديد او صلب,0.1,ألف دولار
سليب أو كيلوت من الياف صناعيه غير مصنره,0.1,ألف دولار
معاطف ومعاطف ذات قبعه وعبايات من صوف وبر ناعم للرجال والصبيه,0.1,ألف دولار
