Year,Month,Export Amount
2012,يناير,"4,182,923"
2012,فبراير,"3,038,951"
2012,مارس,"2,515,877"
2012,إبريل,"717,504"
2012,مايو,"2,325,299"
2012,يونيو,"2,000,263"
2012,يوليو,"3,006,360"
2012,أغسطس,"2,820,030"
2012,سبتمبر,"2,572,999"
2012,أكتوبر,"2,500,502"
2012,نوفمبر,"2,581,982"
2012,ديسمبر,"5,597,286"
2013,يناير,"1,640,581"
2013,فبراير,"1,873,052"
2013,مارس,"2,292,852"
2013,إبريل,"3,294,692"
2013,مايو,"1,523,258"
2013,يونيو,"3,773,838"
2013,يوليو,"1,015,787"
2013,أغسطس,"1,203,735"
2013,سبتمبر,"4,823,400"
2013,أكتوبر,"3,195,953"
2013,نوفمبر,"2,877,061"
2013,ديسمبر,"1,760,656"
2014,يناير,"3,357,933"
2014,فبراير,"2,933,099"
2014,مارس,"2,538,783"
2014,إبريل,"3,687,519"
2014,مايو,"3,328,689"
2014,يونيو,"1,992,790"
2014,يوليو,"3,867,690"
2014,أغسطس,"3,231,829"
2014,سبتمبر,"7,545,059"
2014,أكتوبر,"3,633,407"
2014,نوفمبر,"4,692,691"
2014,ديسمبر,"1,092,893"
2015,يناير,"2,093,925"
2015,فبراير,"1,357,634"
2015,مارس,"2,106,325"
2015,إبريل,"4,180,892"
2015,مايو,"3,512,783"
2015,يونيو,"2,136,839"
2015,يوليو,"626,957"
2015,أغسطس,"3,533,547"
2015,سبتمبر,"1,381,316"
2015,أكتوبر,"1,508,094"
2015,نوفمبر,"1,104,585"
2015,ديسمبر,"2,003,995"
2016,يناير,"987,733"
2016,فبراير,"1,487,510"
2016,مارس,"4,412,838"
2016,إبريل,"1,665,646"
2016,مايو,"2,409,674"
2016,يونيو,"2,693,544"
2016,يوليو,"920,239"
2016,أغسطس,"2,868,104"
2016,سبتمبر,"2,133,469"
2016,أكتوبر,"3,210,664"
2016,نوفمبر,"2,414,109"
2016,ديسمبر,"3,030,085"
2017,يناير,"5,970,608"
2017,فبراير,"695,536"
2017,مارس,"1,763,929"
2017,إبريل,"7,050,164"
2017,مايو,"2,806,682"
2017,يونيو,"4,287,918"
2017,يوليو,"973,718"
2017,أغسطس,"1,718,033"
2017,سبتمبر,"1,161,548"
2017,أكتوبر,"1,419,393"
2017,نوفمبر,"1,134,286"
2017,ديسمبر,"2,227,611"
2018,يناير,"1,471,842"
2018,فبراير,"1,288,054"
2018,مارس,"1,467,001"
2018,إبريل,"3,703,371"
2018,مايو,"2,587,111"
2018,يونيو,"1,410,624"
2018,يوليو,"4,913,119"
2018,أغسطس,"1,139,828"
2018,سبتمبر,"4,052,726"
2018,أكتوبر,"2,654,436"
2018,نوفمبر,"5,976,948"
2018,ديسمبر,"1,996,198"
2019,يناير,"2,027,299"
2019,فبراير,"860,135"
2019,مارس,"3,033,499"
2019,إبريل,"1,281,346"
2019,مايو,"4,907,502"
2019,يونيو,"2,953,754"
2019,يوليو,"3,056,632"
2019,أغسطس,"2,267,919"
2019,سبتمبر,"3,928,535"
2019,أكتوبر,"6,131,041"
2019,نوفمبر,"2,165,433"
2019,ديسمبر,"4,831,498"
2020,يناير,"5,005,249"
2020,فبراير,"3,523,580"
2020,مارس,"2,691,450"
2020,إبريل,"596,874"
2020,مايو,"1,673,496"
2020,يونيو,"1,987,005"
2020,يوليو,"3,182,475"
2020,أغسطس,"1,371,709"
2020,سبتمبر,"2,771,583"
2020,أكتوبر,"2,948,887"
2020,نوفمبر,"5,620,597"
2020,ديسمبر,"2,722,853"
2021,يناير,"5,331,569"
2021,فبراير,"4,837,133"
2021,مارس,"3,275,596"
2021,إبريل,"5,128,249"
2021,مايو,"6,298,101"
2021,يونيو,"7,803,135"
2021,يوليو,"2,353,831"
2021,أغسطس,"5,597,942"
2021,سبتمبر,"7,903,079"
2021,أكتوبر,"8,028,864"
2021,نوفمبر,"2,982,627"
2021,ديسمبر,"5,725,983"
2022,يناير,"4,641,684"
2022,فبراير,"12,910,345"
2022,مارس,0
2022,إبريل,0
2022,مايو,0
2022,يونيو,0
2022,يوليو,0
2022,أغسطس,0
2022,سبتمبر,0
2022,أكتوبر,0
2022,نوفمبر,0
2022,ديسمبر,0
