Item,Amount,Value
مكسبات طعم ورائحه,641.4,ألف دولار
سكر بنجر مكرر,168.5,ألف دولار
عصير خليط,97.7,ألف دولار
أكباد من أبقار أو جاموس طازجه أو مثلجه,78.4,ألف دولار
برتقال طازج أو مجفف,44.5,ألف دولار
مناديل ورقية (دون تحديد علب او جيب ),39.8,ألف دولار
بوليمرات أكليريك ? سيورنقل الحركه ? علب البلاستيك لشرائط الكاسيت,39.4,ألف دولار
ملح غير صالح للطعام و ملح طعام,36.8,ألف دولار
عجائن اخرى غير محتويه على بيض,35.0,ألف دولار
مصنوعات من جبس او من مكونات اساسها الجبس,20.0,ألف دولار
ديب فريزر رأسى او افقى اقل من 800 لتر,17.3,ألف دولار
انهدريت (كبريتات كالسيوم لامائى),9.1,ألف دولار
يوسفى طازج أو مجفف,2.9,ألف دولار
نباتات طبيه أخرى,2.5,ألف دولار
مضخات الخلخله الهوائيه,1.5,ألف دولار
البسه خارجيه للرجال والصبيه و جاكت أو بالطو من مواد نسجيه اخرى مصنره,0.1,ألف دولار
محضرات واصناف صيدليه اخر,0.1,ألف دولار
باروكه من شعر بشرى,0.1,ألف دولار
ملابس أخرى من أقمشه صناعيه رجالى,0.1,ألف دولار
