Year,Month,Export Amount
2012,يناير,"3,142,925"
2012,فبراير,"2,898,667"
2012,مارس,"329,647"
2012,إبريل,"1,331,313"
2012,مايو,"3,121,509"
2012,يونيو,"1,022,717"
2012,يوليو,"2,138,305"
2012,أغسطس,"1,233,687"
2012,سبتمبر,"3,172,273"
2012,أكتوبر,"1,153,800"
2012,نوفمبر,"1,949,526"
2012,ديسمبر,"4,323,299"
2013,يناير,"1,384,851"
2013,فبراير,"5,347,332"
2013,مارس,"6,511,050"
2013,إبريل,"815,922"
2013,مايو,"908,989"
2013,يونيو,"390,591"
2013,يوليو,"769,236"
2013,أغسطس,"1,623,753"
2013,سبتمبر,"454,046"
2013,أكتوبر,"848,139"
2013,نوفمبر,"3,924,424"
2013,ديسمبر,"8,698,690"
2014,يناير,"1,000,761"
2014,فبراير,"361,273"
2014,مارس,"1,602,860"
2014,إبريل,"816,871"
2014,مايو,"13,350,717"
2014,يونيو,"1,091,651"
2014,يوليو,"2,112,080"
2014,أغسطس,"2,129,456"
2014,سبتمبر,"4,272,608"
2014,أكتوبر,"5,486,385"
2014,نوفمبر,"1,216,518"
2014,ديسمبر,"3,099,439"
2015,يناير,"425,329"
2015,فبراير,"494,934"
2015,مارس,"2,771,248"
2015,إبريل,"619,417"
2015,مايو,"2,725,623"
2015,يونيو,"2,579,637"
2015,يوليو,"523,438"
2015,أغسطس,"3,292,497"
2015,سبتمبر,"363,032"
2015,أكتوبر,"302,789"
2015,نوفمبر,"1,537,495"
2015,ديسمبر,"458,191"
2016,يناير,"271,849"
2016,فبراير,"462,800"
2016,مارس,"719,701"
2016,إبريل,"890,941"
2016,مايو,"976,197"
2016,يونيو,"1,326,785"
2016,يوليو,"2,316,244"
2016,أغسطس,"2,397,752"
2016,سبتمبر,"1,077,086"
2016,أكتوبر,"708,690"
2016,نوفمبر,"170,119"
2016,ديسمبر,"308,022"
2017,يناير,"2,363,314"
2017,فبراير,0
2017,مارس,0
2017,إبريل,0
2017,مايو,0
2017,يونيو,0
2017,يوليو,0
2017,أغسطس,0
2017,سبتمبر,0
2017,أكتوبر,0
2017,نوفمبر,0
2017,ديسمبر,0
2018,يناير,"426,457"
2018,فبراير,"626,241"
2018,مارس,"1,028,757"
2018,إبريل,"1,690,691"
2018,مايو,"438,250"
2018,يونيو,"1,515,200"
2018,يوليو,"1,362,117"
2018,أغسطس,"516,787"
2018,سبتمبر,"519,067"
2018,أكتوبر,"1,344,714"
2018,نوفمبر,"1,168,228"
2018,ديسمبر,"1,166,689"
2019,يناير,"1,043,104"
2019,فبراير,"844,946"
2019,مارس,"2,172,735"
2019,إبريل,"144,922"
2019,مايو,"478,365"
2019,يونيو,"347,836"
2019,يوليو,"562,031"
2019,أغسطس,"379,700"
2019,سبتمبر,"28,470"
2019,أكتوبر,"47,387"
2019,نوفمبر,"141,223"
2019,ديسمبر,"185,410"
2020,يناير,"249,360"
2020,فبراير,"1,211,143"
2020,مارس,"153,475"
2020,إبريل,"990,965"
2020,مايو,"9,711"
2020,يونيو,"118,248"
2020,يوليو,"348,791"
2020,أغسطس,"138,291"
2020,سبتمبر,"590,267"
2020,أكتوبر,"359,418"
2020,نوفمبر,"192,326"
2020,ديسمبر,"38,556"
2021,يناير,"297,142"
2021,فبراير,"960,715"
2021,مارس,"1,310,142"
2021,إبريل,"1,680,976"
2021,مايو,"1,778,493"
2021,يونيو,"1,318,880"
2021,يوليو,"195,853"
2021,أغسطس,"633,114"
2021,سبتمبر,"869,850"
2021,أكتوبر,"1,348,753"
2021,نوفمبر,"267,053"
2021,ديسمبر,"221,309"
2022,يناير,"571,323"
2022,فبراير,"954,575"
2022,مارس,0
2022,إبريل,0
2022,مايو,0
2022,يونيو,0
2022,يوليو,0
2022,أغسطس,0
2022,سبتمبر,0
2022,أكتوبر,0
2022,نوفمبر,0
2022,ديسمبر,0
