Item,Amount,Value
مكسبات طعم ورائحه,479.3,ألف دولار
زيت عباد الشمس بصـفة عـامة,337.8,ألف دولار
سكر بنجر مكرر,281.4,ألف دولار
عصير خليط,149.9,ألف دولار
"الواح , افرخ , رقائق , شرائط ,شرائح,غير خلوية وغير مقواه بوليمييرات البروبيلين",102.5,ألف دولار
خليط من مكسبات الطعم و الرائحه,95.0,ألف دولار
غيرها من منشات واجزاوءها من حديد او صلب,60.0,ألف دولار
راتنجات الكيديه,59.6,ألف دولار
صابون فى شكل عيدان لاستعمالات غير الزينة مثل(صابون خام),41.9,ألف دولار
بيكربونات كالسيوم,25.3,ألف دولار
ديب فريزر رأسى او افقى اقل من 800 لتر,19.8,ألف دولار
برتقال طازج أو مجفف,16.6,ألف دولار
مواد مانعه للرغوه فى درجات الحراره العاليه,16.5,ألف دولار
آلات خلط المواد,4.5,ألف دولار
أحجار طبيعيه للمبانى مشقوقه,2.9,ألف دولار
الوان سطحيه بشكل عجينه فى وسط لامائى,2.5,ألف دولار
قضبان ?  زوايا و اشكال خاصه اخرى من المونيوم,1.5,ألف دولار
ملابس كهنه و قديمه,0.1,ألف دولار
