Year,Month,Export Amount
2012,يناير,"100,479"
2012,فبراير,"28,774"
2012,مارس,"2,282,628"
2012,إبريل,"708,297"
2012,مايو,"284,143"
2012,يونيو,"499,460"
2012,يوليو,"3,727,081"
2012,أغسطس,"1,601,423"
2012,سبتمبر,"212,668"
2012,أكتوبر,"4,755"
2012,نوفمبر,"738,536"
2012,ديسمبر,"2,598,788"
2013,يناير,"1,911,328"
2013,فبراير,"3,678,530"
2013,مارس,"325,611"
2013,إبريل,"3,552,975"
2013,مايو,"522,718"
2013,يونيو,"974,248"
2013,يوليو,"3,285,940"
2013,أغسطس,"1,040,253"
2013,سبتمبر,"2,330,090"
2013,أكتوبر,"2,927,535"
2013,نوفمبر,"129,084"
2013,ديسمبر,"6,954,949"
2014,يناير,"3,726,912"
2014,فبراير,"1,173,545"
2014,مارس,"1,452,311"
2014,إبريل,"2,010,931"
2014,مايو,"15,557,025"
2014,يونيو,"2,168,945"
2014,يوليو,"1,599,143"
2014,أغسطس,"282,680"
2014,سبتمبر,"1,025,551"
2014,أكتوبر,"446,922"
2014,نوفمبر,"1,055,600"
2014,ديسمبر,"2,031,917"
2015,يناير,"762,260"
2015,فبراير,"1,369,197"
2015,مارس,"2,877,192"
2015,إبريل,"3,135,709"
2015,مايو,"1,344"
2015,يونيو,"251,520"
2015,يوليو,"1,440,502"
2015,أغسطس,"2,120,031"
2015,سبتمبر,"1,054,013"
2015,أكتوبر,"1,538,156"
2015,نوفمبر,"2,867,229"
2015,ديسمبر,"1,713,920"
2016,يناير,"1,437,653"
2016,فبراير,"1,743,206"
2016,مارس,"41,324"
2016,إبريل,"2,328,768"
2016,مايو,"2,022,507"
2016,يونيو,"2,924,532"
2016,يوليو,"163,963"
2016,أغسطس,"864,328"
2016,سبتمبر,"520,018"
2016,أكتوبر,"942,070"
2016,نوفمبر,"3,305,577"
2016,ديسمبر,"1,040,225"
2017,يناير,"3,329,950"
2017,فبراير,"1,425,975"
2017,مارس,"1,513,504"
2017,إبريل,"2,128,835"
2017,مايو,"6,284,250"
2017,يونيو,"4,151,897"
2017,يوليو,"1,463,572"
2017,أغسطس,"2,261,630"
2017,سبتمبر,"2,495,355"
2017,أكتوبر,"2,578,304"
2017,نوفمبر,"14,725,846"
2017,ديسمبر,"2,131,084"
2018,يناير,"488,952"
2018,فبراير,"1,210,934"
2018,مارس,"215,029"
2018,إبريل,"554,079"
2018,مايو,"939,360"
2018,يونيو,"514,126"
2018,يوليو,"198,468"
2018,أغسطس,"417,512"
2018,سبتمبر,"1,424,793"
2018,أكتوبر,"2,311,993"
2018,نوفمبر,"728,361"
2018,ديسمبر,"1,104,288"
2019,يناير,"499,244"
2019,فبراير,"763,370"
2019,مارس,"909,871"
2019,إبريل,"2,333,200"
2019,مايو,"1,620,084"
2019,يونيو,"1,441,429"
2019,يوليو,"1,325,955"
2019,أغسطس,"1,146,777"
2019,سبتمبر,"2,562,066"
2019,أكتوبر,"867,276"
2019,نوفمبر,"583,420"
2019,ديسمبر,"703,736"
2020,يناير,"627,177"
2020,فبراير,"685,195"
2020,مارس,"614,063"
2020,إبريل,"477,023"
2020,مايو,"212,952"
2020,يونيو,"1,717,868"
2020,يوليو,"2,831,142"
2020,أغسطس,"1,222,269"
2020,سبتمبر,"963,743"
2020,أكتوبر,"1,380,813"
2020,نوفمبر,"1,146,367"
2020,ديسمبر,"1,459,598"
2021,يناير,"1,166,231"
2021,فبراير,"1,006,062"
2021,مارس,"2,264,294"
2021,إبريل,"1,092,154"
2021,مايو,"421,681"
2021,يونيو,"889,937"
2021,يوليو,"1,634,341"
2021,أغسطس,"1,241,574"
2021,سبتمبر,"952,330"
2021,أكتوبر,"1,288,730"
2021,نوفمبر,"472,405"
2021,ديسمبر,"1,569,160"
2022,يناير,"1,254,474"
2022,فبراير,"1,930,412"
2022,مارس,0
2022,إبريل,0
2022,مايو,0
2022,يونيو,0
2022,يوليو,0
2022,أغسطس,0
2022,سبتمبر,0
2022,أكتوبر,0
2022,نوفمبر,0
2022,ديسمبر,0
