Item,Amount,Value
اصناف من الورق المعد للاغراض الصحية بضلع يتجاوز 36 سم فى حالة غير مطويه/بكر,383.2,ألف دولار
سماد كبريتات البوتاسيوم فى عبوات أكثر من 10 كج,339.8,ألف دولار
بوليمرات أكليريك ? سيورنقل الحركه ? علب البلاستيك لشرائط الكاسيت,247.3,ألف دولار
أحجار طبيعيه للمبانى مصقوله,217.2,ألف دولار
بيكربونات كالسيوم,172.3,ألف دولار
نباتات طبيه أخرى,171.8,ألف دولار
سجاد وغيره من اغطية الارضيات النسجية من حرير أو قطن أو ألياف صناعيه عقدى,161.7,ألف دولار
أحجار طبيعيه للمبانى مشقوقه,128.9,ألف دولار
غواسل عضوية بحالة ايونات سالبة,94.4,ألف دولار
زجاج مسطح عادى سادة غير مسلح,78.9,ألف دولار
قماش الدنيم أو الجينز,40.4,ألف دولار
ضمادات لاصقة واصناف اخرى ذات طبقة لاصقة,15.4,ألف دولار
بنطلون رجالى من الياف نسجيه أخرى غير مصنره,6.4,ألف دولار
بنطلون رجالى من الياف صناعيه غير مصنره,5.0,ألف دولار
غيرها من مصنوعات اخرى من حديد او صلب,3.3,ألف دولار
