Year,Month,Export Amount
2012,يناير,"353,895"
2012,فبراير,"447,624"
2012,مارس,"721,652"
2012,إبريل,"421,804"
2012,مايو,"543,553"
2012,يونيو,"360,439"
2012,يوليو,"722,356"
2012,أغسطس,"1,544,052"
2012,سبتمبر,"1,162,679"
2012,أكتوبر,"896,023"
2012,نوفمبر,"820,607"
2012,ديسمبر,"1,138,572"
2013,يناير,"722,419"
2013,فبراير,"1,099,184"
2013,مارس,"611,473"
2013,إبريل,"11,571,510"
2013,مايو,"546,080"
2013,يونيو,"704,713"
2013,يوليو,"252,211"
2013,أغسطس,"343,871"
2013,سبتمبر,"615,103"
2013,أكتوبر,"559,281"
2013,نوفمبر,"263,235"
2013,ديسمبر,"531,189"
2014,يناير,"326,142"
2014,فبراير,"689,085"
2014,مارس,"704,503"
2014,إبريل,"582,149"
2014,مايو,"789,723"
2014,يونيو,"381,223"
2014,يوليو,"770,047"
2014,أغسطس,"462,175"
2014,سبتمبر,"1,607,648"
2014,أكتوبر,"475,681"
2014,نوفمبر,"874,058"
2014,ديسمبر,"671,088"
2015,يناير,"516,159"
2015,فبراير,"1,073,535"
2015,مارس,"566,738"
2015,إبريل,"319,755"
2015,مايو,"927,741"
2015,يونيو,"1,100,786"
2015,يوليو,"458,524"
2015,أغسطس,"529,281"
2015,سبتمبر,"356,373"
2015,أكتوبر,"310,883"
2015,نوفمبر,"641,332"
2015,ديسمبر,"558,280"
2016,يناير,"418,449"
2016,فبراير,"915,654"
2016,مارس,"362,251"
2016,إبريل,"744,965"
2016,مايو,"611,942"
2016,يونيو,"659,884"
2016,يوليو,"454,354"
2016,أغسطس,"622,854"
2016,سبتمبر,"516,203"
2016,أكتوبر,"562,865"
2016,نوفمبر,"943,274"
2016,ديسمبر,"442,642"
2017,يناير,"1,950,280"
2017,فبراير,"605,668"
2017,مارس,"578,769"
2017,إبريل,"833,708"
2017,مايو,"465,457"
2017,يونيو,"1,245,568"
2017,يوليو,"1,226,033"
2017,أغسطس,"2,612,895"
2017,سبتمبر,"443,563"
2017,أكتوبر,"959,115"
2017,نوفمبر,"672,298"
2017,ديسمبر,"711,384"
2018,يناير,"619,404"
2018,فبراير,"427,084"
2018,مارس,"1,408,537"
2018,إبريل,"676,774"
2018,مايو,"606,444"
2018,يونيو,"348,560"
2018,يوليو,"990,504"
2018,أغسطس,"1,175,843"
2018,سبتمبر,"504,870"
2018,أكتوبر,"355,352"
2018,نوفمبر,"490,385"
2018,ديسمبر,"691,481"
2019,يناير,"328,878"
2019,فبراير,"564,640"
2019,مارس,"324,491"
2019,إبريل,"864,148"
2019,مايو,"294,536"
2019,يونيو,"566,791"
2019,يوليو,"1,068,866"
2019,أغسطس,"340,825"
2019,سبتمبر,"424,610"
2019,أكتوبر,"584,798"
2019,نوفمبر,"800,072"
2019,ديسمبر,"1,081,036"
2020,يناير,"295,374"
2020,فبراير,"379,579"
2020,مارس,"753,687"
2020,إبريل,"158,651"
2020,مايو,"201,383"
2020,يونيو,"488,558"
2020,يوليو,"644,291"
2020,أغسطس,"491,327"
2020,سبتمبر,"1,285,302"
2020,أكتوبر,"1,061,559"
2020,نوفمبر,"1,000,404"
2020,ديسمبر,"1,508,519"
2021,يناير,"2,548,560"
2021,فبراير,"815,701"
2021,مارس,"1,275,316"
2021,إبريل,"1,339,601"
2021,مايو,"1,593,547"
2021,يونيو,"769,996"
2021,يوليو,"1,008,788"
2021,أغسطس,"901,179"
2021,سبتمبر,"1,313,231"
2021,أكتوبر,"951,635"
2021,نوفمبر,"427,298"
2021,ديسمبر,"2,136,794"
2022,يناير,"933,501"
2022,فبراير,"1,132,338"
2022,مارس,0
2022,إبريل,0
2022,مايو,0
2022,يونيو,0
2022,يوليو,0
2022,أغسطس,0
2022,سبتمبر,0
2022,أكتوبر,0
2022,نوفمبر,0
2022,ديسمبر,0
