Year,Month,Export Amount
2012,يناير,"61,966"
2012,فبراير,"20,449"
2012,مارس,"67,210"
2012,إبريل,"9,645"
2012,مايو,"46,768"
2012,يونيو,0
2012,يوليو,"20,759"
2012,أغسطس,0
2012,سبتمبر,"3,000"
2012,أكتوبر,"20,610"
2012,نوفمبر,0
2012,ديسمبر,50
2013,يناير,"26,493"
2013,فبراير,400
2013,مارس,"20,235"
2013,إبريل,"24,399"
2013,مايو,0
2013,يونيو,500
2013,يوليو,0
2013,أغسطس,0
2013,سبتمبر,"15,272"
2013,أكتوبر,0
2013,نوفمبر,"77,065"
2013,ديسمبر,"27,376"
2014,يناير,0
2014,فبراير,"51,520"
2014,مارس,"71,864"
2014,إبريل,"23,813"
2014,مايو,"10,044"
2014,يونيو,"64,127"
2014,يوليو,"120,960"
2014,أغسطس,0
2014,سبتمبر,"154,480"
2014,أكتوبر,"153,502"
2014,نوفمبر,"176,448"
2014,ديسمبر,"25,990"
2015,يناير,"150,062"
2015,فبراير,"75,620"
2015,مارس,"13,200"
2015,إبريل,"221,565"
2015,مايو,"8,338"
2015,يونيو,"17,200"
2015,يوليو,"36,451"
2015,أغسطس,0
2015,سبتمبر,"11,200"
2015,أكتوبر,"97,980"
2015,نوفمبر,"42,460"
2015,ديسمبر,"45,600"
2016,يناير,"175,070"
2016,فبراير,"97,042"
2016,مارس,"227,543"
2016,إبريل,"163,970"
2016,مايو,"44,085"
2016,يونيو,"27,502"
2016,يوليو,"148,420"
2016,أغسطس,0
2016,سبتمبر,"56,524"
2016,أكتوبر,"33,808"
2016,نوفمبر,"23,924"
2016,ديسمبر,"2,652"
2017,يناير,"422,094"
2017,فبراير,0
2017,مارس,"133,723"
2017,إبريل,"87,943"
2017,مايو,"116,848"
2017,يونيو,"14,337"
2017,يوليو,"218,006"
2017,أغسطس,"52,481"
2017,سبتمبر,"51,748"
2017,أكتوبر,"116,037"
2017,نوفمبر,"292,579"
2017,ديسمبر,"51,267"
2018,يناير,"157,188"
2018,فبراير,"84,187"
2018,مارس,"108,165"
2018,إبريل,"118,072"
2018,مايو,"165,519"
2018,يونيو,"56,264"
2018,يوليو,"32,975"
2018,أغسطس,"24,939"
2018,سبتمبر,"81,389"
2018,أكتوبر,"59,056"
2018,نوفمبر,"159,990"
2018,ديسمبر,"272,031"
2019,يناير,"98,809"
2019,فبراير,"175,388"
2019,مارس,"141,274"
2019,إبريل,"303,856"
2019,مايو,"155,658"
2019,يونيو,"81,911"
2019,يوليو,"151,365"
2019,أغسطس,"116,215"
2019,سبتمبر,"52,761"
2019,أكتوبر,"161,086"
2019,نوفمبر,"149,675"
2019,ديسمبر,"65,185"
2020,يناير,"160,575"
2020,فبراير,"123,226"
2020,مارس,"277,472"
2020,إبريل,"187,326"
2020,مايو,"6,750"
2020,يونيو,"163,761"
2020,يوليو,"195,225"
2020,أغسطس,"69,713"
2020,سبتمبر,"115,006"
2020,أكتوبر,"31,507"
2020,نوفمبر,"146,276"
2020,ديسمبر,"123,081"
2021,يناير,"144,058"
2021,فبراير,"57,018"
2021,مارس,"205,232"
2021,إبريل,"162,728"
2021,مايو,"56,320"
2021,يونيو,"127,113"
2021,يوليو,"86,700"
2021,أغسطس,"152,499"
2021,سبتمبر,"468,090"
2021,أكتوبر,"123,769"
2021,نوفمبر,"147,359"
2021,ديسمبر,"234,746"
2022,يناير,"75,867"
2022,فبراير,"262,205"
2022,مارس,0
2022,إبريل,0
2022,مايو,0
2022,يونيو,0
2022,يوليو,0
2022,أغسطس,0
2022,سبتمبر,0
2022,أكتوبر,0
2022,نوفمبر,0
2022,ديسمبر,0
