Year,Month,Export Amount
2012,يناير,"164,324"
2012,فبراير,"106,999"
2012,مارس,0
2012,إبريل,"198,610"
2012,مايو,"146,943"
2012,يونيو,"66,101"
2012,يوليو,"295,977"
2012,أغسطس,0
2012,سبتمبر,"150,173"
2012,أكتوبر,0
2012,نوفمبر,"16,800"
2012,ديسمبر,"93,786"
2013,يناير,"12,589"
2013,فبراير,"15,860"
2013,مارس,"173,321"
2013,إبريل,"185,839"
2013,مايو,"218,876"
2013,يونيو,"108,484"
2013,يوليو,"97,842"
2013,أغسطس,"7,016"
2013,سبتمبر,"30,853"
2013,أكتوبر,"36,979"
2013,نوفمبر,"113,904"
2013,ديسمبر,"78,400"
2014,يناير,"41,250"
2014,فبراير,"218,498"
2014,مارس,"63,502"
2014,إبريل,"216,553"
2014,مايو,"40,790"
2014,يونيو,"250,017"
2014,يوليو,"89,879"
2014,أغسطس,"180,932"
2014,سبتمبر,0
2014,أكتوبر,"291,494"
2014,نوفمبر,"138,336"
2014,ديسمبر,"169,018"
2015,يناير,"115,159"
2015,فبراير,"280,075"
2015,مارس,"93,770"
2015,إبريل,"198,285"
2015,مايو,"60,748"
2015,يونيو,"4,663"
2015,يوليو,"130,598"
2015,أغسطس,"158,889"
2015,سبتمبر,"40,451"
2015,أكتوبر,"220,573"
2015,نوفمبر,"43,164"
2015,ديسمبر,"266,116"
2016,يناير,"55,673"
2016,فبراير,"238,845"
2016,مارس,"90,750"
2016,إبريل,"166,803"
2016,مايو,"95,256"
2016,يونيو,"238,218"
2016,يوليو,0
2016,أغسطس,"201,357"
2016,سبتمبر,"87,900"
2016,أكتوبر,"161,003"
2016,نوفمبر,"75,049"
2016,ديسمبر,"205,445"
2017,يناير,"318,457"
2017,فبراير,"169,446"
2017,مارس,"34,868"
2017,إبريل,"204,080"
2017,مايو,"133,363"
2017,يونيو,"67,530"
2017,يوليو,"24,797"
2017,أغسطس,"180,227"
2017,سبتمبر,"27,616"
2017,أكتوبر,"124,735"
2017,نوفمبر,"207,677"
2017,ديسمبر,"27,750"
2018,يناير,"188,292"
2018,فبراير,"23,250"
2018,مارس,"62,549"
2018,إبريل,"159,538"
2018,مايو,"192,017"
2018,يونيو,"301,450"
2018,يوليو,0
2018,أغسطس,"38,706"
2018,سبتمبر,"48,720"
2018,أكتوبر,"68,929"
2018,نوفمبر,"49,440"
2018,ديسمبر,"270,398"
2019,يناير,"186,776"
2019,فبراير,"211,075"
2019,مارس,"13,623"
2019,إبريل,"209,515"
2019,مايو,"152,578"
2019,يونيو,"52,469"
2019,يوليو,"100,161"
2019,أغسطس,"215,659"
2019,سبتمبر,"28,461"
2019,أكتوبر,"100,788"
2019,نوفمبر,"215,048"
2019,ديسمبر,"79,868"
2020,يناير,"169,356"
2020,فبراير,"62,887"
2020,مارس,"66,360"
2020,إبريل,0
2020,مايو,"12,637"
2020,يونيو,"85,991"
2020,يوليو,"89,840"
2020,أغسطس,"219,901"
2020,سبتمبر,"248,670"
2020,أكتوبر,"102,149"
2020,نوفمبر,"34,440"
2020,ديسمبر,"245,640"
2021,يناير,"22,050"
2021,فبراير,"163,975"
2021,مارس,"37,966"
2021,إبريل,"193,810"
2021,مايو,"97,703"
2021,يونيو,"182,783"
2021,يوليو,"82,294"
2021,أغسطس,"132,560"
2021,سبتمبر,"217,907"
2021,أكتوبر,"228,531"
2021,نوفمبر,"147,672"
2021,ديسمبر,"353,374"
2022,يناير,"186,911"
2022,فبراير,"97,197"
2022,مارس,0
2022,إبريل,0
2022,مايو,0
2022,يونيو,0
2022,يوليو,0
2022,أغسطس,0
2022,سبتمبر,0
2022,أكتوبر,0
2022,نوفمبر,0
2022,ديسمبر,0
