Item,Amount,Value
اسلاك حديدية فى لفائف مغلفة او مطلية بالزنك,555.0,ألف دولار
سماد كبريتات البوتاسيوم فى عبوات أكثر من 10 كج,552.2,ألف دولار
اسلاك حديدية فى لفائف غير مغلفة او مطلية او مصقولة,468.5,ألف دولار
اسلاك مجدوله وحبال وكابلات من حديد او صلب غير معزوله كهربائيا,381.9,ألف دولار
نشا ذره,194.6,ألف دولار
إسطوانات و أقراص للمصانع مصبوبه من حديد او صلب,70.5,ألف دولار
ضمادات لاصقة واصناف اخرى ذات طبقة لاصقة,69.0,ألف دولار
اسمنت فوندو ..... الخ,63.8,ألف دولار
غيرها من الادوات والاجهزة المستخدمة فى الطب او الجراحة او لطب الاسنان  او للطب البيطرى,60.0,ألف دولار
,52.1,ألف دولار
بوليستر  متنوع,46.6,ألف دولار
أحجار طبيعيه للمبانى مصقوله,34.1,ألف دولار
