Year,Month,Export Amount
2012,يناير,"90,043"
2012,فبراير,"38,162"
2012,مارس,"47,891"
2012,إبريل,"133,522"
2012,مايو,"8,677"
2012,يونيو,"12,979"
2012,يوليو,"42,428"
2012,أغسطس,"37,351"
2012,سبتمبر,"99,643"
2012,أكتوبر,"56,350"
2012,نوفمبر,"5,600"
2012,ديسمبر,"57,254"
2013,يناير,"4,235,749"
2013,فبراير,0
2013,مارس,"25,104"
2013,إبريل,"4,989,198"
2013,مايو,"47,813"
2013,يونيو,"59,982"
2013,يوليو,"107,950"
2013,أغسطس,"63,526"
2013,سبتمبر,"19,373"
2013,أكتوبر,"103,017"
2013,نوفمبر,"7,700"
2013,ديسمبر,"43,289"
2014,يناير,"68,254"
2014,فبراير,"97,834"
2014,مارس,"101,154"
2014,إبريل,"128,099"
2014,مايو,"130,841"
2014,يونيو,"106,225"
2014,يوليو,"90,229"
2014,أغسطس,"76,952"
2014,سبتمبر,"62,223"
2014,أكتوبر,"115,232"
2014,نوفمبر,"136,238"
2014,ديسمبر,"187,454"
2015,يناير,"61,371"
2015,فبراير,"65,257"
2015,مارس,"142,131"
2015,إبريل,"169,972"
2015,مايو,"126,523"
2015,يونيو,"79,067"
2015,يوليو,"82,354"
2015,أغسطس,"133,031"
2015,سبتمبر,"167,471"
2015,أكتوبر,"52,590"
2015,نوفمبر,"105,548"
2015,ديسمبر,"60,727"
2016,يناير,"100,289"
2016,فبراير,"114,612"
2016,مارس,"112,277"
2016,إبريل,"124,015"
2016,مايو,"121,306"
2016,يونيو,"111,337"
2016,يوليو,"91,294"
2016,أغسطس,"61,060"
2016,سبتمبر,"157,914"
2016,أكتوبر,"73,371"
2016,نوفمبر,"25,405"
2016,ديسمبر,"60,139"
2017,يناير,"354,469"
2017,فبراير,"26,349"
2017,مارس,"83,118"
2017,إبريل,"72,016"
2017,مايو,"300,784"
2017,يونيو,"330,527"
2017,يوليو,"84,246"
2017,أغسطس,"82,790"
2017,سبتمبر,"62,399"
2017,أكتوبر,"141,778"
2017,نوفمبر,"132,909"
2017,ديسمبر,"207,521"
2018,يناير,"56,825"
2018,فبراير,"75,116"
2018,مارس,"158,951"
2018,إبريل,"42,732"
2018,مايو,"128,881"
2018,يونيو,"178,443"
2018,يوليو,"180,191"
2018,أغسطس,"150,653"
2018,سبتمبر,"139,635"
2018,أكتوبر,"158,159"
2018,نوفمبر,"38,478"
2018,ديسمبر,"254,023"
2019,يناير,"104,229"
2019,فبراير,"48,671"
2019,مارس,"163,289"
2019,إبريل,"96,473"
2019,مايو,"106,299"
2019,يونيو,"120,588"
2019,يوليو,"118,895"
2019,أغسطس,"105,736"
2019,سبتمبر,"108,785"
2019,أكتوبر,"58,111"
2019,نوفمبر,"60,891"
2019,ديسمبر,"55,017"
2020,يناير,"10,977"
2020,فبراير,"125,973"
2020,مارس,"122,523"
2020,إبريل,"15,193"
2020,مايو,"119,098"
2020,يونيو,"83,658"
2020,يوليو,"149,846"
2020,أغسطس,0
2020,سبتمبر,"213,006"
2020,أكتوبر,"149,027"
2020,نوفمبر,"64,055"
2020,ديسمبر,"203,917"
2021,يناير,"111,772"
2021,فبراير,"296,780"
2021,مارس,"337,215"
2021,إبريل,"170,456"
2021,مايو,"360,316"
2021,يونيو,"609,795"
2021,يوليو,"1,058,800"
2021,أغسطس,"563,402"
2021,سبتمبر,"102,302"
2021,أكتوبر,"779,090"
2021,نوفمبر,"81,370"
2021,ديسمبر,"1,736,951"
2022,يناير,"1,605,366"
2022,فبراير,"942,968"
2022,مارس,0
2022,إبريل,0
2022,مايو,0
2022,يونيو,0
2022,يوليو,0
2022,أغسطس,0
2022,سبتمبر,0
2022,أكتوبر,0
2022,نوفمبر,0
2022,ديسمبر,0
