Year,Month,Export Amount
2012,يناير,0
2012,فبراير,"25,992"
2012,مارس,"85,284"
2012,إبريل,"32,910"
2012,مايو,"61,045"
2012,يونيو,"50,594"
2012,يوليو,"124,404"
2012,أغسطس,"90,698"
2012,سبتمبر,"142,523"
2012,أكتوبر,"13,402"
2012,نوفمبر,0
2012,ديسمبر,"74,830"
2013,يناير,"58,411"
2013,فبراير,"73,442"
2013,مارس,0
2013,إبريل,"39,653"
2013,مايو,0
2013,يونيو,"38,130"
2013,يوليو,0
2013,أغسطس,"28,844"
2013,سبتمبر,0
2013,أكتوبر,"16,870"
2013,نوفمبر,"16,870"
2013,ديسمبر,"59,996"
2014,يناير,0
2014,فبراير,"96,153"
2014,مارس,0
2014,إبريل,"13,690"
2014,مايو,"229,100"
2014,يونيو,0
2014,يوليو,"114,509"
2014,أغسطس,"130,639"
2014,سبتمبر,"157,105"
2014,أكتوبر,"16,158"
2014,نوفمبر,0
2014,ديسمبر,"114,509"
2015,يناير,0
2015,فبراير,0
2015,مارس,"5,601"
2015,إبريل,"40,100"
2015,مايو,0
2015,يونيو,0
2015,يوليو,"77,360"
2015,أغسطس,0
2015,سبتمبر,0
2015,أكتوبر,0
2015,نوفمبر,0
2015,ديسمبر,"238,443"
2016,يناير,0
2016,فبراير,"67,267"
2016,مارس,"26,365"
2016,إبريل,0
2016,مايو,"26,365"
2016,يونيو,"52,730"
2016,يوليو,0
2016,أغسطس,0
2016,سبتمبر,0
2016,أكتوبر,0
2016,نوفمبر,0
2016,ديسمبر,"29,324"
2017,يناير,"599,465"
2017,فبراير,0
2017,مارس,0
2017,إبريل,0
2017,مايو,"57,261"
2017,يونيو,"25,568"
2017,يوليو,"43,532"
2017,أغسطس,28
2017,سبتمبر,"145,906"
2017,أكتوبر,"97,244"
2017,نوفمبر,"36,234"
2017,ديسمبر,0
2018,يناير,"182,392"
2018,فبراير,"1,080,537"
2018,مارس,"981,350"
2018,إبريل,"38,959"
2018,مايو,"4,835,627"
2018,يونيو,"125,433"
2018,يوليو,0
2018,أغسطس,"1,256,410"
2018,سبتمبر,"69,656"
2018,أكتوبر,"102,935"
2018,نوفمبر,0
2018,ديسمبر,"75,635"
2019,يناير,"33,830"
2019,فبراير,0
2019,مارس,"62,058"
2019,إبريل,0
2019,مايو,"1,276,282"
2019,يونيو,"2,363,965"
2019,يوليو,"64,361"
2019,أغسطس,"40,000"
2019,سبتمبر,0
2019,أكتوبر,"95,995"
2019,نوفمبر,"2,163,528"
2019,ديسمبر,"473,827"
2020,يناير,0
2020,فبراير,"2,158"
2020,مارس,0
2020,إبريل,"40,000"
2020,مايو,0
2020,يونيو,"40,000"
2020,يوليو,0
2020,أغسطس,"6,659"
2020,سبتمبر,"319,200"
2020,أكتوبر,"454,520"
2020,نوفمبر,"492,960"
2020,ديسمبر,"2,077,641"
2021,يناير,0
2021,فبراير,"4,395,600"
2021,مارس,0
2021,إبريل,"59,620"
2021,مايو,"2,581,940"
2021,يونيو,"4,097,705"
2021,يوليو,"1,026,709"
2021,أغسطس,"409,320"
2021,سبتمبر,"715,866"
2021,أكتوبر,"931,256"
2021,نوفمبر,"122,400"
2021,ديسمبر,"11,790"
2022,يناير,"761,888"
2022,فبراير,"162,643"
2022,مارس,0
2022,إبريل,0
2022,مايو,0
2022,يونيو,0
2022,يوليو,0
2022,أغسطس,0
2022,سبتمبر,0
2022,أكتوبر,0
2022,نوفمبر,0
2022,ديسمبر,0
