Item,Amount,Value
ورق صحى( تواليت) بكر/ تشيو بكر / ورق خفيف,1.8,مليون دولار
ألواح حديد زنك مسحوبه على الساخن فى رولات بعرض أكبر من 600 مم أخرى,932.1,ألف دولار
اصناف من الورق المعد للاغراض الصحية بضلع يتجاوز 36 سم فى حالة غير مطويه/بكر,619.8,ألف دولار
ألواح حديد مغلفه مسحوبه على الساخن فى رولات بعرض أكبر من 600 مم أخرى,450.9,ألف دولار
كابلات كوكشال نحاسية ضغط عالى ومنخفض ومتوسط دون تحديد لخامه التغليف او الضغوط,236.9,ألف دولار
بولى اثيلين ذات ثقل نوعى 94ر او يزيد,236.5,ألف دولار
موصلات كهربيه لا تزيد عن 80 فولت,229.5,ألف دولار
اجولة واكياس من بولياثلين او بوليبروبلين,137.6,ألف دولار
فواكه وثمار اخرى ذات قشره صلبه فى محلول سكرى,102.9,ألف دولار
بودره بولي فنيل كلوريد  P.V.S,84.5,ألف دولار
أحجار طبيعيه للمبانى مصقوله,81.9,ألف دولار
أدوات المائدة و المطبخ  من أنواع البلاستيك الأخرى,66.8,ألف دولار
قضبان ?  زوايا و اشكال خاصه اخرى من المونيوم,64.7,ألف دولار
نشاره الخشب,56.3,ألف دولار
اسلاك حديدية فى لفائف غير مغلفة او مطلية او مصقولة,54.9,ألف دولار
أخشاب للوقود,52.9,ألف دولار
"الواح , افرخ , رقائق , شرائط ,شرائح,غير خلوية وغير مقواه بوليمييرات البروبيلين",52.7,ألف دولار
شبك ممدد من   الصاج,52.3,ألف دولار
حقائب و شنط من أنواع البلاستيك الأخرى,50.8,ألف دولار
ملح غير صالح للطعام و ملح طعام,50.6,ألف دولار
ألواح حديد مغلفه بالزنك مسحوبه على الساخن فى رولات بعرض أقل من 600 أخرى,43.1,ألف دولار
خميره جافه نشطه,43.0,ألف دولار
بولى اثيلين ذات ثقل نوعى 94ر او يزيد,37.7,ألف دولار
منظفات صناعية سائلة للمراحيض والاحواض والبالوعات(للاستخدام المنزلى),33.8,ألف دولار
علب كرتون من كرافت/علب كرتون من كرافت وفلوتنج معا,33.6,ألف دولار
اعلاف حيوانيه غير تقليديه,32.7,ألف دولار
غيرها من منشات واجزاوءها من حديد او صلب,32.7,ألف دولار
طفــله بدون تحديــد (طينات اخرى),22.9,ألف دولار
الواح/افرخ/رقائق/شرائط/شرائح/اشكال مسطحه من البوليستر,22.2,ألف دولار
أمصال إنسانيه,22.0,ألف دولار
استيك مشرب او مغطى او مغلف من الياف صناعية اكثر من 25 جم,21.4,ألف دولار
يوسفى طازج أو مجفف,20.0,ألف دولار
خضروات اخرى مجمده,19.8,ألف دولار
فرش كنس,19.6,ألف دولار
حمامات و بانيوهات و أحواض من البلاستيك,19.5,ألف دولار
موزايكو),18.4,ألف دولار
اصناف مماثله غيرمزخرفه اساسها الجبس,17.3,ألف دولار
أحجار طبيعيه للمبانى مشقوقه,16.8,ألف دولار
ضمادات لاصقة واصناف اخرى ذات طبقة لاصقة,16.3,ألف دولار
أحجار الألومينيوم أو خفاف,16.2,ألف دولار
خلاصات او ارواح او مركزات من بن او على اساس من البن,15.8,ألف دولار
صناديق و حاويات من البلاستيك,15.8,ألف دولار
منتجات ورقيه أخرى,15.6,ألف دولار
طرشى),15.4,ألف دولار
ورنيشات قاعدتها P.V.A,15.2,ألف دولار
ورق وورق مقوى للترشيح,14.0,ألف دولار
زجاج مسطح عادى سادة غير مسلح,14.0,ألف دولار
عربات أطفال و زجاجات برطمانات من أنواع البلاستيك الأخرى,13.9,ألف دولار
ومحافظ من ورق وورق مقوى غير مضلع قابله للطى,13.5,ألف دولار
رمال السيليس (السيليكا) ورمال الكوارتز,10.1,ألف دولار
كلوريدات معادن مختلفه,10.1,ألف دولار
أغطية الزجاجات و مغاليق من أنواع البلاستيك الأخرى,8.9,ألف دولار
,8.9,ألف دولار
خيار و قثاء مخخله,6.9,ألف دولار
بسكويت صيدلى,6.0,ألف دولار
زلط متوسط,5.5,ألف دولار
الرمال الطبيعيه ?  كوارتزيت,5.4,ألف دولار
غيرها من مشغولات السلال ومجدولات اصناف من لوف,4.5,ألف دولار
بذور زيتيه أخرى,4.3,ألف دولار
فوليه),4.3,ألف دولار
بطاطس غير مجمده محفوظه اومعلبه,4.1,ألف دولار
فوط سفرة / بياضات من الياف نسجيه أخرى,3.6,ألف دولار
بما فى ذلك الفحم الحيوانى الخام,3.5,ألف دولار
خشب مطعم  ومرصع و كل أعمال الماركيترى,2.4,ألف دولار
بطاطا طازجه أو مجففه,1.6,ألف دولار
صلصه كتش اب و صلصه حريفه (هوت صوص),1.2,ألف دولار
مواسير و أنابيب من الحديد للتقاطعات ملحومه طوليا,0.6,ألف دولار
غيرها من المربى,0.4,ألف دولار
