Year,Month,Export Amount
2012,يناير,"2,062,424"
2012,فبراير,"2,085,848"
2012,مارس,"3,332,508"
2012,إبريل,"3,223,974"
2012,مايو,"23,343,541"
2012,يونيو,"20,137,232"
2012,يوليو,"41,529,612"
2012,أغسطس,"24,115,769"
2012,سبتمبر,"24,804,182"
2012,أكتوبر,"2,280,627"
2012,نوفمبر,"47,872,484"
2012,ديسمبر,"23,255,935"
2013,يناير,"42,491,610"
2013,فبراير,"68,447,496"
2013,مارس,"1,952,863"
2013,إبريل,"42,069,935"
2013,مايو,"1,947,977"
2013,يونيو,"2,457,334"
2013,يوليو,"2,042,466"
2013,أغسطس,"1,743,166"
2013,سبتمبر,"1,993,676"
2013,أكتوبر,"1,840,085"
2013,نوفمبر,"22,603,479"
2013,ديسمبر,"3,188,677"
2014,يناير,"1,369,756"
2014,فبراير,"1,907,753"
2014,مارس,"1,921,248"
2014,إبريل,"1,714,547"
2014,مايو,"1,637,512"
2014,يونيو,"3,086,462"
2014,يوليو,"2,133,818"
2014,أغسطس,"2,315,904"
2014,سبتمبر,"1,673,606"
2014,أكتوبر,"2,701,046"
2014,نوفمبر,"2,119,083"
2014,ديسمبر,"20,422,756"
2015,يناير,"1,119,430"
2015,فبراير,"1,137,623"
2015,مارس,"15,042,489"
2015,إبريل,"1,506,857"
2015,مايو,"1,550,272"
2015,يونيو,"16,247,913"
2015,يوليو,"1,849,643"
2015,أغسطس,"1,655,516"
2015,سبتمبر,"2,827,037"
2015,أكتوبر,"9,915,800"
2015,نوفمبر,"1,477,716"
2015,ديسمبر,"1,187,172"
2016,يناير,"13,430,069"
2016,فبراير,"8,236,292"
2016,مارس,"9,762,217"
2016,إبريل,"2,107,890"
2016,مايو,"1,860,764"
2016,يونيو,"2,130,247"
2016,يوليو,"1,526,370"
2016,أغسطس,"991,096"
2016,سبتمبر,"1,204,936"
2016,أكتوبر,"1,316,926"
2016,نوفمبر,"1,412,215"
2016,ديسمبر,"2,629,289"
2017,يناير,"27,566,689"
2017,فبراير,"1,225,738"
2017,مارس,"1,378,674"
2017,إبريل,"1,499,554"
2017,مايو,"3,210,959"
2017,يونيو,"2,517,777"
2017,يوليو,"2,014,439"
2017,أغسطس,"1,552,868"
2017,سبتمبر,"1,364,604"
2017,أكتوبر,"1,783,683"
2017,نوفمبر,"2,185,118"
2017,ديسمبر,"1,851,196"
2018,يناير,"2,061,485"
2018,فبراير,"2,177,215"
2018,مارس,"2,338,593"
2018,إبريل,"2,391,080"
2018,مايو,"2,596,056"
2018,يونيو,"2,104,984"
2018,يوليو,"18,125,485"
2018,أغسطس,"1,163,948"
2018,سبتمبر,"2,361,747"
2018,أكتوبر,"2,096,565"
2018,نوفمبر,"1,774,054"
2018,ديسمبر,"800,375"
2019,يناير,"1,367,247"
2019,فبراير,"2,126,965"
2019,مارس,"2,995,856"
2019,إبريل,"2,863,542"
2019,مايو,"1,662,946"
2019,يونيو,"2,881,886"
2019,يوليو,"1,955,022"
2019,أغسطس,"1,963,261"
2019,سبتمبر,"2,216,149"
2019,أكتوبر,"1,980,150"
2019,نوفمبر,"2,100,189"
2019,ديسمبر,"2,010,183"
2020,يناير,"1,650,526"
2020,فبراير,"62,483,225"
2020,مارس,"1,641,483"
2020,إبريل,"711,690"
2020,مايو,"2,177,762"
2020,يونيو,"8,737,970"
2020,يوليو,"1,833,836"
2020,أغسطس,"7,159,484"
2020,سبتمبر,"1,770,137"
2020,أكتوبر,"2,257,496"
2020,نوفمبر,"6,186,985"
2020,ديسمبر,"2,212,515"
2021,يناير,"2,607,086"
2021,فبراير,"3,976,840"
2021,مارس,"4,602,374"
2021,إبريل,"2,817,597"
2021,مايو,"3,375,700"
2021,يونيو,"2,717,811"
2021,يوليو,"3,945,475"
2021,أغسطس,"3,120,552"
2021,سبتمبر,"3,623,389"
2021,أكتوبر,"3,364,826"
2021,نوفمبر,"1,031,362"
2021,ديسمبر,"3,107,005"
2022,يناير,"3,223,093"
2022,فبراير,"3,229,544"
2022,مارس,0
2022,إبريل,0
2022,مايو,0
2022,يونيو,0
2022,يوليو,0
2022,أغسطس,0
2022,سبتمبر,0
2022,أكتوبر,0
2022,نوفمبر,0
2022,ديسمبر,0
