Item,Amount,Value
مجموعات اسلاك الاشعال ومجموعات اسلاك اخرى من النوع المستعمل فى السيارات الطائرات او السفن,4.9,مليون دولار
محركات غاز توربيبيه تزيد قدراتها عن 5000 كع,4.0,مليون دولار
كابلات كوكشال نحاسية ضغط عالى ومنخفض ومتوسط دون تحديد لخامه التغليف او الضغوط,1.6,مليون دولار
صوف توبس غير منزوع الرائحه,1.4,مليون دولار
قضبان ?  زوايا و اشكال خاصه اخرى من المونيوم,1.3,مليون دولار
غيرها من مصنوعات اخرى من حديد او صلب,1.1,مليون دولار
بنطلون رجالى من الياف صناعيه غير مصنره,721.2,ألف دولار
بنطلون رجالى من القطن غير مصنره,677.5,ألف دولار
الات واجهزة ومعدات لصف ولسبك الحروف,637.0,ألف دولار
مفاتيح كهربائيه اخرى للأكثر من 1000 فولت,333.9,ألف دولار
فاكهه مسكره,303.3,ألف دولار
بنطلون رجالى من الياف نسجيه أخرى غير مصنره,254.5,ألف دولار
خيوط مغزوله قطنيه أقل من 85% (بخلاف خيوط الحياكه) مهيأه للبيع بالتجزئة,215.4,ألف دولار
غزل قطن متعدد أكثر من 85% قطن ممشط (31و192) ( 125)غير مهييء للبيع بالتجزئه,167.8,ألف دولار
أجزاء من مصابيح و إضائه زجاجيه,146.7,ألف دولار
برتقال طازج أو مجفف,126.9,ألف دولار
اطقم حمامات / بياضات متنوعه,113.7,ألف دولار
سجاد وغيره من اغطية الارضيات النسجية من حرير أو قطن أو ألياف صناعيه عقدى,108.5,ألف دولار
غزل قطن متعدد اكثر من 85% قطن ممشط (83.33) (120) غير مهيىء للبيع بالتجزئة,68.1,ألف دولار
إطارات السيارات النقل و الشاحنات,67.7,ألف دولار
"ادوات من خزف زجاجى من النوع المستعمل للمائدة ,للمطبخ التواليت والمكتب وللتزيين داخل المنازل",54.5,ألف دولار
إسطوانات و أقراص للمصانع مصبوبه من حديد او صلب,48.3,ألف دولار
اجزاء للنجف والاباجورات ومجموعات الاضاءه ومايماثلها من معدن غير (التى من زجاج او لدائن اصطناعيه),47.5,ألف دولار
أغطية أرضيات نسجيه أخرى,43.9,ألف دولار
بطاطا طازجه أو مجففه,39.4,ألف دولار
صلصه كتش اب و صلصه حريفه (هوت صوص),34.5,ألف دولار
ثـــوم طازج أو مثلج,24.0,ألف دولار
بنطلون حريمى من الياف صناعيه غير مصنره,23.9,ألف دولار
نباتات طبيه أخرى,23.8,ألف دولار
برغل وسميد من حنطة القمح,17.9,ألف دولار
حاسب الى رقمى (كمبيوتر) محمول وزنه اقل من 10كج,16.7,ألف دولار
منصهرات كهربيه داتيه لا يزيد عن 1000 فولت,14.4,ألف دولار
قمصان رجالى من الياف أخرى غير مصنره,13.8,ألف دولار
,13.7,ألف دولار
أقمشه تحتوى على 85% بوليستر مستمره أخرى,12.8,ألف دولار
قمصان رجالى من الياف صناعيه غير مصنره,11.0,ألف دولار
عدادات كهرباء بريكوردر,7.1,ألف دولار
امواس و شفرات للحلاقه,7.0,ألف دولار
مستلزمات أخرى من أنواع البلاستيك الأخرى,2.9,ألف دولار
كرنكات,1.7,ألف دولار
غيرها من مشغولات السلال ومجدولات اصناف من لوف,1.7,ألف دولار
ضمادات لاصقة واصناف اخرى ذات طبقة لاصقة,0.8,ألف دولار
لوحات توزيع كهرباء لفولت يزيد عن 1000 فولت  للمصانع,0.1,ألف دولار
غيرها من زيوت ودهون نباتيه ومايتجزأ عنها,0.1,ألف دولار
صناديق و حاويات من البلاستيك,0.0,ألف دولار
اكسوارات عوازل كهربائيه من بلاستيك,0.0,ألف دولار
