Year,Month,Export Amount
2012,يناير,"1,055,128"
2012,فبراير,"2,102,658"
2012,مارس,"1,433,213"
2012,إبريل,"1,819,368"
2012,مايو,"1,394,374"
2012,يونيو,"2,090,049"
2012,يوليو,"1,278,532"
2012,أغسطس,"1,409,799"
2012,سبتمبر,"1,829,690"
2012,أكتوبر,"1,848,724"
2012,نوفمبر,"2,155,041"
2012,ديسمبر,"2,749,818"
2013,يناير,"2,417,418"
2013,فبراير,"2,143,001"
2013,مارس,"2,274,377"
2013,إبريل,"2,762,336"
2013,مايو,"1,733,977"
2013,يونيو,"2,097,688"
2013,يوليو,"1,560,702"
2013,أغسطس,"2,422,019"
2013,سبتمبر,"2,783,843"
2013,أكتوبر,"1,836,782"
2013,نوفمبر,"1,680,147"
2013,ديسمبر,"3,252,420"
2014,يناير,"2,761,798"
2014,فبراير,"7,555,990"
2014,مارس,"2,592,075"
2014,إبريل,"4,895,802"
2014,مايو,"3,400,740"
2014,يونيو,"5,624,540"
2014,يوليو,"4,281,276"
2014,أغسطس,"3,671,892"
2014,سبتمبر,"3,021,468"
2014,أكتوبر,"2,243,562"
2014,نوفمبر,"1,890,537"
2014,ديسمبر,"2,463,901"
2015,يناير,"1,608,531"
2015,فبراير,"1,898,854"
2015,مارس,"3,265,977"
2015,إبريل,"2,876,092"
2015,مايو,"2,373,201"
2015,يونيو,"2,820,525"
2015,يوليو,"2,325,811"
2015,أغسطس,"2,181,409"
2015,سبتمبر,"2,048,922"
2015,أكتوبر,"2,236,357"
2015,نوفمبر,"2,343,553"
2015,ديسمبر,"1,565,142"
2016,يناير,"2,416,624"
2016,فبراير,"2,455,841"
2016,مارس,"2,483,010"
2016,إبريل,"2,686,617"
2016,مايو,"2,469,224"
2016,يونيو,"3,547,738"
2016,يوليو,"2,017,634"
2016,أغسطس,"2,630,046"
2016,سبتمبر,"2,436,523"
2016,أكتوبر,"3,192,201"
2016,نوفمبر,"2,709,801"
2016,ديسمبر,"2,765,292"
2017,يناير,"10,713,982"
2017,فبراير,"2,944,845"
2017,مارس,"2,573,632"
2017,إبريل,"2,320,784"
2017,مايو,"1,624,707"
2017,يونيو,"2,021,468"
2017,يوليو,"2,311,925"
2017,أغسطس,"1,844,693"
2017,سبتمبر,"2,988,314"
2017,أكتوبر,"2,304,268"
2017,نوفمبر,"2,188,873"
2017,ديسمبر,"1,949,227"
2018,يناير,"1,496,203"
2018,فبراير,"2,354,384"
2018,مارس,"2,221,493"
2018,إبريل,"2,475,334"
2018,مايو,"3,751,524"
2018,يونيو,"2,684,271"
2018,يوليو,"3,301,093"
2018,أغسطس,"1,682,981"
2018,سبتمبر,"3,096,432"
2018,أكتوبر,"4,084,093"
2018,نوفمبر,"2,422,107"
2018,ديسمبر,"2,866,700"
2019,يناير,"2,545,526"
2019,فبراير,"2,514,283"
2019,مارس,"3,217,294"
2019,إبريل,"3,643,839"
2019,مايو,"3,678,421"
2019,يونيو,"2,219,117"
2019,يوليو,"3,848,466"
2019,أغسطس,"2,186,287"
2019,سبتمبر,"3,380,272"
2019,أكتوبر,"3,298,144"
2019,نوفمبر,"2,931,587"
2019,ديسمبر,"2,162,208"
2020,يناير,"2,263,731"
2020,فبراير,0
2020,مارس,"7,294,617"
2020,إبريل,"1,262,752"
2020,مايو,"921,250"
2020,يونيو,"5,696,075"
2020,يوليو,"8,576,572"
2020,أغسطس,"2,733,011"
2020,سبتمبر,"3,351,107"
2020,أكتوبر,"3,065,675"
2020,نوفمبر,"4,754,852"
2020,ديسمبر,"4,398,327"
2021,يناير,"3,878,890"
2021,فبراير,"8,821,800"
2021,مارس,"5,985,779"
2021,إبريل,"4,114,858"
2021,مايو,"4,519,442"
2021,يونيو,"5,295,537"
2021,يوليو,"6,162,431"
2021,أغسطس,"3,531,139"
2021,سبتمبر,"3,771,926"
2021,أكتوبر,"5,605,904"
2021,نوفمبر,"1,688,602"
2021,ديسمبر,"9,423,577"
2022,يناير,"6,735,159"
2022,فبراير,"12,374,756"
2022,مارس,0
2022,إبريل,0
2022,مايو,0
2022,يونيو,0
2022,يوليو,0
2022,أغسطس,0
2022,سبتمبر,0
2022,أكتوبر,0
2022,نوفمبر,0
2022,ديسمبر,0
